,Value
ticker,ARL
name,"American Realty Investors, Inc."
market,stocks
locale,us
primary_exchange,XNYS
type,CS
active,True
currency_name,usd
cik,0001102238
composite_figi,BBG000C1RRF8
share_class_figi,BBG001SFRR04
market_cap,223867315.98
phone_number,(469) 522-4200
address,"{'address1': '1603 LBJ FREEWAY', 'address2': 'SUITE 800', 'city': 'DALLAS', 'state': 'TX', 'postal_code': '75234'}"
description,"American Realty Investors Inc is a real estate company. The company acquires, develops, and owns income-producing residential and commercial real estate properties. Its segment involves the Residential segment and the Commercial segment. The residential segment is engaged in the acquisition, development, ownership, and management of multifamily properties and the Commercial segment is engaged in the acquisition, ownership, and management of commercial real estate properties. Its holdings include apartments, office buildings, retail centers, and parcels of land."
sic_code,6510
sic_description,REAL ESTATE OPERATORS (NO DEVELOPERS) & LESSORS
ticker_root,ARL
homepage_url,http://www.americanrealtyinvest.com
total_employees,895
list_date,2000-08-03
branding,{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/YW1lcmljYW5yZWFsdHlpbnZlc3QuY29t/images/2024-10-01_logo.png'}
share_class_shares_outstanding,16149999
weighted_shares_outstanding,16152043
round_lot,100
