,Value
ticker,ARRY
name,"Array Technologies, Inc. Common Stock"
market,stocks
locale,us
primary_exchange,XNAS
type,CS
active,True
currency_name,usd
cik,0001820721
composite_figi,BBG001V4SF46
share_class_figi,BBG002MX7TQ9
market_cap,1001304244.79
phone_number,(505) 881-7567
address,"{'address1': '3901 MIDWAY PLACE NE', 'city': 'ALBUQUERQUE', 'state': 'NM', 'postal_code': '87109'}"
description,"Array Technologies Inc manufacturer of ground-mounting systems used in solar energy projects. The company's product is an integrated system of steel supports, electric motors, gearboxes and electronic controllers referred to as a single-axis tracker that move solar panels throughout the day to maintain an optimal orientation to the sun, which increases their energy production. Its operations are in the United States, Australia, Spain, Brazil and Rest of the World with the United States deriving the majority of the revenue."
sic_code,3990
sic_description,MISCELLANEOUS MANUFACTURING INDUSTRIES
ticker_root,ARRY
homepage_url,https://www.arraytechinc.com
total_employees,961
list_date,2020-10-15
branding,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/YXJyYXl0ZWNoaW5jLmNvbQ/images/2024-10-01_logo.png', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/YXJyYXl0ZWNoaW5jLmNvbQ/images/2024-10-01_icon.jpeg'}"
share_class_shares_outstanding,151940000
weighted_shares_outstanding,151942981
round_lot,100
