,Value
ticker,BE
name,Bloom Energy Corporation
market,stocks
locale,us
primary_exchange,XNYS
type,CS
active,True
currency_name,usd
cik,0001664703
composite_figi,BBG000N7KBZ3
share_class_figi,BBG001T53509
market_cap,5524681388.26
phone_number,408-543-1500
address,"{'address1': '4353 NORTH FIRST STREET', 'city': 'SAN JOSE', 'state': 'CA', 'postal_code': '95134'}"
description,"Bloom Energy designs, manufactures, sells, and installs solid-oxide fuel cell systems (""Energy Servers"") for on-site power generation. Bloom Energy Servers are fuel-flexible and can use natural gas, biogas, and hydrogen to create 24/7 electricity for stationary applications. In 2021, the company announced plans to leverage its technology and enter the electrolyzer market. Bloom primarily sells its systems in the United States and internationally."
sic_code,3620
sic_description,ELECTRICAL INDUSTRIAL APPARATUS
ticker_root,BE
homepage_url,https://www.bloomenergy.com
total_employees,2377
list_date,2018-07-25
branding,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/Ymxvb21lbmVyZ3kuY29t/images/2024-10-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/Ymxvb21lbmVyZ3kuY29t/images/2024-10-01_icon.jpeg'}"
share_class_shares_outstanding,228580000
weighted_shares_outstanding,228575978
round_lot,100
