,Value
ticker,BLDP
name,Ballard Power Systems Inc.
market,stocks
locale,us
primary_exchange,XNAS
type,CS
active,True
currency_name,usd
cik,0001453015
composite_figi,BBG000BNJRZ8
share_class_figi,BBG001S5Y1D1
market_cap,419142456.59999996
description,"Ballard Power Systems Inc is a world leader in proton-exchange membrane fuel cells, power system development, and commercialization. The company's principal business is the design, development, manufacture, sale, and service of PEM fuel cell products for a variety of applications, focusing on power product markets of heavy-duty motive (bus, truck, rail, and marine applications), material handling, and stationary power generation. Sales are concentrated in the US, Europe, and China."
ticker_root,BLDP
homepage_url,https://www.ballard.com
total_employees,1173
list_date,1999-03-31
branding,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/YmFsbGFyZC5jb20/images/2024-10-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/YmFsbGFyZC5jb20/images/2024-10-01_icon.jpeg'}"
share_class_shares_outstanding,299390000
weighted_shares_outstanding,299387469
round_lot,100
