,Value
ticker,BW
name,"Babcock & Wilcox Enterprises, Inc."
market,stocks
locale,us
primary_exchange,XNYS
type,CS
active,True
currency_name,usd
cik,0001630805
composite_figi,BBG007H0TDK3
share_class_figi,BBG007H0TDL2
market_cap,108464131.39999999
phone_number,(330) 860-6205
address,"{'address1': '1200 E. MARKET STREET, SUITE 650', 'city': 'AKRON', 'state': 'OH', 'postal_code': '44305'}"
description,"Babcock & Wilcox Enterprises Inc is a power generation equipment supplier and servicing company that operates in three segments: B&W Renewable, B&W Environmental, and B&W Thermal. B&W Thermal, focuses on steam generation products and solutions for plants in the power generation, oil, and gas, and industrial sectors, generates the majority of the company's revenue. B&W Renewable focuses on sustainable power and heat generation while B&W Environmental focuses on emissions control. The company's customer base spans the industrial, electrical utility, and municipal industries located predominantly in the United States, Canada, Denmark, the United Kingdom, and other regions. Business in the U.S. contributes the vast majority of its revenue."
sic_code,3433
sic_description,"HEATING EQUIPMENT, EXCEPT ELECTRIC & WARM AIR FURNACES"
ticker_root,BW
homepage_url,https://www.babcock.com
total_employees,2250
list_date,2015-06-16
branding,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/YmFiY29jay5jb20/images/2024-10-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/YmFiY29jay5jb20/images/2024-10-01_icon.jpeg'}"
share_class_shares_outstanding,94320000
weighted_shares_outstanding,94316636
round_lot,100
