,Value
ticker,CCJ
name,Cameco Corporation
market,stocks
locale,us
primary_exchange,XNYS
type,CS
active,True
currency_name,usd
cik,0001009001
composite_figi,BBG000DSZTN6
share_class_figi,BBG001S5Y5S6
market_cap,18927369368.84
description,"Cameco Corp is a provider of uranium needed to generate clean, reliable baseload electricity around the globe. one of those uranium producers. It has three reportable segments, Uranium, Fuel Services, and Westinghouse. It derives maximum revenue from the Westinghouse Segment. It has some projects namely; Millennium, Yeelirrie, Kintyre, and Exploration. The company operates in Canada, Kazakhstan, Germany, Australia, and the United States."
ticker_root,CCJ
homepage_url,https://www.cameco.com
total_employees,2638
list_date,1996-03-14
branding,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/Y2FtZWNvLmNvbQ/images/2024-10-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/Y2FtZWNvLmNvbQ/images/2024-10-01_icon.jpeg'}"
share_class_shares_outstanding,435190000
weighted_shares_outstanding,435312083
round_lot,100
