,Value
ticker,CEG
name,Constellation Energy Corporation Common Stock
market,stocks
locale,us
primary_exchange,XNAS
type,CS
active,True
currency_name,usd
cik,0001868275
composite_figi,BBG014KFRNP7
share_class_figi,BBG014KFRPJ9
market_cap,88986273781.08
phone_number,833-883-0162
address,"{'address1': '1310 POINT STREET', 'city': 'BALTIMORE', 'state': 'MD', 'postal_code': '21231'}"
description,"Constellation Energy Corp producer of carbon-free energy and a supplier of energy products and services. The company offers generating capacity that includes nuclear, wind, solar, natural gas, and hydroelectric assets. It sells electricity, natural gas, and other energy-related products and sustainable solutions to various types of customers, including distribution utilities, municipalities, cooperatives, and commercial, industrial, public sector, and residential customers in markets across multiple geographic regions. Its operating segments and reporting units are Mid-Atlantic, Midwest, New York, ERCOT, and Other Power Regions."
sic_code,4911
sic_description,ELECTRIC SERVICES
ticker_root,CEG
homepage_url,https://www.constellation.com
total_employees,14264
list_date,2022-01-19
branding,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/Y29uc3RlbGxhdGlvbi5jb20/images/2024-10-01_logo.png', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/Y29uc3RlbGxhdGlvbi5jb20/images/2024-10-01_icon.jpeg'}"
share_class_shares_outstanding,312850000
weighted_shares_outstanding,312847257
round_lot,100
