,Value
ticker,CSIQ
name,Canadian Solar Inc. Common Shares (ON)
market,stocks
locale,us
primary_exchange,XNAS
type,CS
active,True
currency_name,usd
cik,0001375877
composite_figi,BBG000K1J931
share_class_figi,BBG001SPNJT3
market_cap,746453120.16
description,"Canadian Solar Inc is a Canadian solar power company. It is an integrated provider of solar power products, services, and system solutions. The company engages in designing, developing, and manufacturing solar ingots, wafers, cells, modules, and other solar power products. It operates through two business segments CSI Solar and Recurrent Energy segment. The CSI Solar segment designs, develops, and manufactures solar ingots, wafers, cells, modules, and other solar power and battery storage products. Its Recurrent segment primarily comprises solar and battery storage project development and sale, O&M and asset management services for operational projects, sale of electricity, and investment in retained assets."
ticker_root,CSIQ
homepage_url,https://www.canadiansolar.com
total_employees,22234
list_date,2006-11-09
branding,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/Y2FuYWRpYW5zb2xhci5jb20/images/2024-10-01_logo.png', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/Y2FuYWRpYW5zb2xhci5jb20/images/2024-10-01_icon.png'}"
share_class_shares_outstanding,66180000
weighted_shares_outstanding,66174922
round_lot,100
