,Value
ticker,IDA
name,"IDACORP, Inc."
market,stocks
locale,us
primary_exchange,XNYS
type,CS
active,True
currency_name,usd
cik,0001057877
composite_figi,BBG000BLR3Y7
share_class_figi,BBG001S5S4M2
market_cap,6081598120.8
phone_number,(208) 388-2200
address,"{'address1': '1221 WEST IDAHO STREET', 'city': 'BOISE', 'state': 'ID', 'postal_code': '83702-5627'}"
description,"Idacorp Inc is a holding company that, through its subsidiaries, acts as an electric utility engaged in the generation, transmission, distribution, sale, and purchase of electric energy and capacity. To do this, Idacorp owns and operates a portfolio of hydroelectric, coal-fired, gas-fired, and diesel-fired power plants located across the Northwestern United States. The company's hydroelectric and coal-fired plants are responsible for Majority of its total energy production. Idacorp mainly generates revenue from the sale of electricity to retail and wholesale customers. The Majority of the company's customers are residential consumers living in the Northwestern United States, while commercial and industrial consumers also represent important revenue streams."
sic_code,4911
sic_description,ELECTRIC SERVICES
ticker_root,IDA
homepage_url,https://www.idacorpinc.com
total_employees,2112
list_date,1948-05-11
branding,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/aWRhY29ycGluYy5jb20/images/2024-10-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/aWRhY29ycGluYy5jb20/images/2024-10-01_icon.jpeg'}"
share_class_shares_outstanding,53250000
weighted_shares_outstanding,53253924
round_lot,100
