,Value
ticker,LEU
name,Centrus Energy Corp.
market,stocks
locale,us
primary_exchange,XASE
type,CS
active,True
currency_name,usd
cik,0001065059
composite_figi,BBG000BQ2JM1
share_class_figi,BBG001S9F7B3
market_cap,1647507949.32
phone_number,(301) 564-3200
address,"{'address1': '6901 ROCKLEDGE DR', 'address2': 'SUITE 800', 'city': 'BETHESDA', 'state': 'MD', 'postal_code': '20817'}"
description,"Centrus Energy Corp is engaged in the supply of nuclear fuel and services for the nuclear power industry. It operates through the Low-Enriched Uranium (LEU) and Technical Solutions segments. The LEU segment has two components which include the sale of separative work units and uranium. The Technical Solutions segment provides engineering, design, and manufacturing services to government and private sector customers. The majority of the firm's revenue is derived from the LEU segment. It has a business presence in the U.S. and other countries, of which prime revenue is generated in the U.S."
sic_code,1400
sic_description,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS)
ticker_root,LEU
homepage_url,https://www.centrusenergy.com
total_employees,322
list_date,1998-07-23
branding,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/Y2VudHJ1c2VuZXJneS5jb20/images/2024-10-01_logo.png', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/Y2VudHJ1c2VuZXJneS5jb20/images/2024-10-01_icon.jpeg'}"
share_class_shares_outstanding,16050000
weighted_shares_outstanding,16765116
round_lot,100
