,Value
ticker,NXT
name,Nextracker Inc. Class A Common Stock
market,stocks
locale,us
primary_exchange,XNAS
type,CS
active,True
currency_name,usd
cik,0001852131
composite_figi,BBG00835TPZ2
share_class_figi,BBG00835TQ17
market_cap,6627914839.08
phone_number,510-270-2500
address,"{'address1': '6200 PASEO PADRE PARKWAY', 'city': 'FREMONT', 'state': 'CA', 'postal_code': '94555'}"
description,"Nextracker (and its subsidiaries) is a leading provider of intelligent, integrated solar tracker and software solutions used in utility-scale and distributed generation solar projects around the world. Nextracker's products enable solar panels in utility-scale power plants to follow the sun's movement across the sky and optimize plant performance. Nextracker has operations in the United States, Mexico, Spain and other countries in Europe, India, Australia, the Middle East, Africa, and Brazil."
sic_code,3812
sic_description,"SEARCH, DETECTION, NAVAGATION, GUIDANCE, AERONAUTICAL SYS"
ticker_root,NXT
homepage_url,https://www.nextracker.com
total_employees,277
list_date,2023-02-09
branding,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/bmV4dHJhY2tlci5jb20/images/2024-10-01_logo.png', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/bmV4dHJhY2tlci5jb20/images/2024-10-01_icon.jpeg'}"
share_class_shares_outstanding,143710000
weighted_shares_outstanding,143710209
round_lot,100
