timestamp,volume,vw,open,close,high,low,n,SMA_50,SMA_200,RSI_14
2022-01-03 05:00:00,652573.0,1.5407,1.5,1.58,1.59,1.47,3136,,,
2022-01-04 05:00:00,592667.0,1.5458,1.58,1.54,1.595,1.505,2744,,,0.0
2022-01-05 05:00:00,736149.0,1.5034,1.53,1.48,1.56,1.46,3456,,,0.0
2022-01-06 05:00:00,547257.0,1.4328,1.5,1.42,1.5,1.38,3013,,,0.0
2022-01-07 05:00:00,416568.0,1.4246,1.42,1.41,1.48,1.4,2670,,,0.0
2022-01-10 05:00:00,824735.0,1.3442,1.4,1.35,1.42,1.305,4069,,,0.0
2022-01-11 05:00:00,433978.0,1.3813,1.33,1.39,1.415,1.32,2303,,,12.535152591495716
2022-01-12 05:00:00,315805.0,1.3763,1.39,1.35,1.428,1.35,1697,,,10.951209356713221
2022-01-13 05:00:00,441756.0,1.35,1.41,1.32,1.41,1.31,2416,,,9.871734289818122
2022-01-14 05:00:00,580533.0,1.2798,1.31,1.31,1.33,1.2508,2566,,,9.511147267372664
2022-01-18 05:00:00,416981.0,1.2765,1.26,1.26,1.32,1.26,2896,,,7.855687139561567
2022-01-19 05:00:00,690492.0,1.2186,1.26,1.2,1.28,1.17,3661,,,6.330132485021267
2022-01-20 05:00:00,582075.0,1.2029,1.2,1.13,1.25,1.13,3149,,,5.018260421197226
2022-01-21 05:00:00,736754.0,1.107,1.11,1.08,1.14,1.07,3105,,,4.286165359386416
2022-01-24 05:00:00,1261725.0,0.9971,0.9886,1.05,1.05,0.926,4563,,,3.8929814193988648
2022-01-25 05:00:00,257280.0,1.0466,1.03,1.05,1.08,1.02,1391,,,3.8929814193988648
2022-01-26 05:00:00,590698.0,1.1306,1.09,1.07,1.19,1.07,2992,,,11.128873606745685
2022-01-27 05:00:00,556394.0,1.0403,1.08,1.02,1.1,1.0,2632,,,9.143142697900089
2022-01-28 05:00:00,340139.0,1.0273,1.01,1.05,1.05,1.0,1911,,,19.13259852957016
2022-01-31 05:00:00,322597.0,1.1238,1.05,1.13,1.15,1.04,1558,,,39.574490201152535
2022-02-01 05:00:00,376213.0,1.1639,1.13,1.15,1.21,1.125,2034,,,43.681154946084995
2022-02-02 05:00:00,241775.0,1.1262,1.18,1.11,1.18,1.1,1185,,,37.759146786258675
2022-02-03 05:00:00,288262.0,1.0574,1.07,1.05,1.09,1.04,1875,,,30.582962182301486
2022-02-04 05:00:00,301739.0,1.0653,1.05,1.07,1.09,1.03,1372,,,35.31148271040419
2022-02-07 05:00:00,997807.0,1.0451,1.08,1.03,1.11,1.01,2740,,,30.514736626084385
2022-02-08 05:00:00,393707.0,1.0193,1.01,1.02,1.0399,1.0,1517,,,29.364107159629114
2022-02-09 05:00:00,314044.0,1.071,1.03,1.09,1.1,1.0299,1409,,,45.85459253867778
2022-02-10 05:00:00,281875.0,1.0858,1.05,1.06,1.12,1.05,1411,,,41.108749335805896
2022-02-11 05:00:00,268030.0,1.0584,1.06,1.04,1.1,1.01,1305,,,38.07728043617897
2022-02-14 05:00:00,181431.0,1.0274,1.0,1.02,1.05,1.0,958,,,35.091431418261394
2022-02-15 05:00:00,281419.0,1.098,1.05,1.11,1.126,1.05,1410,,,53.87256024716639
2022-02-16 05:00:00,187647.0,1.1147,1.09,1.12,1.137,1.08,990,,,55.52249025304813
2022-02-17 05:00:00,228117.0,1.0983,1.11,1.07,1.13,1.06,1259,,,46.02483644462919
2022-02-18 05:00:00,194916.0,1.054,1.06,1.06,1.09,1.035,1153,,,44.27698955392737
2022-02-22 05:00:00,404215.0,1.0384,1.04,1.02,1.07,1.02,1634,,,37.673739275003456
2022-02-23 05:00:00,1729821.0,1.1718,1.05,1.17,1.25,1.04,5590,,,62.11850768986723
2022-02-24 05:00:00,888215.0,1.0973,1.05,1.16,1.17,1.0414,3481,,,60.299293940491566
2022-02-25 05:00:00,1237613.0,1.2543,1.15,1.26,1.3,1.15,4836,,,70.32649063469648
2022-02-28 05:00:00,772699.0,1.2798,1.26,1.31,1.34,1.191,3261,,,74.10040611007275
2022-03-01 05:00:00,414203.0,1.2397,1.26,1.2,1.295,1.2,2357,,,56.01594688773415
2022-03-02 05:00:00,1277581.0,1.3035,1.23,1.32,1.38,1.19,4129,,,66.35247209536476
2022-03-03 05:00:00,586346.0,1.2906,1.38,1.24,1.38,1.24,2854,,,56.19404904806401
2022-03-04 05:00:00,802929.0,1.1925,1.24,1.19,1.2497,1.15,2623,,,50.6067078035468
2022-03-07 05:00:00,1620547.0,1.3264,1.22,1.33,1.4,1.22,5622,,,62.615773228515586
2022-03-08 05:00:00,7737206.0,1.6744,1.4,1.65,1.89,1.4,23011,,,77.22176712648071
2022-03-09 05:00:00,1066862.0,1.5178,1.67,1.49,1.67,1.4,4010,,,63.017420929631754
2022-03-10 05:00:00,1484220.0,1.5846,1.49,1.65,1.67,1.49,4997,,,69.49238886029322
2022-03-11 05:00:00,788097.0,1.4981,1.65,1.44,1.67,1.44,2980,,,54.928287166565866
2022-03-14 04:00:00,923398.0,1.3334,1.43,1.3,1.45,1.26,3402,,,47.30246184062234
2022-03-15 04:00:00,344921.0,1.3029,1.27,1.35,1.35,1.24,2168,1.2254,,50.15419748882903
2022-03-16 04:00:00,376470.0,1.415,1.35,1.4,1.45,1.345,2469,1.2218,,53.08367920304969
