,Value
ticker,SEDG
name,"SolarEdge Technologies, Inc."
market,stocks
locale,us
primary_exchange,XNAS
type,CS
active,True
currency_name,usd
cik,0001419612
composite_figi,BBG0084BBZY6
share_class_figi,BBG0084BC0P2
market_cap,1022437960.12
phone_number,972 (9) 957-6620
address,"{'address1': '1 HAMADA STREET', 'city': 'HERZILIYA PITUACH', 'state': 'L3', 'postal_code': '4673335'}"
description,"SolarEdge Technologies designs, develops, and sells direct current optimized inverter systems for solar photovoltaic installations. The company system consists of power optimizers, inverters, and cloud-based monitoring platform and addresses a broad range of solar market segments, from residential solar installations to commercial and small utility-scale solar installations. The company sells its products directly to solar installers, engineering, procurement, and construction firms and indirectly to solar installers through distributors and electrical equipment wholesalers."
sic_code,3674
sic_description,SEMICONDUCTORS & RELATED DEVICES
ticker_root,SEDG
homepage_url,https://www.solaredge.com
total_employees,5633
list_date,2015-03-26
branding,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/c29sYXJlZGdlLmNvbQ/images/2024-10-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/c29sYXJlZGdlLmNvbQ/images/2024-10-01_icon.jpeg'}"
share_class_shares_outstanding,57950000
weighted_shares_outstanding,58027126
round_lot,100
