,Value
ticker,VST
name,Vistra Corp.
market,stocks
locale,us
primary_exchange,XNYS
type,CS
active,True
currency_name,usd
cik,0001692819
composite_figi,BBG00DXDL6Q1
share_class_figi,BBG00DXDL6R0
market_cap,51183632386.36
phone_number,214-812-4600
address,"{'address1': '6555 SIERRA DRIVE', 'city': 'IRVING', 'state': 'TX', 'postal_code': '75039'}"
description,"Vistra Energy is one of the largest power producers and retail energy providers in the us Following the 2024 Energy Harbor acquisition, Vistra owns 41 gigawatts of nuclear, coal, natural gas, and solar power generation along with one of the largest utility-scale battery projects in the world. Its retail electricity business serves 5 million customers in 20 states, including almost a third of all Texas electricity consumers. Vistra emerged from the Energy Future Holdings bankruptcy as a stand-alone entity in 2016. It acquired Dynegy in 2018."
sic_code,4911
sic_description,ELECTRIC SERVICES
ticker_root,VST
homepage_url,https://www.vistracorp.com
total_employees,4870
list_date,2016-09-28
branding,{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/dmlzdHJhY29ycC5jb20/images/2024-10-01_logo.svg'}
share_class_shares_outstanding,340230000
weighted_shares_outstanding,340226219
round_lot,100
