timestamp,title,url,source
01-27-2025,ARRAY Technologies Names Gina Gunning as Chief Legal Officer,https://www.globenewswire.com/news-release/2025/01/27/3015678/0/en/ARRAY-Technologies-Names-Gina-Gunning-as-Chief-Legal-Officer.html,GlobeNewswire Inc.
12-04-2024,ARRAY Technologies and RP Surpass 6GW of Solar Power Deployed,https://www.globenewswire.com/news-release/2024/12/04/2991588/0/en/ARRAY-Technologies-and-RP-Surpass-6GW-of-Solar-Power-Deployed.html,GlobeNewswire Inc.
11-04-2024,Why Solar Energy Stocks Skyrocketed Today,https://www.fool.com/investing/2024/11/04/why-solar-energy-stocks-skyrocketed-today/?source=iedfolrf0000001,The Motley Fool
10-28-2024,Array Acquires Payitoff to Strengthen its Intelligent Debt Management Offerings,https://www.benzinga.com/pressreleases/24/10/g41573945/array-acquires-payitoff-to-strengthen-its-intelligent-debt-management-offerings,Benzinga
10-28-2024,Array Acquires Payitoff to Strengthen its Intelligent Debt Management Offerings,https://www.globenewswire.com/news-release/2024/10/28/2970087/0/en/Array-Acquires-Payitoff-to-Strengthen-its-Intelligent-Debt-Management-Offerings.html,GlobeNewswire Inc.
09-11-2024,Solar Shares Climb As Harris Gains Momentum Post-Debate Against Trump: 7 Top Gainers In Clean Energy,https://www.benzinga.com/markets/equities/24/09/40817317/solar-shares-climb-as-harris-gains-momentum-post-debate-against-trump-7-top-gainers-in-clean-ene,Benzinga
06-28-2024,Analyst Scoreboard: 11 Ratings For Array Technologies,https://www.benzinga.com/insights/analyst-ratings/24/06/39551330/analyst-scoreboard-11-ratings-for-array-technologies,Benzinga
06-12-2024,Array CEO Kevin Hostetler Testifies Before Congress on the Solar Manufacturing Boom from the Inflation Reduction Act,https://www.globenewswire.com/news-release/2024/06/12/2897871/0/en/Array-CEO-Kevin-Hostetler-Testifies-Before-Congress-on-the-Solar-Manufacturing-Boom-from-the-Inflation-Reduction-Act.html,GlobeNewswire Inc.
06-12-2024,"Soft Inflation Data Boosts Small Caps, Real Estate, Regional Banks; Traders Anticipate Fed Rate Cuts As Stocks React",https://www.benzinga.com/markets/equities/24/06/39292698/soft-inflation-data-boosts-small-caps-real-estate-regional-banks-traders-anticipate-fed-rate-cut,Benzinga
06-10-2024,Array Technologies Announces Departure of Chief Financial Officer,https://www.globenewswire.com/news-release/2024/06/10/2896377/0/en/Array-Technologies-Announces-Departure-of-Chief-Financial-Officer.html,GlobeNewswire Inc.
06-05-2024,Array Technologies Appoints Neil Manning as President and Chief Operating Officer   ,https://www.globenewswire.com/news-release/2024/06/05/2894344/0/en/Array-Technologies-Appoints-Neil-Manning-as-President-and-Chief-Operating-Officer.html,GlobeNewswire Inc.
05-17-2024,Deep Dive Into Array Technologies Stock: Analyst Perspectives (16 Ratings),https://www.benzinga.com/insights/analyst-ratings/24/05/38896433/deep-dive-into-array-technologies-stock-analyst-perspectives-16-ratings,Benzinga
05-13-2024,"Stock Market News for May 13, 2024",https://www.zacks.com/stock/news/2272648/stock-market-news-for-may-13-2024,Zacks Investment Research
05-09-2024,"Array Technologies, Inc. (ARRY) Tops Q1 Earnings Estimates",https://www.zacks.com/stock/news/2271769/array-technologies-inc-arry-tops-q1-earnings-estimates,Zacks Investment Research
05-09-2024,Array Technologies Stock Heats Up On Q1 Earnings As Momentum From Q4 Continues Into New Year,https://www.benzinga.com/news/earnings/24/05/38746818/array-technologies-stock-heats-up-on-q1-earnings-as-momentum-from-q4-continues-into-new-year,Benzinga
05-09-2024,"Array Technologies, Inc. Reports Financial Results for the First Quarter 2024 – Achieves record gross margin and $2.1 billion of executed contracts and awarded orders",https://www.globenewswire.com/news-release/2024/05/09/2879211/0/en/Array-Technologies-Inc-Reports-Financial-Results-for-the-First-Quarter-2024-Achieves-record-gross-margin-and-2-1-billion-of-executed-contracts-and-awarded-orders.html,GlobeNewswire Inc.
05-08-2024,"Riley Exploration Permian, Inc. (REPX) Tops Q1 Earnings and Revenue Estimates",https://www.zacks.com/stock/news/2270934/riley-exploration-permian-inc-repx-tops-q1-earnings-and-revenue-estimates,Zacks Investment Research
05-07-2024,Nextracker (NXT) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,https://www.zacks.com/stock/news/2269699/nextracker-nxt-earnings-expected-to-grow-what-to-know-ahead-of-next-weeks-release,Zacks Investment Research
05-07-2024,SolarEdge (SEDG) to Report Q1 Earnings: What's in the Cards?,https://www.zacks.com/stock/news/2269617/solaredge-sedg-to-report-q1-earnings-whats-in-the-cards,Zacks Investment Research
05-07-2024,Canadian Solar (CSIQ) to Report Q1 Earnings: What's in Store?,https://www.zacks.com/stock/news/2269492/canadian-solar-csiq-to-report-q1-earnings-whats-in-store,Zacks Investment Research
05-06-2024,Array and DNV Release Report on Solar Tracker Wind Stow Strategies’ Energy Impact,https://www.globenewswire.com/news-release/2024/05/06/2876205/0/en/Array-and-DNV-Release-Report-on-Solar-Tracker-Wind-Stow-Strategies-Energy-Impact.html,GlobeNewswire Inc.
05-02-2024,"Array Technologies, Inc. (ARRY) Expected to Beat Earnings Estimates: What to Know Ahead of Q1 Release",https://www.zacks.com/stock/news/2267086/array-technologies-inc-arry-expected-to-beat-earnings-estimates-what-to-know-ahead-of-q1-release,Zacks Investment Research
05-01-2024,"Sunnova Energy (NOVA) Reports Q1 Loss, Lags Revenue Estimates",https://www.zacks.com/stock/news/2266377/sunnova-energy-nova-reports-q1-loss-lags-revenue-estimates,Zacks Investment Research
04-30-2024,ARRY vs. ENPH: Which Stock Should Value Investors Buy Now?,https://www.zacks.com/stock/news/2265264/arry-vs-enph-which-stock-should-value-investors-buy-now,Zacks Investment Research
04-29-2024,Where Array Technologies Stands With Analysts,https://www.benzinga.com/insights/analyst-ratings/24/04/38500523/where-array-technologies-stands-with-analysts,Benzinga
