timestamp,title,url,source
02-24-2025,Western Pacific Fishery Management Council; Public Meetings,https://www.federalregister.gov/documents/2025/02/24/2025-03011/western-pacific-fishery-management-council-public-meetings,Commerce Department; National Oceanic and Atmospheric Administration
02-12-2025,"Hydrographic Services Review Panel Meeting, March 4th-5th, 2025",https://www.federalregister.gov/documents/2025/02/12/2025-02537/hydrographic-services-review-panel-meeting-march-4th-5th-2025,Commerce Department; National Oceanic and Atmospheric Administration
02-12-2025,South Atlantic Fishery Management Council; Public Meetings,https://www.federalregister.gov/documents/2025/02/12/2025-02532/south-atlantic-fishery-management-council-public-meetings,Commerce Department; National Oceanic and Atmospheric Administration
02-12-2025,Western Pacific Fishery Management Council; Public Meetings,https://www.federalregister.gov/documents/2025/02/12/2025-02502/western-pacific-fishery-management-council-public-meetings,Commerce Department; National Oceanic and Atmospheric Administration
02-05-2025,Increasing Market and Planning Efficiency Through Improved Software; Notice of Technical Conference: Increasing Real-Time and Day-Ahead Market and Planning Efficiency Through Improved Software,https://www.federalregister.gov/documents/2025/02/05/2025-02226/increasing-market-and-planning-efficiency-through-improved-software-notice-of-technical-conference,Energy Department; Federal Energy Regulatory Commission
01-31-2025,"Holtec Decommissioning International, LLC and Holtec Palisades, LLC; Palisades Nuclear Plant; Draft Environmental Assessment and Draft Finding of No Significant Impact",https://www.federalregister.gov/documents/2025/01/31/2025-01997/holtec-decommissioning-international-llc-and-holtec-palisades-llc-palisades-nuclear-plant-draft,Nuclear Regulatory Commission
01-30-2025,Realigning the United States Refugee Admissions Program,https://www.federalregister.gov/documents/2025/01/30/2025-02011/realigning-the-united-states-refugee-admissions-program,Executive Office of the President
01-30-2025,Putting America First in International Environmental Agreements,https://www.federalregister.gov/documents/2025/01/30/2025-02010/putting-america-first-in-international-environmental-agreements,Executive Office of the President
01-29-2025,Unleashing American Energy,https://www.federalregister.gov/documents/2025/01/29/2025-01956/unleashing-american-energy,Executive Office of the President
01-28-2025,Initial Rescissions of Harmful Executive Orders and Actions,https://www.federalregister.gov/documents/2025/01/28/2025-01901/initial-rescissions-of-harmful-executive-orders-and-actions,Executive Office of the President
01-28-2025,"Transcontinental Gas Pipe Line Company, LLC; Notice of Schedule for the Preparation of an Environmental Assessment for the Southeast Supply Enhancement Project",https://www.federalregister.gov/documents/2025/01/28/2025-01803/transcontinental-gas-pipe-line-company-llc-notice-of-schedule-for-the-preparation-of-an,Energy Department; Federal Energy Regulatory Commission
01-28-2025,"Arizona State University, et al.; Application(s) for Duty-Free Entry of Scientific Instruments",https://www.federalregister.gov/documents/2025/01/28/2025-01792/arizona-state-university-et-al-applications-for-duty-free-entry-of-scientific-instruments,Commerce Department; International Trade Administration
01-24-2025,Agency Information Collection Activities; Submission to the Office of Management and Budget (OMB) for Review and Approval; Comment Request; Economic Surveys of Specific U.S. Commercial Fisheries,https://www.federalregister.gov/documents/2025/01/24/2025-01718/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-omb-for,Commerce Department; National Oceanic and Atmospheric Administration
