timestamp,title,url,source
02-20-2025,Energy Conservation Program: Energy Conservation Standards for Consumer Gas-Fired Instantaneous Water Heaters,https://www.federalregister.gov/documents/2025/02/20/2025-02852/energy-conservation-program-energy-conservation-standards-for-consumer-gas-fired-instantaneous-water,Energy Department
02-20-2025,Energy Conservation Program: Energy Conservation Standards for Walk-In Coolers and Walk-In Freezers,https://www.federalregister.gov/documents/2025/02/20/2025-02851/energy-conservation-program-energy-conservation-standards-for-walk-in-coolers-and-walk-in-freezers,Energy Department
02-18-2025,"Southern LNG Company, L.L.C.; Application for Blanket Authorization To Export Previously Imported Liquefied Natural Gas to Non-Free Trade Agreement Countries on a Short-Term Basis",https://www.federalregister.gov/documents/2025/02/18/2025-02708/southern-lng-company-llc-application-for-blanket-authorization-to-export-previously-imported,Energy Department
02-12-2025,Renewable Energy and Energy Efficiency Advisory Committee,https://www.federalregister.gov/documents/2025/02/12/2025-02534/renewable-energy-and-energy-efficiency-advisory-committee,Commerce Department; International Trade Administration
02-06-2025,Request for Information on the Development of an Artificial Intelligence (AI) Action Plan,https://www.federalregister.gov/documents/2025/02/06/2025-02305/request-for-information-on-the-development-of-an-artificial-intelligence-ai-action-plan,National Science Foundation
02-05-2025,Energy Conservation Program: Test Procedures for Residential and Commercial Clothes Washers and Consumer Clothes Dryers,https://www.federalregister.gov/documents/2025/02/05/2025-02237/energy-conservation-program-test-procedures-for-residential-and-commercial-clothes-washers-and,Energy Department
02-05-2025,Energy Conservation Program: Test Procedure for General Service Lamps,https://www.federalregister.gov/documents/2025/02/05/2025-02235/energy-conservation-program-test-procedure-for-general-service-lamps,Energy Department
02-05-2025,Energy Conservation Program: Test Procedures for Central Air Conditioners and Heat Pumps,https://www.federalregister.gov/documents/2025/02/05/2025-02234/energy-conservation-program-test-procedures-for-central-air-conditioners-and-heat-pumps,Energy Department
02-05-2025,Increasing Market and Planning Efficiency Through Improved Software; Notice of Technical Conference: Increasing Real-Time and Day-Ahead Market and Planning Efficiency Through Improved Software,https://www.federalregister.gov/documents/2025/02/05/2025-02226/increasing-market-and-planning-efficiency-through-improved-software-notice-of-technical-conference,Energy Department; Federal Energy Regulatory Commission
01-31-2025,Emergency Measures To Provide Water Resources in California and Improve Disaster Response in Certain Areas,https://www.federalregister.gov/documents/2025/01/31/2025-02174/emergency-measures-to-provide-water-resources-in-california-and-improve-disaster-response-in-certain,Executive Office of the President
01-30-2025,Putting America First in International Environmental Agreements,https://www.federalregister.gov/documents/2025/01/30/2025-02010/putting-america-first-in-international-environmental-agreements,Executive Office of the President
01-29-2025,Unleashing American Energy,https://www.federalregister.gov/documents/2025/01/29/2025-01956/unleashing-american-energy,Executive Office of the President
01-29-2025,Renewable Energy and Energy Efficiency Advisory Committee,https://www.federalregister.gov/documents/2025/01/29/2025-01846/renewable-energy-and-energy-efficiency-advisory-committee,Commerce Department; International Trade Administration
01-28-2025,Initial Rescissions of Harmful Executive Orders and Actions,https://www.federalregister.gov/documents/2025/01/28/2025-01901/initial-rescissions-of-harmful-executive-orders-and-actions,Executive Office of the President
01-27-2025,"Supplemental Final Environmental Impact Statement Addressing Heat and Electrical Upgrades at Fort Wainwright, Alaska",https://www.federalregister.gov/documents/2025/01/27/2025-01757/supplemental-final-environmental-impact-statement-addressing-heat-and-electrical-upgrades-at-fort,Defense Department; Army Department
