timestamp,title,url,source
02-24-2025,"Cibola Renewables, LLC; Notice of Preliminary Determination of a Qualifying Conduit Hydropower Facility and Soliciting Comments and Motions To Intervene",https://www.federalregister.gov/documents/2025/02/24/2025-03008/cibola-renewables-llc-notice-of-preliminary-determination-of-a-qualifying-conduit-hydropower,Energy Department; Federal Energy Regulatory Commission
02-20-2025,"Puerto Rico Electric Power Authority; Notice of Intent To File License Application, Filing of Pre-Application Document, Approving Use of the Traditional Licensing Process",https://www.federalregister.gov/documents/2025/02/20/2025-02837/puerto-rico-electric-power-authority-notice-of-intent-to-file-license-application-filing-of,Energy Department; Federal Energy Regulatory Commission
02-20-2025,"Notice of Application Ready for Environmental Analysis and Soliciting Comments, Recommendations, Terms and Conditions, and Prescriptions; Erie Boulevard Hydropower, L.P.",https://www.federalregister.gov/documents/2025/02/20/2025-02836/notice-of-application-ready-for-environmental-analysis-and-soliciting-comments-recommendations-terms,Energy Department; Federal Energy Regulatory Commission
02-18-2025,"Low Head Hydro M 8, LLC; Notice of Preliminary Permit Application Accepted for Filing and Soliciting Comments, Motions To Intervene, and Competing Applications",https://www.federalregister.gov/documents/2025/02/18/2025-02712/low-head-hydro-m-8-llc-notice-of-preliminary-permit-application-accepted-for-filing-and-soliciting,Energy Department; Federal Energy Regulatory Commission
02-13-2025,"Notice of Preliminary Permit Application Accepted for Filing and Soliciting Comments, Motions To Intervene, and Competing Applications; Low Head Hydro M 18 LLC",https://www.federalregister.gov/documents/2025/02/13/2025-02590/notice-of-preliminary-permit-application-accepted-for-filing-and-soliciting-comments-motions-to,Energy Department; Federal Energy Regulatory Commission
02-12-2025,Annual Update to Fee Schedule for the Use of Government Lands by Hydropower Licensees,https://www.federalregister.gov/documents/2025/02/12/2025-02417/annual-update-to-fee-schedule-for-the-use-of-government-lands-by-hydropower-licensees,Energy Department; Federal Energy Regulatory Commission
02-11-2025,"New England Hydropower Company, LLC; Notice of Application Tendered for Filing With the Commission and Soliciting Additional Study Requests and Establishing Procedural Schedule for Licensing",https://www.federalregister.gov/documents/2025/02/11/2025-02429/new-england-hydropower-company-llc-notice-of-application-tendered-for-filing-with-the-commission-and,Energy Department; Federal Energy Regulatory Commission
02-11-2025,"HGE Energy Storage 4, LLC; Notice of Preliminary Permit Application Accepted for Filing and Soliciting Comments, Motions To Intervene, and Competing Applications",https://www.federalregister.gov/documents/2025/02/11/2025-02428/hge-energy-storage-4-llc-notice-of-preliminary-permit-application-accepted-for-filing-and-soliciting,Energy Department; Federal Energy Regulatory Commission
02-03-2025,"New England Hydropower Company, LLC; Notice of Preliminary Permit Application Accepted for Filing and Soliciting Comments, Motions To Intervene, and Competing Applications",https://www.federalregister.gov/documents/2025/02/03/2025-02078/new-england-hydropower-company-llc-notice-of-preliminary-permit-application-accepted-for-filing-and,Energy Department; Federal Energy Regulatory Commission
01-31-2025,Emergency Measures To Provide Water Resources in California and Improve Disaster Response in Certain Areas,https://www.federalregister.gov/documents/2025/01/31/2025-02174/emergency-measures-to-provide-water-resources-in-california-and-improve-disaster-response-in-certain,Executive Office of the President
01-29-2025,Unleashing American Energy,https://www.federalregister.gov/documents/2025/01/29/2025-01956/unleashing-american-energy,Executive Office of the President
01-29-2025,"Kram Hydro 10, LLC; Notice of Preliminary Permit Application Accepted for Filing and Soliciting Comments, Motions To Intervene, and Competing Applications",https://www.federalregister.gov/documents/2025/01/29/2025-01869/kram-hydro-10-llc-notice-of-preliminary-permit-application-accepted-for-filing-and-soliciting,Energy Department; Federal Energy Regulatory Commission
01-28-2025,"City of Hamilton, Ohio and American Municipal Power, Inc.; Notice of Application Accepted for Filing and Soliciting Motions To Intervene and Protests",https://www.federalregister.gov/documents/2025/01/28/2025-01768/city-of-hamilton-ohio-and-american-municipal-power-inc-notice-of-application-accepted-for-filing-and,Energy Department; Federal Energy Regulatory Commission
01-27-2025,"Lyonsdale Associates, LLC; Notice Soliciting Scoping Comments",https://www.federalregister.gov/documents/2025/01/27/2025-01738/lyonsdale-associates-llc-notice-soliciting-scoping-comments,Energy Department; Federal Energy Regulatory Commission
