timestamp,title,url,source
02-20-2025,Establishing the National Energy Dominance Council,https://www.federalregister.gov/documents/2025/02/20/2025-02928/establishing-the-national-energy-dominance-council,Executive Office of the President
02-20-2025,Department of Energy; Idaho Spent Fuel Facility; Termination of License,https://www.federalregister.gov/documents/2025/02/20/2025-02842/department-of-energy-idaho-spent-fuel-facility-termination-of-license,Nuclear Regulatory Commission
02-20-2025,"Northern States Power Company, a Minnesota Corporation; Monticello Nuclear Generating Plant, Unit 1; License Amendment Application",https://www.federalregister.gov/documents/2025/02/20/2025-02834/northern-states-power-company-a-minnesota-corporation-monticello-nuclear-generating-plant-unit-1,Nuclear Regulatory Commission
02-19-2025,"Florida Power and Light Company; Turkey Point Nuclear Generating, Unit No. 4; License Amendment Application",https://www.federalregister.gov/documents/2025/02/19/2025-02801/florida-power-and-light-company-turkey-point-nuclear-generating-unit-no-4-license-amendment,Nuclear Regulatory Commission
02-19-2025,Fee Schedules; Fee Recovery for Fiscal Year 2025,https://www.federalregister.gov/documents/2025/02/19/2025-02779/fee-schedules-fee-recovery-for-fiscal-year-2025,Nuclear Regulatory Commission
02-18-2025,"List of Approved Spent Fuel Storage Casks: NAC International, Inc. MAGNASTOR® Storage System, Certificate of Compliance No. 1031, Amendment No. 14 and Revisions to Amendment Nos. 0 Through 13",https://www.federalregister.gov/documents/2025/02/18/2025-02742/list-of-approved-spent-fuel-storage-casks-nac-international-inc-magnastor-storage-system-certificate,Nuclear Regulatory Commission
02-18-2025,NUREG: Report on Waste Burial Charges: Changes in Decommissioning Waste Disposal Costs at Low-Level Waste Burial Facilities,https://www.federalregister.gov/documents/2025/02/18/2025-02701/nureg-report-on-waste-burial-charges-changes-in-decommissioning-waste-disposal-costs-at-low-level,Nuclear Regulatory Commission
02-18-2025,Monthly Notice; Applications and Amendments to Facility Operating Licenses and Combined Licenses Involving No Significant Hazards Considerations,https://www.federalregister.gov/documents/2025/02/18/2025-02623/monthly-notice-applications-and-amendments-to-facility-operating-licenses-and-combined-licenses,Nuclear Regulatory Commission
02-14-2025,723rd Meeting of the Advisory Committee on Reactor Safeguards (ACRS),https://www.federalregister.gov/documents/2025/02/14/2025-02625/723rd-meeting-of-the-advisory-committee-on-reactor-safeguards-acrs,Nuclear Regulatory Commission
02-14-2025,Regulatory Guide: Acceptable ASME Section XI Inservice Inspection Code Cases,https://www.federalregister.gov/documents/2025/02/14/2025-02591/regulatory-guide-acceptable-asme-section-xi-inservice-inspection-code-cases,Nuclear Regulatory Commission
02-12-2025,Sunshine Act Meetings,https://www.federalregister.gov/documents/2025/02/12/2025-02614/sunshine-act-meetings,Tennessee Valley Authority
02-12-2025,Order Modifying Licenses and Establishing Initial Final Safety Analysis Report Update Due Dates Consistent With the Non-Power Production or Utilization Facility License Renewal Rule,https://www.federalregister.gov/documents/2025/02/12/2025-02523/order-modifying-licenses-and-establishing-initial-final-safety-analysis-report-update-due-dates,Nuclear Regulatory Commission
02-07-2025,"Duke Energy Carolinas, LLC; Oconee Nuclear Station, Units 1, 2, and 3; Final Site-Specific Environmental Impact Statement",https://www.federalregister.gov/documents/2025/02/07/2025-02369/duke-energy-carolinas-llc-oconee-nuclear-station-units-1-2-and-3-final-site-specific-environmental,Nuclear Regulatory Commission
02-05-2025,Maine Yankee Atomic Power Company; Independent Spent Fuel Storage Installation; Exemption; Safety Evaluation and Environmental Assessment With Finding of No Significant Impact,https://www.federalregister.gov/documents/2025/02/05/2025-02253/maine-yankee-atomic-power-company-independent-spent-fuel-storage-installation-exemption-safety,Nuclear Regulatory Commission
02-04-2025,"List of Approved Spent Fuel Storage Casks: Holtec International HI-STORM UMAX Canister Storage System, Certificate of Compliance No. 1040, Revision 1 to Amendment Nos. 0 Through 2",https://www.federalregister.gov/documents/2025/02/04/2025-02209/list-of-approved-spent-fuel-storage-casks-holtec-international-hi-storm-umax-canister-storage-system,Nuclear Regulatory Commission
02-04-2025,"List of Approved Spent Fuel Storage Casks: Holtec International HI-STORM UMAX Canister Storage System, Certificate of Compliance No. 1040, Revision 1 to Amendment Nos. 0 Through 2",https://www.federalregister.gov/documents/2025/02/04/2025-02208/list-of-approved-spent-fuel-storage-casks-holtec-international-hi-storm-umax-canister-storage-system,Nuclear Regulatory Commission
02-04-2025,Combined Notice of Filings #1,https://www.federalregister.gov/documents/2025/02/04/2025-02159/combined-notice-of-filings-1,Energy Department; Federal Energy Regulatory Commission
02-03-2025,"Draft Regulatory Guide: Acceptability of ASME Code, Section III, Division 5, “High Temperature Reactors”",https://www.federalregister.gov/documents/2025/02/03/2025-02036/draft-regulatory-guide-acceptability-of-asme-code-section-iii-division-5-high-temperature-reactors,Nuclear Regulatory Commission
01-31-2025,Regulatory Guides: Criteria for Power Systems for Nuclear Power Plants and Criteria for the Protection of Class 1E Power Systems and Equipment for Nuclear Power Plants,https://www.federalregister.gov/documents/2025/01/31/2025-02065/regulatory-guides-criteria-for-power-systems-for-nuclear-power-plants-and-criteria-for-the,Nuclear Regulatory Commission
01-31-2025,"Holtec Decommissioning International, LLC and Holtec Palisades, LLC; Palisades Nuclear Plant; Draft Environmental Assessment and Draft Finding of No Significant Impact",https://www.federalregister.gov/documents/2025/01/31/2025-01997/holtec-decommissioning-international-llc-and-holtec-palisades-llc-palisades-nuclear-plant-draft,Nuclear Regulatory Commission
01-29-2025,Unleashing American Energy,https://www.federalregister.gov/documents/2025/01/29/2025-01956/unleashing-american-energy,Executive Office of the President
01-29-2025,"Louisiana Energy Services, LLC, dba Urenco USA; National Enrichment Facility; License Amendment Application",https://www.federalregister.gov/documents/2025/01/29/2025-01867/louisiana-energy-services-llc-dba-urenco-usa-national-enrichment-facility-license-amendment,Nuclear Regulatory Commission
01-29-2025,Civil Nuclear Trade Advisory Committee: Meeting of the Civil Nuclear Trade Advisory Committee,https://www.federalregister.gov/documents/2025/01/29/2025-01847/civil-nuclear-trade-advisory-committee-meeting-of-the-civil-nuclear-trade-advisory-committee,Commerce Department; International Trade Administration
01-28-2025,Cimarron Environmental Response Trust; Cimarron Facility; License Amendment Application,https://www.federalregister.gov/documents/2025/01/28/2025-01839/cimarron-environmental-response-trust-cimarron-facility-license-amendment-application,Nuclear Regulatory Commission
