timestamp,title,url,source
02-24-2025,"Cibola Renewables, LLC; Notice of Preliminary Determination of a Qualifying Conduit Hydropower Facility and Soliciting Comments and Motions To Intervene",https://www.federalregister.gov/documents/2025/02/24/2025-03008/cibola-renewables-llc-notice-of-preliminary-determination-of-a-qualifying-conduit-hydropower,Energy Department; Federal Energy Regulatory Commission
02-20-2025,Energy Conservation Program: Energy Conservation Standards for Consumer Gas-Fired Instantaneous Water Heaters,https://www.federalregister.gov/documents/2025/02/20/2025-02852/energy-conservation-program-energy-conservation-standards-for-consumer-gas-fired-instantaneous-water,Energy Department
02-20-2025,Energy Conservation Program: Energy Conservation Standards for Walk-In Coolers and Walk-In Freezers,https://www.federalregister.gov/documents/2025/02/20/2025-02851/energy-conservation-program-energy-conservation-standards-for-walk-in-coolers-and-walk-in-freezers,Energy Department
02-12-2025,Renewable Energy and Energy Efficiency Advisory Committee,https://www.federalregister.gov/documents/2025/02/12/2025-02534/renewable-energy-and-energy-efficiency-advisory-committee,Commerce Department; International Trade Administration
02-12-2025,Combined Notice of Filings #1,https://www.federalregister.gov/documents/2025/02/12/2025-02531/combined-notice-of-filings-1,Energy Department; Federal Energy Regulatory Commission
02-11-2025,Combined Notice of Filings #1,https://www.federalregister.gov/documents/2025/02/11/2025-02451/combined-notice-of-filings-1,Energy Department; Federal Energy Regulatory Commission
02-11-2025,Utility Scale Wind Towers From Spain: Notice of Court Decision Not in Harmony With the Final Determination of Less-Than-Fair-Value Investigation; Notice of Amended Final Determination; and Notice of Amended Antidumping Duty Order,https://www.federalregister.gov/documents/2025/02/11/2025-02448/utility-scale-wind-towers-from-spain-notice-of-court-decision-not-in-harmony-with-the-final,Commerce Department; International Trade Administration
02-11-2025,Combined Notice of Filings #2,https://www.federalregister.gov/documents/2025/02/11/2025-02439/combined-notice-of-filings-2,Energy Department; Federal Energy Regulatory Commission
02-11-2025,Combined Notice of Filings #1,https://www.federalregister.gov/documents/2025/02/11/2025-02437/combined-notice-of-filings-1,Energy Department; Federal Energy Regulatory Commission
02-11-2025,"Parker & Nelson Holdings, LLC, 3Phase Hydro, LLC; Notice of Transfer of Exemption",https://www.federalregister.gov/documents/2025/02/11/2025-02426/parker-and-nelson-holdings-llc-3phase-hydro-llc-notice-of-transfer-of-exemption,Energy Department; Federal Energy Regulatory Commission
02-07-2025,Combined Notice of Filings #1,https://www.federalregister.gov/documents/2025/02/07/2025-02371/combined-notice-of-filings-1,Energy Department; Federal Energy Regulatory Commission
02-07-2025,Combined Notice of Filings #1,https://www.federalregister.gov/documents/2025/02/07/2025-02322/combined-notice-of-filings-1,Energy Department; Federal Energy Regulatory Commission
02-05-2025,Combined Notice of Filings #1,https://www.federalregister.gov/documents/2025/02/05/2025-02241/combined-notice-of-filings-1,Energy Department; Federal Energy Regulatory Commission
02-05-2025,Energy Conservation Program: Test Procedures for Residential and Commercial Clothes Washers and Consumer Clothes Dryers,https://www.federalregister.gov/documents/2025/02/05/2025-02237/energy-conservation-program-test-procedures-for-residential-and-commercial-clothes-washers-and,Energy Department
02-05-2025,Energy Conservation Program: Test Procedure for General Service Lamps,https://www.federalregister.gov/documents/2025/02/05/2025-02235/energy-conservation-program-test-procedure-for-general-service-lamps,Energy Department
02-05-2025,Energy Conservation Program: Test Procedures for Central Air Conditioners and Heat Pumps,https://www.federalregister.gov/documents/2025/02/05/2025-02234/energy-conservation-program-test-procedures-for-central-air-conditioners-and-heat-pumps,Energy Department
02-05-2025,"Brookfield White Pine Hydro LLC; Notice of Application Accepted for Filing, Scoping Meetings, and Environmental Site Review; Soliciting Motions To Intervene and Protests; and Soliciting Scoping Comments",https://www.federalregister.gov/documents/2025/02/05/2025-02225/brookfield-white-pine-hydro-llc-notice-of-application-accepted-for-filing-scoping-meetings-and,Energy Department; Federal Energy Regulatory Commission
01-31-2025,Notice of Availability of the Environmental Assessment for the Proposed Rover Pipeline LLC Rover-Sunny Farms Receipt and Delivery Meter Station Project,https://www.federalregister.gov/documents/2025/01/31/2025-01984/notice-of-availability-of-the-environmental-assessment-for-the-proposed-rover-pipeline-llc,Energy Department; Federal Energy Regulatory Commission
01-29-2025,Renewable Energy and Energy Efficiency Advisory Committee,https://www.federalregister.gov/documents/2025/01/29/2025-01846/renewable-energy-and-energy-efficiency-advisory-committee,Commerce Department; International Trade Administration
01-27-2025,Initiation of Antidumping and Countervailing Duty Administrative Reviews,https://www.federalregister.gov/documents/2025/01/27/2025-01751/initiation-of-antidumping-and-countervailing-duty-administrative-reviews,Commerce Department; International Trade Administration
01-27-2025,"Lyonsdale Associates, LLC; Notice Soliciting Scoping Comments",https://www.federalregister.gov/documents/2025/01/27/2025-01738/lyonsdale-associates-llc-notice-soliciting-scoping-comments,Energy Department; Federal Energy Regulatory Commission
