,Unnamed: 0,timestamp,title,url,source,sentiment,score,prob_positive,prob_neutral,prob_negative,net_sentiment,average_sentiment,sentiment_score_ranking
0,0,11-12-2024,3 Nuclear Energy Stocks to Benefit From AI-Driven Demand,https://www.investing.com/analysis/3-nuclear-energy-stocks-to-benefit-from-aidriven-demand-200654084,Investing.com,positive,0.8869910836219788,0.8869910836219788,0.105580098927021,0.0074287774041295,0.8795623062178493,0.23846431830897927,0.6192321591544896
1,1,09-09-2024,"Lutetium-177 Industry Research Report 2024: Carrier Added Lutetium-177, Non-Carrier-Added Lutetium-177 - Global Forecast 2024-2030",https://www.globenewswire.com/news-release/2024/09/09/2942571/28124/en/Lutetium-177-Industry-Research-Report-2024-Carrier-Added-Lutetium-177-Non-Carrier-Added-Lutetium-177-Global-Forecast-2024-2030.html,GlobeNewswire Inc.,neutral,0.8951078653335571,0.0880599543452262,0.8951078653335571,0.0168322250247001,0.07122772932052611,0.23846431830897927,0.6192321591544896
2,2,07-02-2024,Is the Options Market Predicting a Spike in BWX Technologies (BWXT) Stock?,https://www.zacks.com/stock/news/2296158/is-the-options-market-predicting-a-spike-in-bwx-technologies-bwxt-stock,Zacks Investment Research,positive,0.4332769215106964,0.4332769215106964,0.3645234107971191,0.2021996527910232,0.2310772687196732,0.23846431830897927,0.6192321591544896
3,3,05-07-2024,Why BWX Technologies Stock Is Sinking Today,https://www.fool.com/investing/2024/05/07/why-bwx-technologies-stock-is-sinking-today/,The Motley Fool,negative,0.8896890878677368,0.0141657199710607,0.096145175397396,0.8896890878677368,-0.8755233678966761,0.23846431830897927,0.6192321591544896
4,4,05-06-2024,BWX Technologies (BWXT) Q1 Earnings and Revenues Beat Estimates,https://www.zacks.com/stock/news/2269084/bwx-technologies-bwxt-q1-earnings-and-revenues-beat-estimates,Zacks Investment Research,positive,0.8803627490997314,0.8803627490997314,0.0421546287834644,0.0774826034903526,0.8028801456093788,0.23846431830897927,0.6192321591544896
5,5,04-29-2024,Analysts Estimate BWX Technologies (BWXT) to Report a Decline in Earnings: What to Look Out for,https://www.zacks.com/stock/news/2264212/analysts-estimate-bwx-technologies-bwxt-to-report-a-decline-in-earnings-what-to-look-out-for,Zacks Investment Research,negative,0.963866889476776,0.010091551579535,0.0260414872318506,0.963866889476776,-0.953775337897241,0.23846431830897927,0.6192321591544896
6,6,04-02-2024,"Zacks Industry Outlook Highlights TE Connectivity, BWX Technologies and Novanta",https://www.zacks.com/stock/news/2248805/zacks-industry-outlook-highlights-te-connectivity-bwx-technologies-and-novanta,Zacks Investment Research,neutral,0.9086501002311708,0.075731061398983,0.9086501002311708,0.0156187796965241,0.0601122817024589,0.23846431830897927,0.6192321591544896
7,7,04-01-2024,3 Top Electronics Stocks to Overcome Industry Headwinds,https://www.zacks.com/commentary/2248457/3-top-electronics-stocks-to-overcome-industry-headwinds,Zacks Investment Research,positive,0.9335083961486816,0.9335083961486816,0.0470387265086174,0.019452940672636,0.9140554554760456,0.23846431830897927,0.6192321591544896
8,8,03-28-2024,Are Computer and Technology Stocks Lagging  BWX Technologies (BWXT) This Year?,https://www.zacks.com/stock/news/2247321/are-computer-and-technology-stocks-lagging-bwx-technologies-bwxt-this-year,Zacks Investment Research,negative,0.9475250840187072,0.0134461214765906,0.0390288494527339,0.9475250840187072,-0.9340789625421165,0.23846431830897927,0.6192321591544896
9,9,03-12-2024,BWX (BWXT) Upgraded to Buy: What Does It Mean for the Stock?,https://www.zacks.com/stock/news/2239421/bwx-bwxt-upgraded-to-buy-what-does-it-mean-for-the-stock,Zacks Investment Research,neutral,0.9245373010635376,0.0554791390895843,0.9245373010635376,0.019983597099781,0.0354955419898033,0.23846431830897927,0.6192321591544896
