,Unnamed: 0,timestamp,title,url,source,sentiment,score,prob_positive,prob_neutral,prob_negative,net_sentiment,average_sentiment,sentiment_score_ranking
0,0,06-19-2024,Green Plains (GPRE) Updates on Nebraska Carbon Capture Project,https://www.zacks.com/stock/news/2290316/green-plains-gpre-updates-on-nebraska-carbon-capture-project,Zacks Investment Research,neutral,0.93992418050766,0.0376011505722999,0.93992418050766,0.0224746316671371,0.015126518905162801,-0.02372779462020846,0.48813610268989577
1,1,05-06-2024,Analyst Expectations For Green Plains's Future,https://www.benzinga.com/insights/analyst-ratings/24/05/38647875/analyst-expectations-for-green-plainss-future,Benzinga,positive,0.8269904851913452,0.8269904851913452,0.1616707146167755,0.0113387303426861,0.8156517548486591,-0.02372779462020846,0.48813610268989577
2,2,05-03-2024,"Green Plains Renewable Energy (GPRE) Reports Q1 Loss, Misses Revenue Estimates",https://www.zacks.com/stock/news/2267679/green-plains-renewable-energy-gpre-reports-q1-loss-misses-revenue-estimates,Zacks Investment Research,negative,0.9747056365013124,0.0083109140396118,0.0169834811240434,0.9747056365013124,-0.9663947224617006,-0.02372779462020846,0.48813610268989577
3,3,04-30-2024,Earnings Preview: Arcadium (ALTM) Q1 Earnings Expected to Decline,https://www.zacks.com/stock/news/2265064/earnings-preview-arcadium-altm-q1-earnings-expected-to-decline,Zacks Investment Research,negative,0.958911120891571,0.0130039993673563,0.028084821999073,0.958911120891571,-0.9459071215242147,-0.02372779462020846,0.48813610268989577
4,4,04-26-2024,Green Plains Renewable Energy (GPRE) May Report Negative Earnings: Know the Trend Ahead of Next Week's Release,https://www.zacks.com/stock/news/2263352/green-plains-renewable-energy-gpre-may-report-negative-earnings-know-the-trend-ahead-of-next-weeks-release,Zacks Investment Research,negative,0.9578015804290771,0.007701467256993,0.0344969220459461,0.9578015804290771,-0.9501001131720841,-0.02372779462020846,0.48813610268989577
5,5,04-09-2024,Green Plains (GPRE) Unveils Specialty Feed Ingredient Brand,https://www.zacks.com/stock/news/2252350/green-plains-gpre-unveils-specialty-feed-ingredient-brand,Zacks Investment Research,neutral,0.8243188261985779,0.167153775691986,0.8243188261985779,0.0085274083539843,0.1586263673380017,-0.02372779462020846,0.48813610268989577
6,6,03-25-2024,The Analyst Landscape: 4 Takes On Green Plains,https://www.benzinga.com/insights/analyst-ratings/24/03/37918741/the-analyst-landscape-4-takes-on-green-plains,Benzinga,neutral,0.9178577065467834,0.0627941042184829,0.9178577065467834,0.0193481780588626,0.0434459261596203,-0.02372779462020846,0.48813610268989577
7,7,02-07-2024,Why Green Plains Stock Jumped 13% on Wednesday,https://www.fool.com/investing/2024/02/07/why-green-plains-stock-jumped-130-on-wednesday/,The Motley Fool,positive,0.9378422498703004,0.9378422498703004,0.0445284210145473,0.0176293086260557,0.9202129412442447,-0.02372779462020846,0.48813610268989577
8,8,02-07-2024,Why Container Store Group Shares Are Trading Lower By Around 23%? Here Are Other Stocks Moving In Wednesday's Mid-Day Session,https://www.benzinga.com/news/24/02/36988213/why-container-store-group-shares-are-trading-lower-by-around-23-here-are-other-stocks-moving-in-wedn,Benzinga,negative,0.8427684903144836,0.0156810078769922,0.1415504962205886,0.8427684903144836,-0.8270874824374914,-0.02372779462020846,0.48813610268989577
9,9,02-07-2024,"Chipotle Posts Upbeat Earnings, Joins Cirrus Logic, Emerson Electric, Carlyle Group And Other Big Stocks Moving Higher On Wednesday",https://www.benzinga.com/news/24/02/36985898/chipotle-posts-upbeat-earnings-joins-cirrus-logic-emerson-electric-carlyle-group-and-other-big-stock,Benzinga,positive,0.9434033632278442,0.9434033632278442,0.0290365479886531,0.0275600329041481,0.9158433303236961,-0.02372779462020846,0.48813610268989577
10,10,02-07-2024,Green Plains Renewable Energy (GPRE) Q4 Earnings and Revenues Lag Estimates,https://www.zacks.com/stock/news/2222357/green-plains-renewable-energy-gpre-q4-earnings-and-revenues-lag-estimates,Zacks Investment Research,negative,0.9566342234611512,0.0141525510698556,0.0292131714522838,0.9566342234611512,-0.9424816723912957,-0.02372779462020846,0.48813610268989577
11,11,01-24-2024,Top 3 Energy Stocks That May Explode In Q1,https://www.benzinga.com/trading-ideas/long-ideas/24/01/36755076/top-3-energy-stocks-that-may-explode-in-q1,Benzinga,neutral,0.9113625884056092,0.0498831681907177,0.9113625884056092,0.0387542732059955,0.0111288949847222,-0.02372779462020846,0.48813610268989577
12,12,01-11-2024,Green Plains (GPRE) Wraps Up Buyout of Green Plains Partners,https://www.zacks.com/stock/news/2208726/green-plains-gpre-wraps-up-buyout-of-green-plains-partners,Zacks Investment Research,neutral,0.8828697204589844,0.1038753017783165,0.8828697204589844,0.0132549218833446,0.0906203798949719,-0.02372779462020846,0.48813610268989577
13,13,01-09-2024,Green Plains (GPRE) Announces Unitholder Approval of Merger,https://www.zacks.com/stock/news/2207329/green-plains-gpre-announces-unitholder-approval-of-merger,Zacks Investment Research,neutral,0.8685012459754944,0.114459104835987,0.8685012459754944,0.0170396622270345,0.0974194426089525,-0.02372779462020846,0.48813610268989577
14,14,01-06-2024,"The Russell 2000 Index has soared, but you might be better off looking elsewhere for quality small-cap stocks",https://www.marketwatch.com/story/the-russell-2000-index-has-soared-but-you-might-be-better-off-looking-elsewhere-for-quality-small-cap-stocks-232d38b0,MarketWatch,positive,0.7591025829315186,0.7591025829315186,0.2260400950908661,0.0148573471233248,0.7442452358081938,-0.02372779462020846,0.48813610268989577
15,15,01-02-2024,New Strong Buy Stocks for January 2nd,https://www.zacks.com/commentary/2203501/new-strong-buy-stocks-for-january-2nd,Zacks Investment Research,neutral,0.8905944228172302,0.0808905959129333,0.8905944228172302,0.0285149924457073,0.052375603467225994,-0.02372779462020846,0.48813610268989577
16,16,12-26-2023,20 favorite small-cap stocks for 2024 among Wall Street analysts,https://www.marketwatch.com/story/20-favorite-small-cap-stocks-for-2024-among-wall-street-analysts-bc9133b4,MarketWatch,neutral,0.7090448141098022,0.2624533772468567,0.7090448141098022,0.0285017974674701,0.23395157977938658,-0.02372779462020846,0.48813610268989577
17,17,10-31-2023,Green Plains (GPRE) Q3 Earnings: Taking a Look at Key Metrics Versus Estimates,https://www.zacks.com/stock/news/2175378/green-plains-gpre-q3-earnings-taking-a-look-at-key-metrics-versus-estimates,Zacks Investment Research,neutral,0.8920165300369263,0.0926574990153312,0.8920165300369263,0.0153260165825486,0.0773314824327826,-0.02372779462020846,0.48813610268989577
18,18,10-31-2023,Green Plains Renewable Energy (GPRE) Surpasses Q3 Earnings and Revenue Estimates,https://www.zacks.com/stock/news/2175166/green-plains-renewable-energy-gpre-surpasses-q3-earnings-and-revenue-estimates,Zacks Investment Research,positive,0.955269694328308,0.955269694328308,0.0258721243590116,0.0188581161201,0.936411578208208,-0.02372779462020846,0.48813610268989577
19,19,10-25-2023,Earnings Preview: Ingevity (NGVT) Q3 Earnings Expected to Decline,https://www.zacks.com/stock/news/2171753/earnings-preview-ingevity-ngvt-q3-earnings-expected-to-decline,Zacks Investment Research,negative,0.9658858776092528,0.0109100611880421,0.0232039410620927,0.9658858776092528,-0.9549758164212108,-0.02372779462020846,0.48813610268989577
