,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,,,57185.0
Ordinary Shares Number,16152043.0,16152043.0,16152043.0,16152043.0
Share Issued,16152043.0,16152043.0,16152043.0,16209228.0
Net Debt,145943000.0,203777000.0,322096000.0,443785000.0
Total Debt,182683000.0,317222000.0,372844000.0,480599000.0
Tangible Book Value,615202000.0,611686000.0,238337000.0,234990000.0
Invested Capital,797885000.0,928908000.0,611181000.0,715589000.0
Working Capital,397703000.0,536273000.0,274858000.0,312043000.0
Net Tangible Assets,617003000.0,613487000.0,240138000.0,236791000.0
Common Stock Equity,615202000.0,611686000.0,238337000.0,234990000.0
Preferred Stock Equity,1801000.0,1801000.0,1801000.0,1801000.0
Total Capitalization,799686000.0,930709000.0,612982000.0,717390000.0
Total Equity Gross Minority Interest,816511000.0,812168000.0,336851000.0,330406000.0
Minority Interest,199508000.0,198681000.0,96713000.0,93615000.0
Stockholders Equity,617003000.0,613487000.0,240138000.0,236791000.0
Treasury Stock,,,0.0,2000.0
Retained Earnings,553402000.0,549434000.0,176085000.0,172738000.0
Additional Paid In Capital,61638000.0,62090000.0,62090000.0,62092000.0
Capital Stock,1963000.0,1963000.0,1963000.0,1963000.0
Common Stock,162000.0,162000.0,162000.0,162000.0
Preferred Stock,1801000.0,1801000.0,1801000.0,1801000.0
Total Liabilities Net Minority Interest,206973000.0,385311000.0,433718000.0,535358000.0
Total Non Current Liabilities Net Minority Interest,192474000.0,327013000.0,382635000.0,500420000.0
Non Current Deferred Liabilities,9791000.0,9791000.0,9791000.0,19821000.0
Non Current Deferred Revenue,9791000.0,9791000.0,9791000.0,19821000.0
Long Term Debt And Capital Lease Obligation,182683000.0,317222000.0,372844000.0,480599000.0
Long Term Debt,182683000.0,317222000.0,372844000.0,480599000.0
Current Liabilities,14499000.0,58298000.0,51083000.0,34938000.0
Current Debt And Capital Lease Obligation,,188004000.0,183392000.0,242711000.0
Current Debt,,188004000.0,183392000.0,242711000.0
Line Of Credit,,188004000.0,183392000.0,242711000.0
Payables And Accrued Expenses,14499000.0,58298000.0,51083000.0,34938000.0
Current Accrued Expenses,2633000.0,5198000.0,6565000.0,7639000.0
Interest Payable,2633000.0,5198000.0,6565000.0,7639000.0
Payables,11866000.0,53100000.0,44518000.0,27299000.0
Accounts Payable,11866000.0,53100000.0,44518000.0,27299000.0
Total Assets,1023484000.0,1197479000.0,770569000.0,865764000.0
Total Non Current Assets,611282000.0,602908000.0,444628000.0,518783000.0
Other Non Current Assets,99636000.0,80861000.0,86644000.0,80975000.0
Investments And Advances,10060000.0,28226000.0,61621000.0,60425000.0
Other Investments,,,61621000.0,60425000.0
Long Term Equity Investment,10060000.0,28226000.0,61621000.0,60425000.0
Investmentsin Joint Venturesat Cost,10060000.0,28226000.0,61621000.0,60425000.0
Investment Properties,501586000.0,493821000.0,296363000.0,377383000.0
Current Assets,412202000.0,594571000.0,325941000.0,346981000.0
Restricted Cash,42327000.0,108883000.0,21986000.0,50206000.0
Receivables,242687000.0,252456000.0,237206000.0,259961000.0
Duefrom Related Parties Current,96533000.0,108184000.0,100599000.0,129335000.0
Accrued Interest Receivable,2012000.0,4663000.0,,
Notes Receivable,144142000.0,139609000.0,136607000.0,130626000.0
Cash Cash Equivalents And Short Term Investments,127188000.0,233232000.0,66749000.0,36814000.0
Other Short Term Investments,90448000.0,119787000.0,16001000.0,0.0
Cash And Cash Equivalents,36740000.0,113445000.0,50748000.0,36814000.0
