,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-31054000.0,-45386000.0,-11523000.0,3498000.0
Repurchase Of Capital Stock,-908000.0,0.0,0.0,0.0
Repayment Of Debt,-137657000.0,-111022000.0,-118900000.0,-33415000.0
Issuance Of Debt,0.0,0.0,20015000.0,30727000.0
Interest Paid Supplemental Data,11014000.0,22211000.0,28891000.0,31453000.0
Income Tax Paid Supplemental Data,38072000.0,55288000.0,910000.0,2530000.0
End Cash Position,79067000.0,222328000.0,72734000.0,87020000.0
Beginning Cash Position,222328000.0,72734000.0,87020000.0,83311000.0
Changes In Cash,-143261000.0,149594000.0,-14286000.0,3709000.0
Financing Cash Flow,-139020000.0,-112377000.0,-103585000.0,-3985000.0
Cash Flow From Continuing Financing Activities,-139020000.0,-112377000.0,-103585000.0,-3985000.0
Net Other Financing Charges,-455000.0,-1355000.0,-4700000.0,-1297000.0
Cash Dividends Paid,,,0.0,0.0
Preferred Stock Dividend Paid,,,0.0,0.0
Net Preferred Stock Issuance,,,,0.0
Preferred Stock Payments,,,,0.0
Net Common Stock Issuance,-908000.0,0.0,0.0,
Common Stock Payments,-908000.0,0.0,0.0,
Net Issuance Payments Of Debt,-137657000.0,-111022000.0,-98885000.0,-2688000.0
Net Long Term Debt Issuance,-137657000.0,-111022000.0,-98885000.0,-2688000.0
Long Term Debt Payments,-137657000.0,-111022000.0,-118900000.0,-33415000.0
Long Term Debt Issuance,0.0,0.0,20015000.0,30727000.0
Investing Cash Flow,26813000.0,307357000.0,100822000.0,4196000.0
Cash Flow From Continuing Investing Activities,26813000.0,307357000.0,100822000.0,4196000.0
Net Other Investing Changes,-5473000.0,44150000.0,117873000.0,13615000.0
Dividends Received Cfi,21409000.0,384284000.0,7430000.0,8086000.0
Net Investment Purchase And Sale,29339000.0,-102391000.0,-16000000.0,0.0
Sale Of Investment,120346000.0,175250000.0,0.0,0.0
Purchase Of Investment,-91007000.0,-277641000.0,-16000000.0,0.0
Net Investment Properties Purchase And Sale,-18462000.0,-18686000.0,-8070000.0,-17505000.0
Purchase Of Investment Properties,-18462000.0,-18686000.0,-8070000.0,-17505000.0
Net Business Purchase And Sale,0.0,0.0,-411000.0,0.0
Purchase Of Business,0.0,0.0,-411000.0,0.0
Operating Cash Flow,-31054000.0,-45386000.0,-11523000.0,3498000.0
Cash Flow From Continuing Operating Activities,-31054000.0,-45386000.0,-11523000.0,3498000.0
Dividend Received Cfo,0.0,5200000.0,3157000.0,1782000.0
Change In Working Capital,-51867000.0,37932000.0,-3173000.0,-5976000.0
Change In Other Current Assets,-10273000.0,7782000.0,-14205000.0,-3450000.0
Change In Payables And Accrued Expense,-30513000.0,37735000.0,-7214000.0,-2199000.0
Change In Accrued Expense,-1719000.0,-1318000.0,-4650000.0,-531000.0
Change In Interest Payable,-1719000.0,-1318000.0,-4650000.0,-531000.0
Change In Payable,-28794000.0,39053000.0,-2564000.0,-1668000.0
Change In Account Payable,-28794000.0,39053000.0,-2564000.0,-1668000.0
Change In Receivables,-11081000.0,-7585000.0,18246000.0,-327000.0
Provisionand Write Offof Assets,1593000.0,-3284000.0,-1326000.0,984000.0
Depreciation Amortization Depletion,14571000.0,13111000.0,15029000.0,18579000.0
Depreciation And Amortization,14571000.0,13111000.0,15029000.0,18579000.0
Operating Gains Losses,-602000.0,-573662000.0,-31655000.0,-23138000.0
Earnings Losses From Equity Investments,-3242000.0,-469268000.0,-14634000.0,379000.0
Net Foreign Currency Exchange Gain Loss,-993000.0,-20067000.0,6175000.0,13378000.0
Net Income From Continuing Operations,5251000.0,475317000.0,6445000.0,11267000.0
