,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-623040.0,25994106.0,782966.0,6349590.0
Tax Rate For Calcs,0.236,0.249,0.046,0.27
Normalized EBITDA,33420000.0,499671000.0,26805000.0,41186000.0
Total Unusual Items,-2640000.0,104394000.0,17021000.0,23517000.0
Total Unusual Items Excluding Goodwill,-2640000.0,104394000.0,17021000.0,23517000.0
Net Income From Continuing Operation Net Minority Interest,3968000.0,373349000.0,3347000.0,9030000.0
Reconciled Depreciation,14571000.0,13111000.0,15029000.0,18579000.0
Reconciled Cost Of Revenue,26971000.0,14914000.0,17701000.0,20536000.0
EBITDA,30780000.0,604065000.0,43826000.0,64703000.0
EBIT,16209000.0,590954000.0,28797000.0,46124000.0
Net Interest Income,17345000.0,9030000.0,-5659000.0,-11906000.0
Interest Expense,9502000.0,17529000.0,23419000.0,35004000.0
Interest Income,26847000.0,26559000.0,17760000.0,23098000.0
Normalized Income,5984960.0,294949106.0,-12891034.0,-8137410.0
Net Income From Continuing And Discontinued Operation,3968000.0,373349000.0,3347000.0,9030000.0
Total Expenses,61740000.0,46811000.0,62657000.0,59138000.0
Total Operating Income As Reported,-11240000.0,-9267000.0,-20618000.0,-112000.0
Diluted Average Shares,16152043.0,16152043.0,16152043.0,16045796.0
Basic Average Shares,16152043.0,16152043.0,16152043.0,16045796.0
Diluted EPS,0.25,23.11,0.21,0.56
Basic EPS,0.25,23.11,0.21,0.56
Diluted NI Availto Com Stockholders,3968000.0,373349000.0,3347000.0,9030000.0
Net Income Common Stockholders,3968000.0,373349000.0,3347000.0,9030000.0
Net Income,3968000.0,373349000.0,3347000.0,9030000.0
Minority Interests,-1283000.0,-101968000.0,-3098000.0,-2237000.0
Net Income Including Noncontrolling Interests,5251000.0,475317000.0,6445000.0,11267000.0
Net Income Continuous Operations,5251000.0,475317000.0,6445000.0,11267000.0
Tax Provision,1456000.0,98108000.0,-1067000.0,-147000.0
Pretax Income,6707000.0,573425000.0,5378000.0,11120000.0
Other Income Expense,602000.0,573662000.0,31655000.0,23138000.0
Special Income Charges,-3633000.0,84327000.0,23196000.0,36895000.0
Gain On Sale Of Ppe,-1923000.0,87132000.0,24647000.0,36895000.0
Other Special Charges,1710000.0,2805000.0,1451000.0,
Earnings From Equity Interest,3242000.0,469268000.0,14634000.0,-379000.0
Gain On Sale Of Security,993000.0,20067000.0,-6175000.0,-13378000.0
Net Non Operating Interest Income Expense,17345000.0,9030000.0,-5659000.0,-11906000.0
Interest Expense Non Operating,9502000.0,17529000.0,23419000.0,35004000.0
Interest Income Non Operating,26847000.0,26559000.0,17760000.0,23098000.0
Operating Income,-11240000.0,-9267000.0,-20618000.0,-112000.0
Operating Expense,33844000.0,28472000.0,41797000.0,34778000.0
Depreciation Amortization Depletion Income Statement,13646000.0,9686000.0,11870000.0,14755000.0
Depreciation And Amortization In Income Statement,13646000.0,9686000.0,11870000.0,14755000.0
Selling General And Administration,20198000.0,18786000.0,29927000.0,20023000.0
General And Administrative Expense,20198000.0,18786000.0,29927000.0,20023000.0
Other Gand A,20198000.0,18786000.0,29927000.0,20023000.0
Gross Profit,22604000.0,19205000.0,21179000.0,34666000.0
Cost Of Revenue,27896000.0,18339000.0,20860000.0,24360000.0
Total Revenue,50500000.0,37544000.0,42039000.0,59026000.0
Operating Revenue,47023000.0,34080000.0,37808000.0,51909000.0
