,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,151242120.0,150513104.0,135026940.0,126994467.0
Share Issued,151242120.0,150513104.0,135026940.0,126994467.0
Net Debt,433340000.0,625142000.0,347686000.0,319842000.0
Total Debt,730471000.0,769596000.0,721265000.0,428283000.0
Tangible Book Value,-526739000.0,-678267000.0,-313685000.0,-348886000.0
Invested Capital,941668000.0,883324000.0,646151000.0,347384000.0
Working Capital,496590000.0,365947000.0,606728000.0,86072000.0
Net Tangible Assets,-175479000.0,-378697000.0,-76223000.0,-348886000.0
Capital Lease Obligations,48051000.0,10553000.0,5909000.0,
Common Stock Equity,259248000.0,124281000.0,-69205000.0,-80899000.0
Preferred Stock Equity,351260000.0,299570000.0,237462000.0,127000.0
Total Capitalization,1271456000.0,1144203000.0,879313000.0,343071000.0
Total Equity Gross Minority Interest,610508000.0,423851000.0,168257000.0,-80899000.0
Stockholders Equity,610508000.0,423851000.0,168257000.0,-80899000.0
Gains Losses Not Affecting Retained Earnings,44810000.0,8425000.0,0.0,
Other Equity Adjustments,44810000.0,8425000.0,,
Retained Earnings,-130230000.0,-267470000.0,-271902000.0,-221499000.0
Additional Paid In Capital,344517000.0,383176000.0,202562000.0,140473000.0
Capital Stock,351411000.0,299720000.0,237597000.0,127000.0
Common Stock,151000.0,150000.0,135000.0,127000.0
Preferred Stock,351260000.0,299570000.0,237462000.0,0.0
Total Liabilities Net Minority Interest,1096233000.0,1282201000.0,974722000.0,736923000.0
Total Non Current Liabilities Net Minority Interest,760542000.0,816939000.0,729417000.0,447820000.0
Other Non Current Liabilities,32736000.0,23981000.0,18361000.0,10736000.0
Non Current Deferred Liabilities,66858000.0,72606000.0,0.0,13114000.0
Non Current Deferred Taxes Liabilities,66858000.0,72606000.0,0.0,13114000.0
Long Term Debt And Capital Lease Obligation,660948000.0,720352000.0,711056000.0,423970000.0
Long Term Debt,660948000.0,720352000.0,711056000.0,423970000.0
Current Liabilities,335691000.0,465262000.0,245305000.0,289103000.0
Other Current Liabilities,1427000.0,1201000.0,1773000.0,8955000.0
Current Deferred Liabilities,66488000.0,178922000.0,99575000.0,149821000.0
Current Deferred Revenue,66488000.0,178922000.0,99575000.0,149821000.0
Current Debt And Capital Lease Obligation,69523000.0,49244000.0,10209000.0,4313000.0
Current Capital Lease Obligation,48051000.0,10553000.0,5909000.0,
Current Debt,21472000.0,38691000.0,4300000.0,4313000.0
Other Current Borrowings,21472000.0,38691000.0,4300000.0,4313000.0
Current Provisions,,,3192000.0,3049000.0
Payables And Accrued Expenses,198253000.0,235895000.0,133748000.0,126014000.0
Current Accrued Expenses,23291000.0,18232000.0,41686000.0,32213000.0
Interest Payable,4723000.0,3054000.0,,
Payables,174962000.0,217663000.0,92062000.0,93801000.0
Other Payable,44150000.0,39402000.0,,
Total Tax Payable,11314000.0,7831000.0,60000.0,8814000.0
Income Tax Payable,5754000.0,6881000.0,60000.0,8814000.0
Accounts Payable,119498000.0,170430000.0,92002000.0,84987000.0
Total Assets,1706741000.0,1706052000.0,1142979000.0,656024000.0
Total Non Current Assets,874460000.0,874843000.0,290946000.0,280849000.0
Other Non Current Assets,40717000.0,32655000.0,26429000.0,3088000.0
Non Current Deferred Assets,15870000.0,16466000.0,9345000.0,0.0
Non Current Deferred Taxes Assets,15870000.0,16466000.0,9345000.0,0.0
Goodwill And Other Intangible Assets,785987000.0,802548000.0,244480000.0,267987000.0
Other Intangible Assets,350396000.0,386364000.0,174753000.0,198260000.0
Goodwill,435591000.0,416184000.0,69727000.0,69727000.0
Net PPE,31886000.0,23174000.0,10692000.0,9774000.0
Accumulated Depreciation,-22092000.0,-17819000.0,-11223000.0,-8783000.0
Gross PPE,53978000.0,40993000.0,21915000.0,18557000.0
Construction In Progress,6525000.0,5142000.0,1880000.0,0.0
Other Properties,22962000.0,18983000.0,13924000.0,13261000.0
Machinery Furniture Equipment,13513000.0,7874000.0,2320000.0,1470000.0
Buildings And Improvements,9344000.0,7411000.0,2451000.0,2486000.0
Land And Improvements,1634000.0,1583000.0,1340000.0,1340000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,832281000.0,831209000.0,852033000.0,375175000.0
Other Current Assets,89085000.0,39434000.0,33649000.0,12423000.0
Restricted Cash,,,,0.0
Prepaid Assets,,,33649000.0,12423000.0
Inventory,161964000.0,233159000.0,205653000.0,118459000.0
Inventories Adjustments Allowances,,-8274000.0,-7415000.0,-6425000.0
Finished Goods,75350000.0,166585000.0,127598000.0,85833000.0
Raw Materials,86614000.0,66574000.0,85470000.0,39051000.0
Receivables,332152000.0,424715000.0,245061000.0,135852000.0
Taxes Receivable,0.0,3532000.0,9052000.0,17158000.0
Accounts Receivable,332152000.0,421183000.0,236009000.0,118694000.0
Allowance For Doubtful Accounts Receivable,-3824000.0,-1888000.0,-140000.0,-663000.0
Gross Accounts Receivable,335976000.0,423071000.0,236149000.0,119357000.0
Cash Cash Equivalents And Short Term Investments,249080000.0,133901000.0,367670000.0,108441000.0
Cash And Cash Equivalents,249080000.0,133901000.0,367670000.0,108441000.0
