,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,214966000.0,130874000.0,-266544000.0,-123543000.0
Repayment Of Debt,-162363000.0,-154235000.0,-259258000.0,-218330000.0
Issuance Of Debt,63311000.0,136188000.0,539354000.0,575000000.0
Issuance Of Capital Stock,0.0,48983000.0,345632000.0,145532000.0
Capital Expenditure,-16989000.0,-10619000.0,-3357000.0,-1338000.0
Interest Paid Supplemental Data,43949000.0,23118000.0,24306000.0,6935000.0
Income Tax Paid Supplemental Data,45942000.0,10739000.0,13318000.0,31103000.0
End Cash Position,249080000.0,133901000.0,367670000.0,108441000.0
Beginning Cash Position,133901000.0,367670000.0,108441000.0,361257000.0
Effect Of Exchange Rate Changes,1806000.0,735000.0,0.0,0.0
Changes In Cash,113373000.0,-234504000.0,259229000.0,-252816000.0
Financing Cash Flow,-101761000.0,8440000.0,537748000.0,-129273000.0
Cash Flow From Continuing Financing Activities,-101761000.0,8440000.0,537748000.0,-129273000.0
Net Other Financing Charges,-2709000.0,-3826000.0,-79929000.0,-631475000.0
Cash Dividends Paid,0.0,-18670000.0,-8051000.0,0.0
Preferred Stock Dividend Paid,0.0,-18670000.0,-8051000.0,0.0
Net Preferred Stock Issuance,0.0,33098000.0,224987000.0,0.0
Preferred Stock Issuance,0.0,33098000.0,224987000.0,0.0
Net Common Stock Issuance,0.0,15885000.0,120645000.0,145532000.0
Common Stock Issuance,0.0,15885000.0,120645000.0,145532000.0
Net Issuance Payments Of Debt,-99052000.0,-18047000.0,280096000.0,356670000.0
Net Short Term Debt Issuance,0.0,0.0,0.0,-70000.0
Short Term Debt Payments,0.0,-116000000.0,-126033000.0,-70000.0
Short Term Debt Issuance,0.0,116000000.0,126033000.0,0.0
Net Long Term Debt Issuance,-99052000.0,-18047000.0,280096000.0,356740000.0
Long Term Debt Payments,-162363000.0,-38235000.0,-133225000.0,-218260000.0
Long Term Debt Issuance,63311000.0,20188000.0,413321000.0,575000000.0
Investing Cash Flow,-16821000.0,-384437000.0,-15332000.0,-1338000.0
Cash Flow From Continuing Investing Activities,-16821000.0,-384437000.0,-15332000.0,-1338000.0
Net Investment Purchase And Sale,0.0,0.0,-11975000.0,0.0
Purchase Of Investment,0.0,0.0,-11975000.0,0.0
Net Business Purchase And Sale,0.0,-373818000.0,0.0,0.0
Purchase Of Business,0.0,-373818000.0,0.0,0.0
Net Intangibles Purchase And Sale,,,,0.0
Purchase Of Intangibles,,,,0.0
Net PPE Purchase And Sale,-16821000.0,-10619000.0,-3357000.0,-1338000.0
Sale Of PPE,168000.0,0.0,0.0,
Purchase Of PPE,-16989000.0,-10619000.0,-3357000.0,-1338000.0
Operating Cash Flow,231955000.0,141493000.0,-263187000.0,-122205000.0
Cash Flow From Continuing Operating Activities,231955000.0,141493000.0,-263187000.0,-122205000.0
Change In Working Capital,7510000.0,44343000.0,-261156000.0,-246823000.0
Change In Other Working Capital,-111986000.0,59002000.0,-50619000.0,-178960000.0
Change In Other Current Liabilities,1177000.0,3784000.0,221000.0,-25000000.0
Change In Payables And Accrued Expense,-30393000.0,12936000.0,7394000.0,-32736000.0
Change In Accrued Expense,5325000.0,1024000.0,9133000.0,10913000.0
Change In Payable,-35718000.0,11912000.0,-1739000.0,-43649000.0
Change In Account Payable,-37654000.0,12667000.0,7015000.0,-50519000.0
Change In Tax Payable,1936000.0,-755000.0,-8754000.0,6870000.0
Change In Income Tax Payable,1936000.0,-755000.0,-8754000.0,6870000.0
Change In Prepaid Assets,-10840000.0,19124000.0,-21226000.0,1101000.0
Change In Inventory,66743000.0,20870000.0,-88184000.0,28340000.0
Change In Receivables,92809000.0,-71373000.0,-108742000.0,-39568000.0
Changes In Account Receivables,92800000.0,-76984000.0,-116848000.0,-23038000.0
Other Non Cash Items,13077000.0,2350000.0,17732000.0,33228000.0
Stock Based Compensation,14540000.0,14982000.0,13757000.0,4809000.0
Provisionand Write Offof Assets,13624000.0,5892000.0,1039000.0,2773000.0
Deferred Tax,-8862000.0,-31565000.0,-10102000.0,-2739000.0
Deferred Income Tax,-8862000.0,-31565000.0,-10102000.0,-2739000.0
Depreciation Amortization Depletion,54826000.0,101059000.0,25946000.0,27474000.0
Depreciation And Amortization,54826000.0,101059000.0,25946000.0,27474000.0
Amortization Cash Flow,14558000.0,14558000.0,14558000.0,
Amortization Of Intangibles,14558000.0,14558000.0,14558000.0,
Depreciation,40268000.0,86501000.0,11388000.0,
Net Income From Continuing Operations,137240000.0,4432000.0,-50403000.0,59073000.0
