,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-679790.180461,10166520.0,-471800.0,-6358853.467562
Tax Rate For Calcs,0.22532,0.21,0.175,0.240492
Normalized EBITDA,279229000.0,84389000.0,3205000.0,146822000.0
Total Unusual Items,-3017000.0,48412000.0,-2696000.0,-26441000.0
Total Unusual Items Excluding Goodwill,-3017000.0,48412000.0,-2696000.0,-26441000.0
Net Income From Continuing Operation Net Minority Interest,137240000.0,4432000.0,-50403000.0,59073000.0
Reconciled Depreciation,54826000.0,101059000.0,25946000.0,27474000.0
Reconciled Cost Of Revenue,1145102000.0,1408350000.0,768443000.0,667901000.0
EBITDA,276212000.0,132801000.0,509000.0,120381000.0
EBIT,221386000.0,31742000.0,-25437000.0,92907000.0
Net Interest Income,-35899000.0,-33513000.0,-35475000.0,-15129000.0
Interest Expense,44229000.0,36694000.0,35684000.0,15129000.0
Interest Income,8330000.0,3181000.0,209000.0,
Normalized Income,139577209.819539,-33813480.0,-48178800.0,79155146.532438
Net Income From Continuing And Discontinued Operation,137240000.0,4432000.0,-50403000.0,59073000.0
Total Expenses,1359463000.0,1660186000.0,875363000.0,751009000.0
Total Operating Income As Reported,214124000.0,-18133000.0,-24741000.0,95212000.0
Diluted Average Shares,152022000.0,149819000.0,129984000.0,121514000.0
Basic Average Shares,150942000.0,149819000.0,129984000.0,121467000.0
Diluted EPS,0.56,-0.29,-0.51,0.49
Basic EPS,0.57,-0.29,-0.51,0.49
Diluted NI Availto Com Stockholders,85549000.0,-43622000.0,-66118000.0,59073000.0
Net Income Common Stockholders,85549000.0,-43622000.0,-66118000.0,59073000.0
Preferred Stock Dividends,51691000.0,48054000.0,15715000.0,
Net Income,137240000.0,4432000.0,-50403000.0,59073000.0
Net Income Including Noncontrolling Interests,137240000.0,4432000.0,-50403000.0,59073000.0
Net Income Continuous Operations,137240000.0,4432000.0,-50403000.0,59073000.0
Tax Provision,39917000.0,-9384000.0,-10718000.0,18705000.0
Pretax Income,177157000.0,-4952000.0,-61121000.0,77778000.0
Other Income Expense,-4032000.0,51201000.0,-3601000.0,-28746000.0
Other Non Operating Income Expenses,-1015000.0,2789000.0,-905000.0,-2305000.0
Special Income Charges,-2964000.0,47257000.0,-2696000.0,-26441000.0
Other Special Charges,,-42750000.0,,
Restructuring And Mergern Acquisition,2964000.0,-4507000.0,2696000.0,26441000.0
Gain On Sale Of Security,-53000.0,1155000.0,,
Net Non Operating Interest Income Expense,-35899000.0,-33513000.0,-35475000.0,-15129000.0
Interest Expense Non Operating,44229000.0,36694000.0,35684000.0,15129000.0
Interest Income Non Operating,8330000.0,3181000.0,209000.0,
Operating Income,217088000.0,-22640000.0,-22045000.0,121653000.0
Operating Expense,198463000.0,235358000.0,90346000.0,81148000.0
Depreciation Amortization Depletion Income Statement,38928000.0,84581000.0,9372000.0,25514000.0
Depreciation And Amortization In Income Statement,38928000.0,84581000.0,9372000.0,25514000.0
Selling General And Administration,159535000.0,150777000.0,80974000.0,55634000.0
General And Administrative Expense,159535000.0,150777000.0,80974000.0,55634000.0
Other Gand A,159535000.0,150777000.0,80974000.0,55634000.0
Gross Profit,415551000.0,212718000.0,68301000.0,202801000.0
Cost Of Revenue,1161000000.0,1424828000.0,785017000.0,669861000.0
Total Revenue,1576551000.0,1637546000.0,853318000.0,872662000.0
Operating Revenue,1576551000.0,1637546000.0,853318000.0,872662000.0
