,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,162000000.0,-51371600.0,26235000.0,2915000.0
Tax Rate For Calcs,0.4,0.2621,0.265,0.265
Normalized EBITDA,3653000000.0,3154000000.0,2345000000.0,2149000000.0
Total Unusual Items,405000000.0,-196000000.0,99000000.0,11000000.0
Total Unusual Items Excluding Goodwill,405000000.0,-196000000.0,99000000.0,11000000.0
Net Income From Continuing Operation Net Minority Interest,-50000000.0,-122000000.0,-136000000.0,-130000000.0
Reconciled Depreciation,1852000000.0,1583000000.0,1501000000.0,1367000000.0
Reconciled Cost Of Revenue,1944000000.0,1449000000.0,1379000000.0,1283000000.0
EBITDA,4058000000.0,2958000000.0,2444000000.0,2160000000.0
EBIT,2195000000.0,1360000000.0,929000000.0,784000000.0
Net Interest Income,-1520000000.0,-1156000000.0,-922000000.0,-929000000.0
Interest Expense,1627000000.0,1224000000.0,981000000.0,976000000.0
Interest Income,107000000.0,68000000.0,59000000.0,47000000.0
Normalized Income,-293000000.0,22628400.0,-208765000.0,-138085000.0
Net Income From Continuing And Discontinued Operation,-50000000.0,-122000000.0,-136000000.0,-130000000.0
Total Expenses,4001000000.0,3281000000.0,3226000000.0,3116000000.0
Diluted Average Shares,284375000.0,275358750.0,274900000.0,274837890.0
Basic Average Shares,284375000.0,275358750.0,274900000.0,274837890.0
Diluted EPS,-0.32,-0.6,-0.694798,-0.61
Basic EPS,-0.32,-0.6,-0.694798,-0.61
Diluted NI Availto Com Stockholders,-91000000.0,-166000000.0,-191000000.0,-184000000.0
Net Income Common Stockholders,-91000000.0,-166000000.0,-191000000.0,-184000000.0
Preferred Stock Dividends,41000000.0,44000000.0,55000000.0,54000000.0
Net Income,-50000000.0,-122000000.0,-136000000.0,-130000000.0
Minority Interests,-666000000.0,-260000000.0,-70000000.0,-85000000.0
Net Income Including Noncontrolling Interests,616000000.0,138000000.0,-66000000.0,-45000000.0
Net Income Continuous Operations,616000000.0,138000000.0,-66000000.0,-45000000.0
Tax Provision,-48000000.0,-2000000.0,14000000.0,-147000000.0
Pretax Income,568000000.0,136000000.0,-52000000.0,-192000000.0
Other Income Expense,1051000000.0,-138000000.0,-14000000.0,43000000.0
Other Non Operating Income Expenses,460000000.0,-38000000.0,-121000000.0,5000000.0
Special Income Charges,-97000000.0,-63000000.0,131000000.0,-116000000.0
Gain On Sale Of Ppe,72000000.0,0.0,202000000.0,10000000.0
Other Special Charges,-22000000.0,-43000000.0,-35000000.0,12000000.0
Impairment Of Capital Assets,164000000.0,61000000.0,63000000.0,101000000.0
Restructuring And Mergern Acquisition,5000000.0,2000000.0,8000000.0,13000000.0
Earnings From Equity Interest,186000000.0,96000000.0,22000000.0,27000000.0
Gain On Sale Of Security,502000000.0,-133000000.0,-32000000.0,127000000.0
Net Non Operating Interest Income Expense,-1520000000.0,-1156000000.0,-922000000.0,-929000000.0
Interest Expense Non Operating,1627000000.0,1224000000.0,981000000.0,976000000.0
Interest Income Non Operating,107000000.0,68000000.0,59000000.0,47000000.0
Operating Income,1037000000.0,1430000000.0,870000000.0,694000000.0
Operating Expense,2068000000.0,1847000000.0,1861000000.0,1842000000.0
Other Operating Expenses,205000000.0,249000000.0,346000000.0,466000000.0
Depreciation Amortization Depletion Income Statement,1863000000.0,1598000000.0,1515000000.0,1376000000.0
Depreciation And Amortization In Income Statement,1863000000.0,1598000000.0,1515000000.0,1376000000.0
Amortization,11000000.0,15000000.0,14000000.0,9000000.0
Amortization Of Intangibles Income Statement,11000000.0,15000000.0,14000000.0,9000000.0
Depreciation Income Statement,1852000000.0,1583000000.0,1501000000.0,1367000000.0
Selling General And Administration,205000000.0,243000000.0,288000000.0,235000000.0
General And Administrative Expense,205000000.0,243000000.0,288000000.0,235000000.0
Other Gand A,205000000.0,243000000.0,288000000.0,235000000.0
Gross Profit,3105000000.0,3277000000.0,2731000000.0,2536000000.0
Cost Of Revenue,1933000000.0,1434000000.0,1365000000.0,1274000000.0
Total Revenue,5038000000.0,4711000000.0,4096000000.0,3810000000.0
Operating Revenue,5038000000.0,4711000000.0,4096000000.0,3810000000.0
