,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,224717533.0,205664690.0,176460407.0,168002726.0
Share Issued,224717533.0,205664690.0,176460407.0,168002726.0
Net Debt,182040000.0,63081000.0,130695000.0,143952000.0
Total Debt,1454685000.0,1020619000.0,1123502000.0,913373000.0
Tangible Book Value,502078000.0,340777000.0,-44326000.0,78824000.0
Invested Capital,1348711000.0,752356000.0,482404000.0,469723000.0
Working Capital,1222745000.0,514017000.0,463941000.0,182227000.0
Net Tangible Assets,502078000.0,340777000.0,-44326000.0,78824000.0
Capital Lease Obligations,608052000.0,609040000.0,596772000.0,522474000.0
Common Stock Equity,502078000.0,340777000.0,-44326000.0,78824000.0
Total Capitalization,1348711000.0,726333000.0,456573000.0,348877000.0
Total Equity Gross Minority Interest,520670000.0,378816000.0,-1527000.0,141396000.0
Minority Interest,18592000.0,38039000.0,42799000.0,62572000.0
Stockholders Equity,502078000.0,340777000.0,-44326000.0,78824000.0
Gains Losses Not Affecting Retained Earnings,-1687000.0,-1251000.0,-350000.0,-9000.0
Other Equity Adjustments,-1687000.0,-1251000.0,-350000.0,-9000.0
Retained Earnings,-3866599000.0,-3564483000.0,-3263075000.0,-3103937000.0
Additional Paid In Capital,4370343000.0,3906491000.0,3219081000.0,3182753000.0
Capital Stock,21000.0,20000.0,18000.0,17000.0
Common Stock,21000.0,20000.0,18000.0,17000.0
Total Liabilities Net Minority Interest,1893007000.0,1567811000.0,1727098000.0,1312991000.0
Total Non Current Liabilities Net Minority Interest,1422585000.0,1025865000.0,1384619000.0,876614000.0
Other Non Current Liabilities,9049000.0,9491000.0,16772000.0,8056000.0
Preferred Securities Outside Stock Equity,,0.0,208551000.0,0.0
Derivative Product Liabilities,,,,4989000.0
Non Current Deferred Liabilities,19140000.0,56392000.0,90310000.0,96675000.0
Non Current Deferred Revenue,19140000.0,56392000.0,90310000.0,96675000.0
Long Term Debt And Capital Lease Obligation,1394396000.0,959982000.0,1068986000.0,771883000.0
Long Term Capital Lease Obligation,547763000.0,574426000.0,568087000.0,501830000.0
Long Term Debt,846633000.0,385556000.0,500899000.0,270053000.0
Current Liabilities,470422000.0,541946000.0,342479000.0,436377000.0
Other Current Liabilities,5121000.0,15819000.0,29754000.0,62237000.0
Current Deferred Liabilities,132296000.0,169683000.0,90454000.0,114286000.0
Current Deferred Revenue,128922000.0,168543000.0,89975000.0,114286000.0
Current Deferred Taxes Liabilities,3374000.0,1140000.0,479000.0,
Current Debt And Capital Lease Obligation,60289000.0,60637000.0,54516000.0,141490000.0
Current Capital Lease Obligation,60289000.0,34614000.0,28685000.0,20644000.0
Current Debt,,26023000.0,25831000.0,120846000.0
Other Current Borrowings,,26023000.0,25831000.0,120846000.0
Pensionand Other Post Retirement Benefit Plans Current,47901000.0,48156000.0,38222000.0,28343000.0
Payables And Accrued Expenses,224815000.0,247651000.0,129533000.0,90021000.0
Current Accrued Expenses,75325000.0,79709000.0,55075000.0,28955000.0
Interest Payable,3823000.0,3128000.0,2159000.0,2224000.0
Payables,149490000.0,167942000.0,74458000.0,61066000.0
Total Tax Payable,17412000.0,6172000.0,1491000.0,2732000.0
Accounts Payable,132078000.0,161770000.0,72967000.0,58334000.0
Total Assets,2413677000.0,1946627000.0,1725571000.0,1454387000.0
Total Non Current Assets,720510000.0,890664000.0,919151000.0,835783000.0
Other Non Current Assets,52007000.0,131919000.0,134849000.0,126285000.0
Non Current Prepaid Assets,4803000.0,9092000.0,14467000.0,11792000.0
Non Current Deferred Assets,23281000.0,14208000.0,9813000.0,9194000.0
Non Current Deferred Taxes Assets,1385000.0,1151000.0,955000.0,
Non Current Accounts Receivable,7335000.0,8076000.0,47437000.0,52263000.0
Investments And Advances,,0.0,1819000.0,1954000.0
Long Term Equity Investment,,0.0,1819000.0,1954000.0
Investmentsin Subsidiariesat Cost,,0.0,1819000.0,
Goodwill And Other Intangible Assets,,,1957000.0,0.0
Goodwill,,,1957000.0,0.0
Net PPE,633084000.0,727369000.0,710766000.0,636249000.0
Accumulated Depreciation,-281182000.0,-344184000.0,-356590000.0,-309670000.0
Gross PPE,914266000.0,1071553000.0,1067356000.0,945919000.0
Leases,94646000.0,104528000.0,52936000.0,37497000.0
Construction In Progress,104650000.0,72174000.0,43544000.0,21118000.0
Other Properties,449502000.0,665867000.0,781459000.0,705043000.0
Machinery Furniture Equipment,215991000.0,179744000.0,140483000.0,135531000.0
Buildings And Improvements,49477000.0,49240000.0,48934000.0,46730000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,1693167000.0,1055963000.0,806420000.0,618604000.0
Other Current Assets,13067000.0,14468000.0,10835000.0,20331000.0
Current Deferred Assets,48241000.0,46191000.0,25040000.0,41469000.0
Restricted Cash,46821000.0,51515000.0,92540000.0,52470000.0
Prepaid Assets,24358000.0,18390000.0,12845000.0,5227000.0
Inventory,502515000.0,268394000.0,143370000.0,142059000.0
Finished Goods,181469000.0,58288000.0,30668000.0,33906000.0
Work In Process,50632000.0,44660000.0,31893000.0,29063000.0
Raw Materials,270414000.0,165446000.0,80809000.0,79090000.0
Receivables,393572000.0,308507000.0,125755000.0,110101000.0
Other Receivables,47904000.0,53280000.0,36448000.0,13915000.0
Taxes Receivable,3231000.0,3676000.0,1518000.0,
Accrued Interest Receivable,1697000.0,556000.0,,
Accounts Receivable,340740000.0,250995000.0,87789000.0,96186000.0
Cash Cash Equivalents And Short Term Investments,664593000.0,348498000.0,396035000.0,246947000.0
Cash And Cash Equivalents,664593000.0,348498000.0,396035000.0,246947000.0
