,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-456270000.0,-308546000.0,-110491000.0,-136709000.0
Repayment Of Debt,-209835000.0,-162682000.0,-137016000.0,-189383000.0
Issuance Of Debt,642120000.0,3261000.0,152838000.0,356279000.0
Issuance Of Capital Stock,327902000.0,400675000.0,307651000.0,23491000.0
Capital Expenditure,-83739000.0,-116823000.0,-49810000.0,-37913000.0
Interest Paid Supplemental Data,49929000.0,48980000.0,68739000.0,71651000.0
Income Tax Paid Supplemental Data,1455000.0,1439000.0,576000.0,371000.0
End Cash Position,745178000.0,518366000.0,615114000.0,416710000.0
Beginning Cash Position,518366000.0,615114000.0,416710000.0,377388000.0
Effect Of Exchange Rate Changes,-281000.0,434000.0,-594000.0,0.0
Changes In Cash,227093000.0,-97182000.0,198998000.0,39322000.0
Financing Cash Flow,683349000.0,211364000.0,306375000.0,176031000.0
Cash Flow From Continuing Financing Activities,683349000.0,211364000.0,306375000.0,176031000.0
Net Other Financing Charges,-22316000.0,-29890000.0,-17098000.0,-14356000.0
Proceeds From Stock Option Exercised,-54522000.0,0.0,0.0,
Net Preferred Stock Issuance,310957000.0,0.0,217861000.0,0.0
Preferred Stock Issuance,310957000.0,0.0,217861000.0,0.0
Net Common Stock Issuance,16945000.0,400675000.0,89790000.0,23491000.0
Common Stock Issuance,16945000.0,400675000.0,89790000.0,23491000.0
Net Issuance Payments Of Debt,432285000.0,-159421000.0,15822000.0,166896000.0
Net Long Term Debt Issuance,432285000.0,-159421000.0,15822000.0,166896000.0
Long Term Debt Payments,-209835000.0,-162682000.0,-137016000.0,-189383000.0
Long Term Debt Issuance,642120000.0,3261000.0,152838000.0,356279000.0
Investing Cash Flow,-83725000.0,-116823000.0,-46696000.0,-37913000.0
Cash Flow From Continuing Investing Activities,-83725000.0,-116823000.0,-46696000.0,-37913000.0
Net Investment Purchase And Sale,,,0.0,0.0
Sale Of Investment,,,0.0,0.0
Net Business Purchase And Sale,0.0,0.0,3114000.0,0.0
Sale Of Business,0.0,0.0,3114000.0,0.0
Net PPE Purchase And Sale,-83725000.0,-116823000.0,-49810000.0,-37913000.0
Sale Of PPE,14000.0,0.0,0.0,
Purchase Of PPE,-83739000.0,-116823000.0,-49810000.0,-37913000.0
Operating Cash Flow,-372531000.0,-191723000.0,-60681000.0,-98796000.0
Cash Flow From Continuing Operating Activities,-372531000.0,-191723000.0,-60681000.0,-98796000.0
Change In Working Capital,-440362000.0,-186842000.0,-18924000.0,-73298000.0
Change In Other Working Capital,-73781000.0,13890000.0,-18063000.0,4083000.0
Change In Other Current Liabilities,-374000.0,-9095000.0,-3158000.0,-4523000.0
Change In Other Current Assets,-3366000.0,-2617000.0,-2854000.0,2904000.0
Change In Payables And Accrued Expense,-40871000.0,135327000.0,12354000.0,16892000.0
Change In Accrued Expense,-11791000.0,48829000.0,-663000.0,17512000.0
Change In Payable,-29080000.0,86498000.0,13017000.0,-620000.0
Change In Account Payable,-29080000.0,86498000.0,13017000.0,-620000.0
Change In Prepaid Assets,-5754000.0,-17590000.0,1520000.0,-3124000.0
Change In Inventory,-231689000.0,-124878000.0,-885000.0,-33004000.0
Change In Receivables,-84527000.0,-181879000.0,-7838000.0,-56526000.0
Changes In Account Receivables,-89888000.0,-162864000.0,8608000.0,-61685000.0
Other Non Cash Items,91633000.0,26719000.0,9882000.0,11855000.0
Stock Based Compensation,84480000.0,112259000.0,73274000.0,73893000.0
Asset Impairment Charge,130088000.0,113514000.0,0.0,4274000.0
Depreciation Amortization Depletion,62609000.0,61608000.0,53454000.0,52279000.0
Depreciation And Amortization,62609000.0,61608000.0,53454000.0,52279000.0
Operating Gains Losses,6958000.0,-3895000.0,15002000.0,11288000.0
Gain Loss On Investment Securities,1641000.0,-9583000.0,14925000.0,-497000.0
Net Foreign Currency Exchange Gain Loss,618000.0,-3267000.0,77000.0,
Gain Loss On Sale Of PPE,411000.0,0.0,0.0,
Net Income From Continuing Operations,-307937000.0,-315086000.0,-193369000.0,-179087000.0
