,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-1245090.0,-1761690.0,-248130.0,-3351780.0
Tax Rate For Calcs,0.21,0.21,0.27,0.27
Normalized EBITDA,-129206000.0,-190499000.0,-68925000.0,-35349000.0
Total Unusual Items,-5929000.0,-8389000.0,-919000.0,-12414000.0
Total Unusual Items Excluding Goodwill,-5929000.0,-8389000.0,-919000.0,-12414000.0
Net Income From Continuing Operation Net Minority Interest,-302116000.0,-301408000.0,-164445000.0,-157553000.0
Reconciled Depreciation,62609000.0,61608000.0,53454000.0,52279000.0
Reconciled Cost Of Revenue,1135676000.0,1050837000.0,774595000.0,628454000.0
EBITDA,-135135000.0,-198888000.0,-69844000.0,-47763000.0
EBIT,-197744000.0,-260496000.0,-123298000.0,-100042000.0
Net Interest Income,-88414000.0,-49606000.0,-68763000.0,-77314000.0
Interest Expense,108299000.0,53493000.0,69025000.0,78789000.0
Interest Income,19885000.0,3887000.0,262000.0,1475000.0
Normalized Income,-297432090.0,-294780690.0,-163774130.0,-148490780.0
Net Income From Continuing And Discontinued Operation,-302116000.0,-301408000.0,-164445000.0,-157553000.0
Total Expenses,1542377000.0,1460117000.0,1086678000.0,875032000.0
Total Operating Income As Reported,-208907000.0,-260992000.0,-114502000.0,-80785000.0
Diluted Average Shares,212681000.0,185907000.0,173438000.0,138722000.0
Basic Average Shares,212681000.0,185907000.0,173438000.0,138722000.0
Diluted EPS,-1.42,-1.62,-0.95,-1.14
Basic EPS,-1.42,-1.62,-0.95,-1.14
Diluted NI Availto Com Stockholders,-302116000.0,-301408000.0,-164445000.0,-157553000.0
Net Income Common Stockholders,-302116000.0,-301408000.0,-164445000.0,-157553000.0
Otherunder Preferred Stock Dividend,,,0.0,0.0
Net Income,-302116000.0,-301408000.0,-164445000.0,-157553000.0
Minority Interests,5821000.0,13678000.0,28924000.0,21534000.0
Net Income Including Noncontrolling Interests,-307937000.0,-315086000.0,-193369000.0,-179087000.0
Net Income Continuous Operations,-307937000.0,-315086000.0,-193369000.0,-179087000.0
Tax Provision,1894000.0,1097000.0,1046000.0,256000.0
Pretax Income,-306043000.0,-313989000.0,-192323000.0,-178831000.0
Other Income Expense,-8722000.0,-3391000.0,-9058000.0,-20732000.0
Other Non Operating Income Expenses,-2793000.0,4998000.0,-8139000.0,-8318000.0
Special Income Charges,-4288000.0,-8955000.0,0.0,-12878000.0
Other Special Charges,4288000.0,8955000.0,,12878000.0
Gain On Sale Of Security,-1641000.0,566000.0,-919000.0,464000.0
Net Non Operating Interest Income Expense,-88414000.0,-49606000.0,-68763000.0,-77314000.0
Interest Expense Non Operating,108299000.0,53493000.0,69025000.0,78789000.0
Interest Income Non Operating,19885000.0,3887000.0,262000.0,1475000.0
Operating Income,-208907000.0,-260992000.0,-114502000.0,-80785000.0
Operating Expense,406701000.0,409280000.0,312083000.0,246578000.0
Research And Development,155865000.0,150606000.0,103396000.0,83577000.0
Selling General And Administration,250836000.0,258674000.0,208687000.0,163001000.0
Selling And Marketing Expense,89961000.0,90934000.0,86499000.0,55916000.0
General And Administrative Expense,160875000.0,167740000.0,122188000.0,107085000.0
Other Gand A,160875000.0,167740000.0,122188000.0,107085000.0
Gross Profit,197794000.0,148288000.0,197581000.0,165793000.0
Cost Of Revenue,1135676000.0,1050837000.0,774595000.0,628454000.0
Total Revenue,1333470000.0,1199125000.0,972176000.0,794247000.0
Operating Revenue,1333470000.0,1199125000.0,972176000.0,794247000.0
