,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,298935706.0,298394203.0,297700295.0,282078177.0
Share Issued,298935706.0,298394203.0,297700295.0,282078177.0
Total Debt,17898000.0,15731000.0,17120000.0,17873000.0
Tangible Book Value,949533000.0,1089429000.0,1243161000.0,856846000.0
Invested Capital,991216000.0,1158911000.0,1328217000.0,900887000.0
Working Capital,794155000.0,955339000.0,1146027000.0,802224000.0
Net Tangible Assets,949533000.0,1089429000.0,1243161000.0,856846000.0
Capital Lease Obligations,17898000.0,15731000.0,17120000.0,17873000.0
Common Stock Equity,991216000.0,1158911000.0,1328217000.0,900887000.0
Total Capitalization,991216000.0,1158911000.0,1328217000.0,900887000.0
Total Equity Gross Minority Interest,991216000.0,1158911000.0,1328217000.0,900887000.0
Stockholders Equity,991216000.0,1158911000.0,1328217000.0,900887000.0
Gains Losses Not Affecting Retained Earnings,-2962000.0,-1490000.0,1721000.0,907000.0
Foreign Currency Translation Adjustments,-2962000.0,-1490000.0,1721000.0,907000.0
Retained Earnings,-1737505000.0,-1560759000.0,-1387579000.0,-1275516000.0
Additional Paid In Capital,306042000.0,300764000.0,297819000.0,290761000.0
Capital Stock,2425641000.0,2420396000.0,2416256000.0,1884735000.0
Common Stock,2425641000.0,2420396000.0,2416256000.0,1884735000.0
Total Liabilities Net Minority Interest,86326000.0,88166000.0,112726000.0,74712000.0
Total Non Current Liabilities Net Minority Interest,15740000.0,14998000.0,29567000.0,22621000.0
Other Non Current Liabilities,1862000.0,2260000.0,8895000.0,1764000.0
Employee Benefits,,455000.0,1894000.0,3941000.0
Non Current Deferred Liabilities,485000.0,902000.0,4896000.0,1734000.0
Non Current Deferred Revenue,485000.0,902000.0,1318000.0,1734000.0
Non Current Deferred Taxes Liabilities,,0.0,3578000.0,0.0
Long Term Debt And Capital Lease Obligation,13393000.0,11836000.0,13882000.0,15182000.0
Long Term Capital Lease Obligation,13393000.0,11836000.0,13882000.0,15182000.0
Long Term Provisions,,1805000.0,8895000.0,1764000.0
Current Liabilities,70586000.0,73168000.0,83159000.0,52091000.0
Other Current Liabilities,5628000.0,6059000.0,9130000.0,5306000.0
Current Deferred Liabilities,4588000.0,8030000.0,12109000.0,9888000.0
Current Deferred Revenue,4588000.0,8030000.0,12109000.0,9888000.0
Current Debt And Capital Lease Obligation,4505000.0,3895000.0,3238000.0,2691000.0
Current Capital Lease Obligation,4505000.0,3895000.0,3238000.0,2691000.0
Current Provisions,21797000.0,20910000.0,28257000.0,9635000.0
Payables And Accrued Expenses,34068000.0,34274000.0,30425000.0,24571000.0
Payables,34068000.0,34274000.0,30425000.0,24571000.0
Other Payable,19235000.0,13248000.0,15830000.0,14417000.0
Total Tax Payable,1109000.0,586000.0,906000.0,1084000.0
Accounts Payable,13724000.0,20440000.0,13689000.0,9070000.0
Total Assets,1077542000.0,1247077000.0,1440943000.0,975599000.0
Total Non Current Assets,212801000.0,218570000.0,211757000.0,121284000.0
Other Non Current Assets,547000.0,370000.0,348000.0,343000.0
Investments And Advances,54246000.0,66357000.0,70292000.0,27566000.0
Investmentin Financial Assets,40345000.0,42331000.0,,
Long Term Equity Investment,13901000.0,24026000.0,70292000.0,
Investmentsin Joint Venturesat Cost,,24026000.0,28982000.0,
Investmentsin Associatesat Cost,13901000.0,24026000.0,41310000.0,
Goodwill And Other Intangible Assets,41683000.0,69482000.0,85056000.0,44041000.0
Other Intangible Assets,1406000.0,5214000.0,20788000.0,3764000.0
Goodwill,40277000.0,64268000.0,64268000.0,40277000.0
Net PPE,116325000.0,82361000.0,56061000.0,49334000.0
Accumulated Depreciation,-86868000.0,-75307000.0,-66773000.0,-59665000.0
Gross PPE,203193000.0,157668000.0,122834000.0,108999000.0
Leases,45227000.0,38494000.0,35877000.0,33861000.0
Other Properties,146273000.0,109390000.0,77819000.0,66541000.0
Machinery Furniture Equipment,10757000.0,9784000.0,9138000.0,8597000.0
Buildings And Improvements,936000.0,0.0,,
Properties,0.0,0.0,0.0,0.0
Current Assets,864741000.0,1028507000.0,1229186000.0,854315000.0
Other Current Assets,7063000.0,6020000.0,4374000.0,3568000.0
Prepaid Assets,,6020000.0,4374000.0,3568000.0
Inventory,45870000.0,58050000.0,51518000.0,28522000.0
Other Inventories,8575000.0,3361000.0,3978000.0,4567000.0
Finished Goods,7169000.0,8502000.0,5350000.0,3746000.0
Work In Process,15041000.0,17171000.0,19795000.0,8330000.0
Raw Materials,15085000.0,29016000.0,22395000.0,11879000.0
Receivables,58565000.0,48696000.0,46395000.0,56795000.0
Other Receivables,21075000.0,22884000.0,26972000.0,27543000.0
Accounts Receivable,37490000.0,25812000.0,19423000.0,29252000.0
Cash Cash Equivalents And Short Term Investments,753243000.0,915741000.0,1126899000.0,765430000.0
Other Short Term Investments,2113000.0,2011000.0,3004000.0,2000000.0
Cash And Cash Equivalents,751130000.0,913730000.0,1123895000.0,763430000.0
