,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-145938000.0,-166653000.0,-95177000.0,-55800000.0
Repayment Of Debt,-4013000.0,-3322000.0,-2798000.0,-2517000.0
Issuance Of Capital Stock,,0.0,527291000.0,694608000.0
Capital Expenditure,-41368000.0,-34482000.0,-14701000.0,-12866000.0
End Cash Position,751130000.0,913730000.0,1123895000.0,763430000.0
Beginning Cash Position,913730000.0,1123895000.0,763430000.0,147792000.0
Effect Of Exchange Rate Changes,-73000.0,-31000.0,-337000.0,-1564000.0
Changes In Cash,-162527000.0,-210134000.0,360802000.0,617202000.0
Financing Cash Flow,-3678000.0,-2406000.0,526908000.0,696529000.0
Cash Flow From Continuing Financing Activities,-3678000.0,-2406000.0,526908000.0,696529000.0
Proceeds From Stock Option Exercised,335000.0,916000.0,2415000.0,4438000.0
Net Common Stock Issuance,,0.0,527291000.0,694608000.0
Common Stock Issuance,,0.0,527291000.0,694608000.0
Net Issuance Payments Of Debt,-4013000.0,-3322000.0,-2798000.0,-2517000.0
Net Long Term Debt Issuance,-4013000.0,-3322000.0,-2798000.0,-2517000.0
Long Term Debt Payments,-4013000.0,-3322000.0,-2798000.0,-2517000.0
Investing Cash Flow,-54279000.0,-75557000.0,-85630000.0,-36393000.0
Cash Flow From Continuing Investing Activities,-54279000.0,-75557000.0,-85630000.0,-36393000.0
Net Other Investing Changes,,,,988000.0
Net Investment Purchase And Sale,-10911000.0,-16903000.0,-51421000.0,-2000000.0
Sale Of Investment,1000000.0,1010000.0,336000.0,
Purchase Of Investment,-11911000.0,-17913000.0,-51757000.0,-2000000.0
Net Business Purchase And Sale,-2000000.0,-24172000.0,-19508000.0,-22515000.0
Purchase Of Business,-2000000.0,-24172000.0,-19508000.0,-22515000.0
Net Intangibles Purchase And Sale,-154000.0,-550000.0,-1543000.0,-246000.0
Purchase Of Intangibles,-154000.0,-550000.0,-1543000.0,-246000.0
Net PPE Purchase And Sale,-41214000.0,-33932000.0,-13158000.0,-12620000.0
Sale Of PPE,,,,988000.0
Purchase Of PPE,-41214000.0,-33932000.0,-13158000.0,-12620000.0
Operating Cash Flow,-104570000.0,-132171000.0,-80476000.0,-42934000.0
Cash Flow From Continuing Operating Activities,-104570000.0,-132171000.0,-80476000.0,-42934000.0
Change In Working Capital,-17086000.0,-17941000.0,-11600000.0,-17124000.0
Change In Other Working Capital,229000.0,-1465000.0,1158000.0,-11122000.0
Change In Payables And Accrued Expense,-3580000.0,-718000.0,1408000.0,-4238000.0
Change In Payable,-3580000.0,-718000.0,1408000.0,-4238000.0
Change In Prepaid Assets,76000.0,-1668000.0,-810000.0,-1026000.0
Change In Inventory,-898000.0,-11145000.0,-22996000.0,1355000.0
Change In Receivables,-12913000.0,-2945000.0,9640000.0,-2093000.0
Other Non Cash Items,115000.0,-10380000.0,113000.0,76000.0
Stock Based Compensation,10959000.0,9408000.0,9669000.0,6237000.0
Unrealized Gain Loss On Investment Securities,12897000.0,16877000.0,9024000.0,0.0
Asset Impairment Charge,43739000.0,20610000.0,317000.0,310000.0
Deferred Tax,0.0,-3578000.0,-300000.0,0.0
Deferred Income Tax,0.0,-3578000.0,-300000.0,0.0
Depreciation Amortization Depletion,13527000.0,13773000.0,9752000.0,7558000.0
Depreciation And Amortization,13527000.0,13773000.0,9752000.0,7558000.0
Operating Gains Losses,8995000.0,12554000.0,16782000.0,11386000.0
Pension And Employee Benefit Expense,40000.0,75000.0,123000.0,-744000.0
Earnings Losses From Equity Investments,10131000.0,11617000.0,16140000.0,12557000.0
Gain Loss On Investment Securities,-1296000.0,862000.0,519000.0,-259000.0
Gain Loss On Sale Of PPE,120000.0,0.0,,
Net Income From Continuing Operations,-177716000.0,-173494000.0,-114233000.0,-51377000.0
