,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,10605600.0,-1373928.2,-17347.770323,1572775.0
Tax Rate For Calcs,0.4,0.2621,0.001885,0.265
Normalized EBITDA,-155825000.0,-139860000.0,-94111000.0,-46139000.0
Total Unusual Items,26514000.0,-5242000.0,-9205000.0,5935000.0
Total Unusual Items Excluding Goodwill,26514000.0,-5242000.0,-9205000.0,5935000.0
Net Income From Continuing Operation Net Minority Interest,-144210000.0,-160371000.0,-114397000.0,-49469000.0
Reconciled Depreciation,13527000.0,13773000.0,9752000.0,7558000.0
Reconciled Cost Of Revenue,124199000.0,95168000.0,90492000.0,82893000.0
EBITDA,-129311000.0,-145102000.0,-103316000.0,-40204000.0
EBIT,-142838000.0,-158875000.0,-113068000.0,-47762000.0
Net Interest Income,-1214000.0,-1454000.0,-1545000.0,-1832000.0
Interest Expense,1214000.0,1454000.0,1545000.0,1577000.0
Normalized Income,-160118400.0,-156502928.2,-105209347.770323,-53831225.0
Net Income From Continuing And Discontinued Operation,-177716000.0,-173494000.0,-114233000.0,-51377000.0
Total Expenses,261589000.0,223876000.0,192228000.0,144762000.0
Total Operating Income As Reported,-162904000.0,-145328000.0,-88103000.0,-39761000.0
Diluted Average Shares,298661041.0,299137931.0,295293438.0,248481027.0
Basic Average Shares,298661041.0,299137931.0,295293438.0,248481027.0
Diluted EPS,-0.59,-0.58,-0.39,-0.21
Basic EPS,-0.59,-0.58,-0.39,-0.21
Diluted NI Availto Com Stockholders,-177716000.0,-173494000.0,-114233000.0,-51377000.0
Net Income Common Stockholders,-177716000.0,-173494000.0,-114233000.0,-51377000.0
Net Income,-177716000.0,-173494000.0,-114233000.0,-51377000.0
Net Income Including Noncontrolling Interests,-177716000.0,-173494000.0,-114233000.0,-51377000.0
Net Income Discontinuous Operations,-33506000.0,-13123000.0,164000.0,-1908000.0
Net Income Continuous Operations,-144210000.0,-160371000.0,-114397000.0,-49469000.0
Tax Provision,158000.0,42000.0,-216000.0,130000.0
Pretax Income,-144052000.0,-160329000.0,-114613000.0,-49339000.0
Other Income Expense,16383000.0,-16859000.0,-25345000.0,-6622000.0
Special Income Charges,-4750000.0,-3419000.0,-2588000.0,-376000.0
Gain On Sale Of Ppe,,,,0.0
Write Off,1498000.0,73000.0,54000.0,310000.0
Impairment Of Capital Assets,967000.0,7000.0,263000.0,0.0
Restructuring And Mergern Acquisition,2285000.0,3339000.0,2271000.0,66000.0
Earnings From Equity Interest,-10131000.0,-11617000.0,-16140000.0,-12557000.0
Gain On Sale Of Security,31264000.0,-1823000.0,-6617000.0,6311000.0
Net Non Operating Interest Income Expense,-1214000.0,-1454000.0,-1545000.0,-1832000.0
Total Other Finance Cost,,,300000.0,255000.0
Interest Expense Non Operating,1214000.0,1454000.0,1545000.0,1577000.0
Operating Income,-159221000.0,-142016000.0,-87723000.0,-40885000.0
Operating Expense,137390000.0,128708000.0,101736000.0,61869000.0
Other Taxes,100000.0,100000.0,1945000.0,1500000.0
Research And Development,98306000.0,89715000.0,62162000.0,35519000.0
Selling General And Administration,38984000.0,38893000.0,37629000.0,24850000.0
Selling And Marketing Expense,15110000.0,12538000.0,12904000.0,8616000.0
General And Administrative Expense,23874000.0,26355000.0,24725000.0,16234000.0
Other Gand A,23874000.0,26355000.0,24725000.0,16234000.0
Salaries And Wages,109000.0,189000.0,251000.0,274000.0
Gross Profit,-21831000.0,-13308000.0,14013000.0,20984000.0
Cost Of Revenue,124199000.0,95168000.0,90492000.0,82893000.0
Total Revenue,102368000.0,81860000.0,104505000.0,103877000.0
Operating Revenue,102368000.0,81860000.0,104505000.0,103877000.0
