,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,36537695.0,36417480.0,35915747.0,31698747.0
Ordinary Shares Number,91527826.0,91254276.0,91396238.0,95310789.0
Share Issued,128065521.0,127671756.0,127311985.0,127009536.0
Net Debt,1133906000.0,1253630000.0,1155413000.0,908815000.0
Total Debt,1209672000.0,1288874000.0,1189304000.0,951425000.0
Tangible Book Value,450821000.0,261533000.0,166122000.0,141307000.0
Invested Capital,2143023000.0,2037184000.0,1826479000.0,1569191000.0
Working Capital,442755000.0,403759000.0,314117000.0,243871000.0
Net Tangible Assets,450821000.0,261533000.0,166122000.0,141307000.0
Common Stock Equity,933351000.0,748310000.0,637175000.0,617766000.0
Total Capitalization,2136773000.0,2030934000.0,1826479000.0,1480497000.0
Total Equity Gross Minority Interest,933301000.0,748355000.0,637235000.0,617768000.0
Minority Interest,-50000.0,45000.0,60000.0,2000.0
Stockholders Equity,933351000.0,748310000.0,637175000.0,617766000.0
Gains Losses Not Affecting Retained Earnings,-7463000.0,-21930000.0,12143000.0,8198000.0
Other Equity Adjustments,-7463000.0,-21930000.0,12143000.0,8198000.0
Treasury Stock,1360862000.0,1353270000.0,1326280000.0,1095452000.0
Retained Earnings,2093917000.0,1932970000.0,1775751000.0,1549950000.0
Additional Paid In Capital,206478000.0,189263000.0,174288000.0,153800000.0
Capital Stock,1281000.0,1277000.0,1273000.0,1270000.0
Common Stock,1281000.0,1277000.0,1273000.0,1270000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,1813764000.0,1870584000.0,1864145000.0,1675735000.0
Total Non Current Liabilities Net Minority Interest,1438718000.0,1502724000.0,1404530000.0,1146008000.0
Other Non Current Liabilities,43469000.0,53122000.0,38863000.0,28576000.0
Employee Benefits,101252000.0,75989000.0,83721000.0,170548000.0
Non Current Pension And Other Postretirement Benefit Plans,101252000.0,75989000.0,83721000.0,170548000.0
Long Term Debt And Capital Lease Obligation,1203422000.0,1282624000.0,1189304000.0,862731000.0
Long Term Debt,1203422000.0,1282624000.0,1189304000.0,862731000.0
Long Term Provisions,90575000.0,90989000.0,92642000.0,84153000.0
Current Liabilities,375046000.0,367860000.0,459615000.0,529727000.0
Current Deferred Liabilities,107391000.0,88726000.0,111619000.0,83581000.0
Current Deferred Revenue,107391000.0,88726000.0,111619000.0,83581000.0
Current Debt And Capital Lease Obligation,6250000.0,6250000.0,,88694000.0
Current Debt,6250000.0,6250000.0,,88694000.0
Line Of Credit,,,0.0,88694000.0
Pensionand Other Post Retirement Benefit Plans Current,64544000.0,61079000.0,71835000.0,89740000.0
Payables And Accrued Expenses,196861000.0,211805000.0,276161000.0,267712000.0
Current Accrued Expenses,70210000.0,84693000.0,86319000.0,83320000.0
Payables,126651000.0,127112000.0,189842000.0,184392000.0
Accounts Payable,126651000.0,127112000.0,189842000.0,184392000.0
Total Assets,2747065000.0,2618939000.0,2501380000.0,2293503000.0
Total Non Current Assets,1929264000.0,1847320000.0,1727648000.0,1519905000.0
Other Non Current Assets,103778000.0,96766000.0,94719000.0,96398000.0
Non Current Deferred Assets,16332000.0,20585000.0,21394000.0,49415000.0
Non Current Deferred Taxes Assets,16332000.0,20585000.0,21394000.0,49415000.0
Investments And Advances,98104000.0,108295000.0,94842000.0,81162000.0
Investmentin Financial Assets,9496000.0,8097000.0,9558000.0,9356000.0
Available For Sale Securities,9496000.0,,,
Long Term Equity Investment,88608000.0,100198000.0,85284000.0,71806000.0
Investmentsin Associatesat Cost,,,85284000.0,71806000.0
Goodwill And Other Intangible Assets,482530000.0,486777000.0,471053000.0,476459000.0
Other Intangible Assets,185510000.0,193612000.0,185551000.0,192751000.0
Goodwill,297020000.0,293165000.0,285502000.0,283708000.0
Net PPE,1228520000.0,1134897000.0,1045640000.0,816471000.0
Accumulated Depreciation,-843450000.0,-782420000.0,-731049000.0,-709081000.0
Gross PPE,2071970000.0,1917317000.0,1776689000.0,1525552000.0
Construction In Progress,571758000.0,515494000.0,487856000.0,420374000.0
Machinery Furniture Equipment,1108504000.0,1026024000.0,957423000.0,827785000.0
Buildings And Improvements,381081000.0,365955000.0,321872000.0,267808000.0
Land And Improvements,10627000.0,9844000.0,9538000.0,9585000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,817801000.0,771619000.0,773732000.0,773598000.0
Other Current Assets,64322000.0,55036000.0,47718000.0,44256000.0
Restricted Cash,2858000.0,2928000.0,2896000.0,3070000.0
Receivables,674855000.0,674607000.0,685416000.0,679955000.0
Other Receivables,533155000.0,538365000.0,546595000.0,449176000.0
Accounts Receivable,141700000.0,136242000.0,138821000.0,230779000.0
Allowance For Doubtful Accounts Receivable,-300000.0,-200000.0,-200000.0,
Gross Accounts Receivable,142000000.0,136442000.0,139021000.0,
Cash Cash Equivalents And Short Term Investments,75766000.0,39048000.0,37702000.0,46317000.0
Other Short Term Investments,0.0,3804000.0,3811000.0,3707000.0
Cash And Cash Equivalents,75766000.0,35244000.0,33891000.0,42610000.0
