,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,212415000.0,46392000.0,74974000.0,-58585000.0
Repurchase Of Capital Stock,0.0,-20000000.0,-225786000.0,-21960000.0
Repayment Of Debt,-434350000.0,-878200000.0,-1010052000.0,-794676000.0
Issuance Of Debt,353100000.0,978200000.0,1324300000.0,844500000.0
Capital Expenditure,-151286000.0,-198312000.0,-311052000.0,-255027000.0
Interest Paid Supplemental Data,63216000.0,51343000.0,50840000.0,38267000.0
Income Tax Paid Supplemental Data,84478000.0,71755000.0,44949000.0,73589000.0
End Cash Position,81615000.0,40990000.0,39775000.0,48298000.0
Beginning Cash Position,40990000.0,39775000.0,48298000.0,92400000.0
Effect Of Exchange Rate Changes,1937000.0,-1205000.0,240000.0,-271000.0
Changes In Cash,38688000.0,2420000.0,-8763000.0,-43831000.0
Financing Cash Flow,-169371000.0,13952000.0,-90136000.0,25046000.0
Cash Flow From Continuing Financing Activities,-169371000.0,13952000.0,-90136000.0,25046000.0
Net Other Financing Charges,-3147000.0,15026000.0,-10236000.0,-21384000.0
Proceeds From Stock Option Exercised,,,2033000.0,2812000.0
Cash Dividends Paid,-84974000.0,-81074000.0,-79668000.0,-72940000.0
Common Stock Dividend Paid,-84974000.0,-81074000.0,-79668000.0,-72940000.0
Net Common Stock Issuance,0.0,-20000000.0,-225786000.0,-21960000.0
Common Stock Payments,0.0,-20000000.0,-225786000.0,-21960000.0
Net Issuance Payments Of Debt,-81250000.0,100000000.0,225554000.0,138518000.0
Net Short Term Debt Issuance,0.0,0.0,-88694000.0,88694000.0
Net Long Term Debt Issuance,-81250000.0,100000000.0,314248000.0,49824000.0
Long Term Debt Payments,-434350000.0,-878200000.0,-1010052000.0,-794676000.0
Long Term Debt Issuance,353100000.0,978200000.0,1324300000.0,844500000.0
Investing Cash Flow,-155642000.0,-256236000.0,-304653000.0,-265319000.0
Cash Flow From Continuing Investing Activities,-155642000.0,-256236000.0,-304653000.0,-265319000.0
Net Other Investing Changes,-8009000.0,844000.0,5585000.0,3485000.0
Net Investment Purchase And Sale,3653000.0,10000.0,814000.0,2128000.0
Sale Of Investment,5996000.0,3813000.0,5553000.0,6360000.0
Purchase Of Investment,-2343000.0,-3803000.0,-4739000.0,-4232000.0
Net Business Purchase And Sale,0.0,-58778000.0,0.0,-15905000.0
Sale Of Business,,,,88000.0
Purchase Of Business,0.0,-58778000.0,0.0,-15905000.0
Net PPE Purchase And Sale,-151286000.0,-198312000.0,-311052000.0,-255027000.0
Purchase Of PPE,-151286000.0,-198312000.0,-311052000.0,-255027000.0
Operating Cash Flow,363701000.0,244704000.0,386026000.0,196442000.0
Cash Flow From Continuing Operating Activities,363701000.0,244704000.0,386026000.0,196442000.0
Change In Working Capital,-16675000.0,-141502000.0,-14741000.0,-174771000.0
Change In Other Working Capital,8257000.0,-101415000.0,-129426000.0,-73493000.0
Change In Payables And Accrued Expense,-18779000.0,-59443000.0,26804000.0,5602000.0
Change In Accrued Expense,-9754000.0,-18948000.0,-1991000.0,6843000.0
Change In Payable,-9025000.0,-40495000.0,28795000.0,-1241000.0
Change In Account Payable,-9025000.0,-40495000.0,28795000.0,-1241000.0
Change In Receivables,-6153000.0,19356000.0,87881000.0,-106880000.0
Changes In Account Receivables,-6153000.0,19356000.0,87881000.0,-106880000.0
Other Non Cash Items,-496000.0,7695000.0,5613000.0,-792000.0
Stock Based Compensation,15896000.0,14127000.0,18613000.0,16844000.0
Deferred Tax,-5128000.0,5515000.0,40091000.0,7890000.0
Deferred Income Tax,-5128000.0,5515000.0,40091000.0,7890000.0
Depreciation Amortization Depletion,78566000.0,73842000.0,69080000.0,60674000.0
Depreciation And Amortization,78566000.0,73842000.0,69080000.0,60674000.0
Operating Gains Losses,45217000.0,46407000.0,-38918000.0,7401000.0
Pension And Employee Benefit Expense,34087000.0,49868000.0,-36647000.0,9548000.0
Earnings Losses From Equity Investments,11130000.0,-3461000.0,-13023000.0,-2147000.0
Net Income From Continuing Operations,246321000.0,238620000.0,306288000.0,279196000.0
