,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-241956.0,-1330320.0,798232.0,311669.0
Tax Rate For Calcs,0.234,0.241,0.226,0.229
Normalized EBITDA,448036000.0,430149000.0,497019000.0,452499000.0
Total Unusual Items,-1034000.0,-5520000.0,3532000.0,1361000.0
Total Unusual Items Excluding Goodwill,-1034000.0,-5520000.0,3532000.0,1361000.0
Net Income From Continuing Operation Net Minority Interest,245849000.0,238191000.0,305871000.0,278670000.0
Reconciled Depreciation,78566000.0,73842000.0,69080000.0,60674000.0
Reconciled Cost Of Revenue,1875716000.0,1680899000.0,1573797000.0,1548119000.0
EBITDA,447002000.0,424629000.0,500551000.0,453860000.0
EBIT,368436000.0,350787000.0,431471000.0,393186000.0
Net Interest Income,-44677000.0,-35652000.0,-35342000.0,-30496000.0
Interest Expense,47036000.0,36410000.0,35758000.0,31014000.0
Interest Income,2359000.0,758000.0,416000.0,518000.0
Normalized Income,246641044.0,242380680.0,303137232.0,277620669.0
Net Income From Continuing And Discontinued Operation,245849000.0,238191000.0,305871000.0,278670000.0
Total Expenses,2163023000.0,1924716000.0,1815256000.0,1793477000.0
Total Operating Income As Reported,383059000.0,348571000.0,345848000.0,358552000.0
Diluted Average Shares,91874537.0,91702111.0,94518422.0,95726497.0
Basic Average Shares,91619156.0,91447088.0,94278894.0,95457193.0
Diluted EPS,2.68,2.6,3.24,2.91
Basic EPS,2.68,2.6,3.24,2.92
Diluted NI Availto Com Stockholders,245849000.0,238191000.0,305871000.0,278670000.0
Net Income Common Stockholders,245849000.0,238191000.0,305871000.0,278670000.0
Net Income,245849000.0,238191000.0,305871000.0,278670000.0
Minority Interests,-472000.0,-429000.0,-417000.0,-526000.0
Net Income Including Noncontrolling Interests,246321000.0,238620000.0,306288000.0,279196000.0
Net Income Continuous Operations,246321000.0,238620000.0,306288000.0,279196000.0
Tax Provision,75079000.0,75757000.0,89425000.0,82976000.0
Pretax Income,321400000.0,314377000.0,395713000.0,362172000.0
Other Income Expense,32791000.0,41911000.0,122237000.0,62629000.0
Other Non Operating Income Expenses,-16982000.0,1458000.0,85207000.0,34116000.0
Special Income Charges,-1034000.0,-5520000.0,3532000.0,1361000.0
Gain On Sale Of Ppe,-1034000.0,-5520000.0,3532000.0,1361000.0
Earnings From Equity Interest,50807000.0,45973000.0,33498000.0,27152000.0
Net Non Operating Interest Income Expense,-44677000.0,-35652000.0,-35342000.0,-30496000.0
Interest Expense Non Operating,47036000.0,36410000.0,35758000.0,31014000.0
Interest Income Non Operating,2359000.0,758000.0,416000.0,518000.0
Operating Income,333286000.0,308118000.0,308818000.0,330039000.0
Operating Expense,287307000.0,243817000.0,241459000.0,245358000.0
Research And Development,7613000.0,9535000.0,11059000.0,14189000.0
Selling General And Administration,279694000.0,234282000.0,230400000.0,231169000.0
Gross Profit,620593000.0,551935000.0,550277000.0,575397000.0
Cost Of Revenue,1875716000.0,1680899000.0,1573797000.0,1548119000.0
Total Revenue,2496309000.0,2232834000.0,2124074000.0,2123516000.0
Operating Revenue,2496309000.0,2232834000.0,2124074000.0,2123516000.0
