,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,2139000.0,1868000.0,1525000.0,718000.0
Preferred Shares Number,7669000.0,7669000.0,7669000.0,
Ordinary Shares Number,89448768.0,88700000.0,86286000.0,54452000.0
Share Issued,91587768.0,90568000.0,87811000.0,55170000.0
Net Debt,314181000.0,276284000.0,115415000.0,290292000.0
Total Debt,436340000.0,410270000.0,402738000.0,389232000.0
Tangible Book Value,-348621000.0,-154652000.0,-127185000.0,-403352000.0
Invested Capital,178447000.0,349871000.0,373361000.0,15549000.0
Working Capital,147396000.0,186079000.0,329051000.0,125253000.0
Net Tangible Assets,-348544000.0,-154575000.0,-127108000.0,-403352000.0
Capital Lease Obligations,56855000.0,57748000.0,62449000.0,41602000.0
Common Stock Equity,-201038000.0,-2651000.0,33072000.0,-332081000.0
Preferred Stock Equity,77000.0,77000.0,77000.0,
Total Capitalization,172350000.0,346121000.0,361058000.0,15549000.0
Total Equity Gross Minority Interest,-200350000.0,-2089000.0,58622000.0,-330977000.0
Minority Interest,611000.0,485000.0,25473000.0,1104000.0
Stockholders Equity,-200961000.0,-2574000.0,33149000.0,-332081000.0
Gains Losses Not Affecting Retained Earnings,-66361000.0,-72786000.0,-58822000.0,-52390000.0
Other Equity Adjustments,-66361000.0,-72786000.0,-58822000.0,-52390000.0
Treasury Stock,115164000.0,113753000.0,110934000.0,105990000.0
Retained Earnings,-1570942000.0,-1358875000.0,-1321154000.0,-1342921000.0
Additional Paid In Capital,1546281000.0,1537625000.0,1518872000.0,1164436000.0
Capital Stock,5225000.0,5215000.0,5187000.0,4784000.0
Common Stock,5148000.0,5138000.0,5110000.0,4784000.0
Preferred Stock,77000.0,77000.0,77000.0,0.0
Total Liabilities Net Minority Interest,976048000.0,943778000.0,854643000.0,930054000.0
Total Non Current Liabilities Net Minority Interest,625851000.0,572244000.0,601260000.0,659222000.0
Other Non Current Liabilities,15082000.0,16596000.0,33168000.0,22579000.0
Liabilities Heldfor Sale Non Current,0.0,5651000.0,,
Employee Benefits,172911000.0,136176000.0,182730000.0,252292000.0
Non Current Pension And Other Postretirement Benefit Plans,172911000.0,136176000.0,182730000.0,252292000.0
Non Current Deferred Liabilities,12991000.0,12056000.0,1399000.0,
Non Current Deferred Taxes Liabilities,12991000.0,12056000.0,1399000.0,
Long Term Debt And Capital Lease Obligation,424867000.0,401765000.0,383963000.0,384351000.0
Long Term Capital Lease Obligation,51556000.0,53070000.0,56054000.0,36721000.0
Long Term Debt,373311000.0,348695000.0,327909000.0,347630000.0
Current Liabilities,350197000.0,371534000.0,253383000.0,270832000.0
Other Current Liabilities,43614000.0,24751000.0,,8305000.0
Current Deferred Liabilities,81098000.0,130945000.0,68380000.0,64002000.0
Current Deferred Revenue,81098000.0,130945000.0,68380000.0,64002000.0
Current Debt And Capital Lease Obligation,11473000.0,8505000.0,18775000.0,4881000.0
Current Capital Lease Obligation,5299000.0,4678000.0,6395000.0,4881000.0
Current Debt,6174000.0,3827000.0,12380000.0,
Other Current Borrowings,6174000.0,3827000.0,12380000.0,
Pensionand Other Post Retirement Benefit Plans Current,10797000.0,12509000.0,12989000.0,13906000.0
Current Provisions,,9568000.0,12925000.0,25399000.0
Payables And Accrued Expenses,203215000.0,194824000.0,153239000.0,179738000.0
Current Accrued Expenses,75724000.0,63603000.0,67310000.0,106257000.0
