,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-52070000.0,-43875000.0,-117875000.0,-49036000.0
Repurchase Of Capital Stock,-1411000.0,-2819000.0,-4944000.0,-283000.0
Repayment Of Debt,-227824000.0,-19350000.0,-257420000.0,-173600000.0
Issuance Of Debt,252544000.0,27359000.0,324969000.0,228913000.0
Issuance Of Capital Stock,0.0,0.0,274116000.0,0.0
Capital Expenditure,-9800000.0,-13238000.0,-6679000.0,-8230000.0
Interest Paid Supplemental Data,23067000.0,25673000.0,20234000.0,17815000.0
Income Tax Paid Supplemental Data,6731000.0,7950000.0,4991000.0,6960000.0
End Cash Position,71369000.0,113460000.0,226715000.0,67423000.0
Beginning Cash Position,113460000.0,226715000.0,67423000.0,56941000.0
Effect Of Exchange Rate Changes,-439000.0,-2653000.0,1217000.0,4971000.0
Changes In Cash,-41652000.0,-110602000.0,158075000.0,5511000.0
Financing Cash Flow,8556000.0,-11165000.0,302812000.0,44098000.0
Cash Flow From Continuing Financing Activities,8556000.0,-11165000.0,302812000.0,44098000.0
Net Other Financing Charges,-3609000.0,-1495000.0,-24782000.0,-10932000.0
Proceeds From Stock Option Exercised,0.0,0.0,0.0,0.0
Cash Dividends Paid,-11144000.0,-14860000.0,-9127000.0,0.0
Preferred Stock Dividend Paid,-11144000.0,-14860000.0,-9127000.0,0.0
Net Preferred Stock Issuance,0.0,0.0,113275000.0,0.0
Preferred Stock Issuance,0.0,0.0,113275000.0,0.0
Net Common Stock Issuance,-1411000.0,-2819000.0,155897000.0,-283000.0
Common Stock Payments,-1411000.0,-2819000.0,-4944000.0,-283000.0
Common Stock Issuance,,0.0,160841000.0,0.0
Net Issuance Payments Of Debt,24720000.0,8009000.0,67549000.0,55313000.0
Net Short Term Debt Issuance,0.0,0.0,-164300000.0,-14700000.0
Short Term Debt Payments,0.0,0.0,-178800000.0,-173600000.0
Short Term Debt Issuance,0.0,0.0,14500000.0,158900000.0
Net Long Term Debt Issuance,24720000.0,8009000.0,231849000.0,70013000.0
Long Term Debt Payments,-227824000.0,-19350000.0,-78620000.0,0.0
Long Term Debt Issuance,252544000.0,27359000.0,310469000.0,70013000.0
Investing Cash Flow,-7938000.0,-68800000.0,-33541000.0,2219000.0
Cash Flow From Continuing Investing Activities,-7938000.0,-68800000.0,-33541000.0,2219000.0
Net Other Investing Changes,-102000.0,466000.0,,4954000.0
Net Investment Purchase And Sale,1964000.0,3388000.0,3089000.0,-2505000.0
Sale Of Investment,8051000.0,9815000.0,15694000.0,26563000.0
Purchase Of Investment,-6087000.0,-6427000.0,-12605000.0,-29068000.0
Net Business Purchase And Sale,0.0,-59416000.0,-29951000.0,8000000.0
Sale Of Business,0.0,5498000.0,25390000.0,8000000.0
Purchase Of Business,0.0,-64914000.0,-55341000.0,0.0
Net PPE Purchase And Sale,-9800000.0,-13238000.0,-6679000.0,-8230000.0
Purchase Of PPE,-9800000.0,-13238000.0,-6679000.0,-8230000.0
Operating Cash Flow,-42270000.0,-30637000.0,-111196000.0,-40806000.0
Cash Flow From Continuing Operating Activities,-42270000.0,-30637000.0,-111196000.0,-40806000.0
Change In Working Capital,14871000.0,-39832000.0,-143299000.0,-56176000.0
Change In Other Working Capital,-59572000.0,21334000.0,-79486000.0,-71203000.0
Change In Payables And Accrued Expense,11182000.0,40161000.0,-40892000.0,-38412000.0
Change In Accrued Expense,-1748000.0,-12519000.0,-47972000.0,3589000.0
Change In Payable,12930000.0,52680000.0,7080000.0,-42001000.0
Change In Account Payable,12930000.0,52680000.0,7080000.0,-42001000.0
Change In Inventory,-8130000.0,-19002000.0,-3047000.0,-4084000.0
Change In Receivables,71391000.0,-82325000.0,-19874000.0,57523000.0
Changes In Account Receivables,31218000.0,-28217000.0,225000.0,21673000.0
Other Non Cash Items,13436000.0,3791000.0,13904000.0,36117000.0
Stock Based Compensation,8695000.0,9977000.0,7801000.0,4557000.0
Asset Impairment Charge,56556000.0,7224000.0,0.0,0.0
Deferred Tax,-1464000.0,5897000.0,-7745000.0,1791000.0
Deferred Income Tax,-1464000.0,5897000.0,-7745000.0,1791000.0
Depreciation Amortization Depletion,20996000.0,23992000.0,18337000.0,16805000.0
Depreciation And Amortization,20996000.0,23992000.0,18337000.0,16805000.0
Depreciation,,,18337000.0,16805000.0
Operating Gains Losses,41611000.0,-15102000.0,-31732000.0,-33603000.0
Pension And Employee Benefit Expense,38904000.0,-6848000.0,-15512000.0,22156000.0
Net Foreign Currency Exchange Gain Loss,2507000.0,582000.0,4294000.0,-58799000.0
Gain Loss On Sale Of Business,0.0,0.0,1753000.0,108000.0
Net Income From Continuing Operations,-196971000.0,-26584000.0,31538000.0,-10297000.0
