,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-1425060.0,1603350.0,3050730.0,11855970.0
Tax Rate For Calcs,0.21,0.21,0.27,0.27
Normalized EBITDA,7525000.0,52289000.0,67851000.0,12301000.0
Total Unusual Items,-6786000.0,7635000.0,11299000.0,43911000.0
Total Unusual Items Excluding Goodwill,-6786000.0,7635000.0,11299000.0,43911000.0
Net Income From Continuing Operation Net Minority Interest,-78870000.0,-16265000.0,28669000.0,-12118000.0
Reconciled Depreciation,20996000.0,23992000.0,18337000.0,16805000.0
Reconciled Cost Of Revenue,775267000.0,660981000.0,535825000.0,400465000.0
EBITDA,739000.0,59924000.0,79150000.0,56212000.0
EBIT,-20257000.0,35932000.0,60813000.0,39407000.0
Net Interest Income,-48703000.0,-44220000.0,-38992000.0,-59150000.0
Interest Expense,49895000.0,44861000.0,33528000.0,43325000.0
Interest Income,1192000.0,641000.0,531000.0,646000.0
Normalized Income,-73509060.0,-22296650.0,20420730.0,-44173030.0
Net Income From Continuing And Discontinued Operation,-197208000.0,-22861000.0,30894000.0,-10318000.0
Total Expenses,975176000.0,853866000.0,702267000.0,559468000.0
Total Operating Income As Reported,19899000.0,2269000.0,19422000.0,-1737000.0
Diluted Average Shares,89000000.0,88300000.0,83600000.0,48700000.0
Basic Average Shares,89000000.0,88300000.0,82400000.0,48700000.0
Diluted EPS,-2.38,-0.43,0.26,-0.21
Basic EPS,-2.38,0.43,0.26,-0.21
Diluted NI Availto Com Stockholders,-212066000.0,-37721000.0,21767000.0,-10318000.0
Net Income Common Stockholders,-212066000.0,-37721000.0,21767000.0,-10318000.0
Preferred Stock Dividends,14858000.0,14860000.0,9127000.0,
Net Income,-197208000.0,-22861000.0,30894000.0,-10318000.0
Minority Interests,-237000.0,3723000.0,-644000.0,-21000.0
Net Income Including Noncontrolling Interests,-196971000.0,-26584000.0,31538000.0,-10297000.0
Net Income Discontinuous Operations,-118338000.0,-6596000.0,2225000.0,1800000.0
Net Income Continuous Operations,-78633000.0,-19988000.0,29313000.0,-12097000.0
Tax Provision,8481000.0,11059000.0,-2028000.0,8179000.0
Pretax Income,-70152000.0,-8929000.0,27285000.0,-3918000.0
Other Income Expense,-45627000.0,41239000.0,57671000.0,48383000.0
Other Non Operating Income Expenses,-38841000.0,33604000.0,46372000.0,4472000.0
Special Income Charges,-4279000.0,8217000.0,15593000.0,-14888000.0
Gain On Sale Of Ppe,-57000.0,8777000.0,15685000.0,3263000.0
Gain On Sale Of Business,0.0,0.0,-1753000.0,-108000.0
Other Special Charges,,,-6530000.0,6194000.0
Impairment Of Capital Assets,,7224000.0,0.0,0.0
Restructuring And Mergern Acquisition,4222000.0,560000.0,4869000.0,11849000.0
Gain On Sale Of Security,-2507000.0,-582000.0,-4294000.0,58799000.0
Net Non Operating Interest Income Expense,-48703000.0,-44220000.0,-38992000.0,-59150000.0
Total Other Finance Cost,,,5995000.0,16471000.0
Interest Expense Non Operating,49895000.0,44861000.0,33528000.0,43325000.0
Interest Income Non Operating,1192000.0,641000.0,531000.0,646000.0
Operating Income,24178000.0,-5948000.0,8606000.0,6849000.0
Operating Expense,199909000.0,192885000.0,166442000.0,159003000.0
Research And Development,8444000.0,3805000.0,1595000.0,4379000.0
Selling General And Administration,191465000.0,189080000.0,164847000.0,154624000.0
Selling And Marketing Expense,190521000.0,180548000.0,151764000.0,141746000.0
General And Administrative Expense,191465000.0,189080000.0,164847000.0,154624000.0
Other Gand A,191465000.0,189080000.0,164847000.0,154624000.0
Gross Profit,224087000.0,186937000.0,175048000.0,165852000.0
Cost Of Revenue,775267000.0,660981000.0,535825000.0,400465000.0
Total Revenue,999354000.0,847918000.0,710873000.0,566317000.0
Operating Revenue,999354000.0,847918000.0,710873000.0,566317000.0
