,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,434175752.0,432518470.0,398059265.0,396262741.0
Share Issued,434175752.0,432518470.0,398059265.0,396262741.0
Net Debt,1373639000.0,92326000.0,,77159000.0
Total Debt,1784174000.0,997000000.0,996250000.0,995541000.0
Tangible Book Value,6050728000.0,5788937000.0,4794594000.0,4902533000.0
Invested Capital,7878479000.0,6833054000.0,5842091000.0,5953896000.0
Working Capital,652786000.0,2760795000.0,1727809000.0,1641261000.0
Net Tangible Assets,6050728000.0,5788937000.0,4794594000.0,4902533000.0
Common Stock Equity,6094305000.0,5836054000.0,4845841000.0,4958355000.0
Total Capitalization,7378658000.0,6833054000.0,5842091000.0,5953896000.0
Total Equity Gross Minority Interest,6094309000.0,5836065000.0,4845968000.0,4958561000.0
Minority Interest,4000.0,11000.0,127000.0,206000.0
Stockholders Equity,6094305000.0,5836054000.0,4845841000.0,4958355000.0
Other Equity Interest,-15282000.0,34652000.0,72795000.0,115457000.0
Retained Earnings,2979743000.0,2696379000.0,2639650000.0,2735830000.0
Additional Paid In Capital,215679000.0,224687000.0,230039000.0,237358000.0
Capital Stock,2914165000.0,2880336000.0,1903357000.0,1869710000.0
Common Stock,2914165000.0,2880336000.0,1903357000.0,1869710000.0
Total Liabilities Net Minority Interest,3839748000.0,2796728000.0,2671776000.0,2622270000.0
Total Non Current Liabilities Net Minority Interest,2650644000.0,2235887000.0,2258033000.0,2318487000.0
Other Non Current Liabilities,343420000.0,216162000.0,171774000.0,166559000.0
Long Term Debt And Capital Lease Obligation,1284353000.0,997000000.0,996250000.0,995541000.0
Long Term Debt,1284353000.0,997000000.0,996250000.0,995541000.0
Long Term Provisions,1022871000.0,1022725000.0,1090009000.0,1156387000.0
Current Liabilities,1189104000.0,560841000.0,413743000.0,303783000.0
Other Current Liabilities,48544000.0,131324000.0,22791000.0,26119000.0
Current Debt And Capital Lease Obligation,499821000.0,,,26119000.0
Current Debt,499821000.0,,,26119000.0
Other Current Borrowings,499821000.0,,,
Current Provisions,39113000.0,48305000.0,46365000.0,42535000.0
Payables And Accrued Expenses,601626000.0,381212000.0,344587000.0,235129000.0
Payables,601626000.0,381212000.0,344587000.0,235129000.0
Other Payable,108856000.0,65182000.0,66048000.0,58105000.0
Dueto Related Parties Current,79792000.0,59570000.0,61033000.0,38354000.0
Total Tax Payable,24076000.0,6498000.0,4129000.0,1480000.0
Accounts Payable,388902000.0,249962000.0,213377000.0,137190000.0
Total Assets,9934057000.0,8632793000.0,7517744000.0,7580831000.0
Total Non Current Assets,8092167000.0,5311157000.0,5376192000.0,5635787000.0
Other Non Current Assets,613773000.0,595507000.0,577527000.0,652042000.0
Non Current Deferred Assets,892860000.0,984071000.0,937579000.0,936678000.0
Non Current Deferred Taxes Assets,892860000.0,984071000.0,937579000.0,936678000.0
Non Current Accounts Receivable,,595507000.0,577527000.0,652042000.0
Investments And Advances,3173185000.0,210972000.0,233240000.0,219688000.0
Investmentin Financial Assets,613773000.0,595507000.0,577527000.0,652042000.0
Long Term Equity Investment,3173185000.0,210972000.0,233240000.0,219688000.0
Investmentsin Joint Venturesat Cost,2899379000.0,0.0,,
Investmentsin Associatesat Cost,273806000.0,210972000.0,233240000.0,219688000.0
Goodwill And Other Intangible Assets,43577000.0,47117000.0,51247000.0,55822000.0
Other Intangible Assets,43577000.0,47117000.0,51247000.0,55822000.0
Net PPE,3368772000.0,3473490000.0,3576599000.0,3771557000.0
Accumulated Depreciation,-6149397000.0,-5952313000.0,-5637132000.0,-5502335000.0
Gross PPE,9518169000.0,9425803000.0,9213731000.0,9273892000.0
Leases,8326000.0,5959000.0,931000.0,1806000.0
Construction In Progress,237280000.0,234590000.0,167200000.0,139051000.0
Other Properties,,,5153140000.0,5226139000.0
Machinery Furniture Equipment,2990797000.0,2899882000.0,2820152000.0,2783219000.0
Land And Improvements,5213324000.0,5197138000.0,5152209000.0,5224333000.0
Current Assets,1841890000.0,3321636000.0,2141552000.0,1945044000.0
Restricted Cash,156274000.0,239000000.0,233257000.0,190140000.0
Inventory,841613000.0,822608000.0,504862000.0,769797000.0
Other Inventories,433000.0,425000.0,391000.0,3056000.0
Finished Goods,620365000.0,617570000.0,362806000.0,631926000.0
Raw Materials,220815000.0,204613000.0,141665000.0,134815000.0
Receivables,433468000.0,217180000.0,304337000.0,231880000.0
Other Receivables,11930000.0,42580000.0,24437000.0,19450000.0
Taxes Receivable,7746000.0,6912000.0,8885000.0,46376000.0
Accounts Receivable,413792000.0,167688000.0,271015000.0,166054000.0
Cash Cash Equivalents And Short Term Investments,410535000.0,2281848000.0,1332353000.0,943367000.0
Other Short Term Investments,0.0,1138174000.0,84906000.0,24985000.0
Cash And Cash Equivalents,410535000.0,1143674000.0,1247447000.0,918382000.0
