,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,534505000.0,161159000.0,359504000.0,-20573000.0
Repayment Of Debt,-2430000.0,-2908000.0,-2727000.0,-403716000.0
Issuance Of Debt,816582000.0,0.0,0.0,397539000.0
Issuance Of Capital Stock,27537000.0,962917000.0,26771000.0,5375000.0
Capital Expenditure,-153631000.0,-143448000.0,-98784000.0,-77462000.0
End Cash Position,566809000.0,1143674000.0,1247447000.0,918382000.0
Beginning Cash Position,1143674000.0,1247447000.0,918382000.0,1062431000.0
Effect Of Exchange Rate Changes,31039000.0,13184000.0,-2153000.0,-1922000.0
Changes In Cash,-607904000.0,-116957000.0,331218000.0,-142127000.0
Financing Cash Flow,748812000.0,869258000.0,-46772000.0,-97987000.0
Cash Flow From Continuing Financing Activities,748812000.0,869258000.0,-46772000.0,-97987000.0
Interest Paid Cff,-40798000.0,-38856000.0,-38977000.0,-65547000.0
Proceeds From Stock Option Exercised,,9632000.0,26771000.0,5375000.0
Cash Dividends Paid,-52079000.0,-51895000.0,-31839000.0,-31638000.0
Common Stock Dividend Paid,-52079000.0,-51895000.0,-31839000.0,-31638000.0
Net Common Stock Issuance,27537000.0,962917000.0,26771000.0,5375000.0
Common Stock Issuance,27537000.0,962917000.0,26771000.0,5375000.0
Net Issuance Payments Of Debt,814152000.0,-2908000.0,-2727000.0,-6177000.0
Net Long Term Debt Issuance,814152000.0,-2908000.0,-2727000.0,-6177000.0
Long Term Debt Payments,-2430000.0,-2908000.0,-2727000.0,-403716000.0
Long Term Debt Issuance,816582000.0,0.0,0.0,397539000.0
Investing Cash Flow,-2044852000.0,-1290822000.0,-80298000.0,-101029000.0
Cash Flow From Continuing Investing Activities,-2044852000.0,-1290822000.0,-80298000.0,-101029000.0
Net Other Investing Changes,1000000.0,-2000000.0,73050000.0,907000.0
Net Investment Purchase And Sale,1136687000.0,-1044473000.0,-59921000.0,-24985000.0
Purchase Of Investment,,-1044473000.0,-59921000.0,-24985000.0
Net Business Purchase And Sale,-3028977000.0,-101681000.0,0.0,
Purchase Of Business,-3028977000.0,-101681000.0,0.0,
Net PPE Purchase And Sale,-153562000.0,-142668000.0,-93427000.0,-76951000.0
Sale Of PPE,69000.0,780000.0,5357000.0,511000.0
Purchase Of PPE,-153631000.0,-143448000.0,-98784000.0,-77462000.0
Operating Cash Flow,688136000.0,304607000.0,458288000.0,56889000.0
Cash Flow From Continuing Operating Activities,688136000.0,304607000.0,458288000.0,56889000.0
Taxes Refund Paid,70372000.0,-1521000.0,9583000.0,-4374000.0
Interest Received Cfo,113797000.0,35443000.0,9374000.0,9994000.0
Dividend Received Cfo,113642000.0,117698000.0,50128000.0,54404000.0
Change In Working Capital,-26568000.0,-110356000.0,310478000.0,-200676000.0
Change In Payables And Accrued Expense,169044000.0,16401000.0,91757000.0,36514000.0
Change In Inventory,46804000.0,-226358000.0,294399000.0,-380907000.0
Change In Receivables,-242416000.0,99601000.0,-75678000.0,143717000.0
Changes In Account Receivables,-242416000.0,99601000.0,-75678000.0,143717000.0
Other Non Cash Items,-64652000.0,82824000.0,38784000.0,114033000.0
Stock Based Compensation,3692000.0,3318000.0,4536000.0,6564000.0
Provisionand Write Offof Assets,,,-8407000.0,23921000.0
Deferred Tax,126337000.0,-4469000.0,-1201000.0,13666000.0
Deferred Income Tax,126337000.0,-4469000.0,-1201000.0,13666000.0
Depreciation Amortization Depletion,220324000.0,177376000.0,190415000.0,208662000.0
Depreciation And Amortization,220324000.0,177376000.0,190415000.0,208662000.0
Operating Gains Losses,-229624000.0,-84970000.0,-51155000.0,-92187000.0
Earnings Losses From Equity Investments,-154462000.0,-93988000.0,-68283000.0,-36476000.0
Gain Loss On Investment Securities,-61658000.0,82636000.0,13771000.0,-42892000.0
Net Foreign Currency Exchange Gain Loss,-15692000.0,-74132000.0,-446000.0,-13891000.0
Net Income From Continuing Operations,360816000.0,89264000.0,-102654000.0,-53197000.0
