,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,13336700.0,6151749.1,91720.0,6613605.0
Tax Rate For Calcs,0.26,0.2621,0.01,0.265
Normalized EBITDA,748227000.0,307738000.0,138099000.0,201917000.0
Total Unusual Items,51295000.0,23471000.0,9172000.0,24957000.0
Total Unusual Items Excluding Goodwill,51295000.0,23471000.0,9172000.0,24957000.0
Net Income From Continuing Operation Net Minority Interest,360847000.0,89382000.0,-102577000.0,-53169000.0
Reconciled Depreciation,220324000.0,177376000.0,190415000.0,208662000.0
Reconciled Cost Of Revenue,2026092000.0,1634712000.0,1473050000.0,1693624000.0
EBITDA,799522000.0,331209000.0,147271000.0,226874000.0
EBIT,579198000.0,153833000.0,-43144000.0,18212000.0
Net Interest Income,-4199000.0,-48229000.0,-69808000.0,-60859000.0
Interest Expense,92045000.0,69038000.0,60711000.0,57743000.0
Interest Income,111670000.0,37499000.0,6804000.0,10835000.0
Normalized Income,322888700.0,72062749.1,-111657280.0,-71512395.0
Net Income From Continuing And Discontinued Operation,360847000.0,89382000.0,-102577000.0,-53169000.0
Total Expenses,2302709000.0,1852438000.0,1586184000.0,1840380000.0
Total Operating Income As Reported,282861000.0,15051000.0,-136212000.0,-78726000.0
Diluted Average Shares,435355000.0,407135000.0,397631000.0,396043000.0
Basic Average Shares,433383000.0,405494353.0,397631000.0,395829000.0
Diluted EPS,0.83,0.22,-0.26,-0.13
Basic EPS,0.83,0.22,-0.26,-0.13
Diluted NI Availto Com Stockholders,360847000.0,89382000.0,-102577000.0,-53169000.0
Net Income Common Stockholders,360847000.0,89382000.0,-102577000.0,-53169000.0
Net Income,360847000.0,89382000.0,-102577000.0,-53169000.0
Minority Interests,31000.0,118000.0,77000.0,28000.0
Net Income Including Noncontrolling Interests,360816000.0,89264000.0,-102654000.0,-53197000.0
Net Income Continuous Operations,360816000.0,89264000.0,-102654000.0,-53197000.0
Tax Provision,126337000.0,-4469000.0,-1201000.0,13666000.0
Pretax Income,487153000.0,84795000.0,-103855000.0,-39531000.0
Other Income Expense,206303000.0,117459000.0,77153000.0,61635000.0
Other Non Operating Income Expenses,546000.0,,-302000.0,202000.0
Special Income Charges,-2188000.0,22288000.0,-3803000.0,-25511000.0
Gain On Sale Of Ppe,-2188000.0,-514000.0,-3803000.0,-1072000.0
Other Special Charges,,,,24439000.0
Restructuring And Mergern Acquisition,0.0,-22802000.0,0.0,
Earnings From Equity Interest,154462000.0,93988000.0,68283000.0,36476000.0
Gain On Sale Of Security,53483000.0,1183000.0,12975000.0,50468000.0
Net Non Operating Interest Income Expense,-4199000.0,-48229000.0,-69808000.0,-60859000.0
Total Other Finance Cost,23824000.0,16690000.0,15901000.0,13951000.0
Interest Expense Non Operating,92045000.0,69038000.0,60711000.0,57743000.0
Interest Income Non Operating,111670000.0,37499000.0,6804000.0,10835000.0
Operating Income,285049000.0,15565000.0,-111200000.0,-40307000.0
Operating Expense,276617000.0,217726000.0,113134000.0,146756000.0
Other Operating Expenses,10042000.0,33522000.0,-21600000.0,-2553000.0
Research And Development,21036000.0,12175000.0,7168000.0,3965000.0
Selling General And Administration,245539000.0,172029000.0,127566000.0,145344000.0
General And Administrative Expense,245539000.0,172029000.0,127566000.0,145344000.0
Other Gand A,245539000.0,172029000.0,127566000.0,145344000.0
Gross Profit,561666000.0,233291000.0,1934000.0,106449000.0
Cost Of Revenue,2026092000.0,1634712000.0,1473050000.0,1693624000.0
Total Revenue,2587758000.0,1868003000.0,1474984000.0,1800073000.0
Operating Revenue,2587758000.0,1868003000.0,1474984000.0,1800073000.0
