,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,312838000.0,317000000.0,327000000.0,326000000.0,
Share Issued,312838000.0,317000000.0,327000000.0,326000000.0,
Net Debt,5390000000.0,8893000000.0,5346000000.0,7692000000.0,
Total Debt,8412000000.0,9261000000.0,5768000000.0,8196000000.0,
Tangible Book Value,12746000000.0,10500000000.0,10971000000.0,11219000000.0,
Invested Capital,21578000000.0,20186000000.0,16786000000.0,19415000000.0,
Working Capital,3930000000.0,1980000000.0,1521000000.0,-15000000.0,
Net Tangible Assets,12746000000.0,10500000000.0,10971000000.0,11219000000.0,
Common Stock Equity,13166000000.0,10925000000.0,11018000000.0,11219000000.0,
Total Capitalization,20550000000.0,18421000000.0,15484000000.0,16113000000.0,
Total Equity Gross Minority Interest,13539000000.0,11286000000.0,11372000000.0,11614000000.0,
Minority Interest,373000000.0,361000000.0,354000000.0,395000000.0,
Stockholders Equity,13166000000.0,10925000000.0,11018000000.0,11219000000.0,
Other Equity Interest,,,,11250000000.0,9624000000.0
Gains Losses Not Affecting Retained Earnings,-2302000000.0,-2191000000.0,-1760000000.0,-31000000.0,
Other Equity Adjustments,-2302000000.0,-2191000000.0,-1760000000.0,-31000000.0,
Retained Earnings,4066000000.0,761000000.0,-496000000.0,0.0,
Capital Stock,11402000000.0,12355000000.0,13274000000.0,0.0,
Common Stock,11402000000.0,12355000000.0,13274000000.0,0.0,
Total Liabilities Net Minority Interest,39387000000.0,39472000000.0,35537000000.0,36472000000.0,
Total Non Current Liabilities Net Minority Interest,32541000000.0,33153000000.0,27698000000.0,28476000000.0,
Other Non Current Liabilities,2585000000.0,2421000000.0,2408000000.0,2343000000.0,
Derivative Product Liabilities,399000000.0,419000000.0,983000000.0,513000000.0,
Employee Benefits,1875000000.0,1802000000.0,1214000000.0,847000000.0,
Non Current Pension And Other Postretirement Benefit Plans,1875000000.0,1802000000.0,1214000000.0,847000000.0,
Dueto Related Parties Non Current,,,0.0,3357000000.0,3017000000.0
Tradeand Other Payables Non Current,4518000000.0,3688000000.0,2897000000.0,0.0,
Non Current Deferred Liabilities,3331000000.0,3209000000.0,3031000000.0,3703000000.0,
Non Current Deferred Revenue,,,,,3000000.0
Non Current Deferred Taxes Liabilities,3331000000.0,3209000000.0,3031000000.0,3703000000.0,
Long Term Debt And Capital Lease Obligation,7384000000.0,7496000000.0,4466000000.0,4894000000.0,
Long Term Debt,7384000000.0,7496000000.0,4466000000.0,4894000000.0,
Long Term Provisions,12449000000.0,14118000000.0,12699000000.0,12819000000.0,
Current Liabilities,6846000000.0,6319000000.0,7839000000.0,7996000000.0,
