,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-5029000000.0,-7723000000.0,-4042000000.0,-2667000000.0,
Repurchase Of Capital Stock,-999000000.0,-992000000.0,0.0,0.0,
Repayment Of Debt,-1965000000.0,-368000000.0,-2600000000.0,-105000000.0,
Issuance Of Debt,1120000000.0,3880000000.0,271000000.0,1394000000.0,
Capital Expenditure,-2565000000.0,-2422000000.0,-1689000000.0,-1329000000.0,
Interest Paid Supplemental Data,375000000.0,264000000.0,230000000.0,,
Income Tax Paid Supplemental Data,436000000.0,466000000.0,287000000.0,,
End Cash Position,3129000000.0,454000000.0,528000000.0,576000000.0,
Beginning Cash Position,454000000.0,528000000.0,576000000.0,327000000.0,
Changes In Cash,2675000000.0,-74000000.0,-48000000.0,249000000.0,
Financing Cash Flow,-2289000000.0,2196000000.0,-799000000.0,-1695000000.0,
Cash Flow From Continuing Financing Activities,-2289000000.0,2196000000.0,-799000000.0,-1695000000.0,
Net Other Financing Charges,-1000000.0,42000000.0,1715000000.0,-1152000000.0,
Cash Dividends Paid,-444000000.0,-366000000.0,-185000000.0,-1832000000.0,
Common Stock Dividend Paid,-444000000.0,-366000000.0,-185000000.0,-1832000000.0,
Net Common Stock Issuance,-999000000.0,-992000000.0,0.0,0.0,
Common Stock Payments,-999000000.0,-992000000.0,0.0,0.0,
Net Issuance Payments Of Debt,-845000000.0,3512000000.0,-2329000000.0,1289000000.0,
Net Short Term Debt Issuance,-1644000000.0,485000000.0,-923000000.0,1242000000.0,
Short Term Debt Payments,-1844000000.0,-200000000.0,-1180000000.0,0.0,
Short Term Debt Issuance,200000000.0,685000000.0,257000000.0,1242000000.0,
Net Long Term Debt Issuance,799000000.0,3027000000.0,-1406000000.0,47000000.0,
Long Term Debt Payments,-121000000.0,-168000000.0,-1420000000.0,-105000000.0,
Long Term Debt Issuance,920000000.0,3195000000.0,14000000.0,152000000.0,
Investing Cash Flow,7428000000.0,3031000000.0,3104000000.0,3282000000.0,
Cash Flow From Continuing Investing Activities,7428000000.0,3031000000.0,3104000000.0,3282000000.0,
Net Other Investing Changes,10270000000.0,5681000000.0,5014000000.0,4752000000.0,
Net Investment Purchase And Sale,-277000000.0,-228000000.0,-221000000.0,-141000000.0,
Sale Of Investment,6005000000.0,5822000000.0,4050000000.0,6532000000.0,
Purchase Of Investment,-6282000000.0,-6050000000.0,-4271000000.0,-6673000000.0,
Net Business Purchase And Sale,,,,,0.0
Purchase Of Business,,,,,0.0
Capital Expenditure Reported,-2565000000.0,-2422000000.0,-1689000000.0,-1329000000.0,
Operating Cash Flow,-2464000000.0,-5301000000.0,-2353000000.0,-1338000000.0,
Cash Flow From Continuing Operating Activities,-2464000000.0,-5301000000.0,-2353000000.0,-1338000000.0,
Change In Working Capital,-9168000000.0,-8355000000.0,-5246000000.0,-3608000000.0,
Change In Other Working Capital,-10878000000.0,-7481000000.0,-5292000000.0,-3270000000.0,
Change In Other Current Assets,,,,,-139000000.0
Change In Payables And Accrued Expense,1121000000.0,-1330000000.0,1142000000.0,346000000.0,
Change In Payable,,,,346000000.0,-343000000.0
Change In Account Payable,,,,346000000.0,-343000000.0
Change In Tax Payable,,,,,186000000.0
Change In Income Tax Payable,,,,,186000000.0
Change In Inventory,-99000000.0,60000000.0,-228000000.0,-68000000.0,
Change In Receivables,688000000.0,396000000.0,-868000000.0,-616000000.0,
Changes In Account Receivables,688000000.0,396000000.0,-868000000.0,-616000000.0,
Other Non Cash Items,2356000000.0,-870000000.0,61000000.0,-443000000.0,
Unrealized Gain Loss On Investment Securities,,,,160000000.0,-186000000.0
Asset Impairment Charge,,,0.0,545000000.0,563000000.0
Deferred Tax,222000000.0,251000000.0,-643000000.0,-205000000.0,
Deferred Income Tax,222000000.0,251000000.0,-643000000.0,-205000000.0,
Depreciation Amortization Depletion,2007000000.0,1883000000.0,1849000000.0,3995000000.0,
Depreciation And Amortization,2007000000.0,1883000000.0,1849000000.0,3995000000.0,
Amortization Cash Flow,22000000.0,23000000.0,26000000.0,49000000.0,
Amortization Of Intangibles,22000000.0,23000000.0,26000000.0,49000000.0,
Depreciation,1985000000.0,1860000000.0,1823000000.0,3946000000.0,
Operating Gains Losses,-1619000000.0,213000000.0,1793000000.0,-994000000.0,
Gain Loss On Investment Securities,-1619000000.0,213000000.0,1793000000.0,-994000000.0,
Net Income From Continuing Operations,3738000000.0,1577000000.0,-167000000.0,-83000000.0,
