,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,14022000.0,117234000.0,-2520000.0,11070000.0,
Tax Rate For Calcs,0.171,0.351,0.21,0.27,
Normalized EBITDA,6947000000.0,4427000000.0,1570000000.0,4403000000.0,
Total Unusual Items,82000000.0,334000000.0,-12000000.0,41000000.0,
Total Unusual Items Excluding Goodwill,82000000.0,334000000.0,-12000000.0,41000000.0,
Net Income From Continuing Operation Net Minority Interest,3749000000.0,1623000000.0,-160000000.0,-205000000.0,
Reconciled Depreciation,2007000000.0,1883000000.0,1849000000.0,3995000000.0,
Reconciled Cost Of Revenue,16694000000.0,20899000000.0,21545000000.0,15726000000.0,
EBITDA,7029000000.0,4761000000.0,1558000000.0,4444000000.0,
EBIT,5022000000.0,2878000000.0,-291000000.0,449000000.0,
Net Interest Income,-506000000.0,-431000000.0,-251000000.0,-297000000.0,
Interest Expense,506000000.0,431000000.0,251000000.0,297000000.0,
Interest Income,,,93000000.0,98000000.0,90000000.0
Normalized Income,3681022000.0,1406234000.0,-150520000.0,-234930000.0,
Net Income From Continuing And Discontinued Operation,3749000000.0,1623000000.0,-160000000.0,-205000000.0,
Total Expenses,18720000000.0,22532000000.0,24848000000.0,19287000000.0,
Total Operating Income As Reported,4352000000.0,1610000000.0,495000000.0,-346000000.0,
Diluted Average Shares,315000000.0,324000000.0,327000000.0,326000000.0,
Basic Average Shares,315000000.0,323000000.0,327000000.0,326000000.0,
Diluted EPS,11.89,5.01,-0.489297,-0.628834,
Basic EPS,11.91,5.02,-0.489297,-0.628834,
Diluted NI Availto Com Stockholders,3749000000.0,1623000000.0,-160000000.0,-205000000.0,
Net Income Common Stockholders,3749000000.0,1623000000.0,-160000000.0,-205000000.0,
Net Income,3749000000.0,1623000000.0,-160000000.0,-205000000.0,
Minority Interests,11000000.0,46000000.0,7000000.0,-122000000.0,
Net Income Including Noncontrolling Interests,3738000000.0,1577000000.0,-167000000.0,-83000000.0,
Net Income Continuous Operations,3738000000.0,1577000000.0,-167000000.0,-83000000.0,
Earnings From Equity Interest Net Of Tax,-4000000.0,-11000000.0,-13000000.0,-10000000.0,
Tax Provision,774000000.0,859000000.0,-388000000.0,225000000.0,
Pretax Income,4516000000.0,2447000000.0,-542000000.0,152000000.0,
Other Income Expense,174000000.0,492000000.0,117000000.0,87000000.0,
Other Non Operating Income Expenses,92000000.0,158000000.0,129000000.0,46000000.0,
Special Income Charges,71000000.0,27000000.0,1000000.0,201000000.0,
Gain On Sale Of Ppe,71000000.0,27000000.0,1000000.0,201000000.0,
Gain On Sale Of Security,11000000.0,307000000.0,-13000000.0,-160000000.0,
Net Non Operating Interest Income Expense,-506000000.0,-431000000.0,-251000000.0,-297000000.0,
Interest Expense Non Operating,506000000.0,431000000.0,251000000.0,297000000.0,
Interest Income Non Operating,,,93000000.0,98000000.0,90000000.0
Operating Income,4848000000.0,2386000000.0,-408000000.0,362000000.0,
Operating Expense,1142000000.0,846000000.0,2545000000.0,2569000000.0,
Other Operating Expenses,-567000000.0,-803000000.0,902000000.0,-909000000.0,
Other Taxes,586000000.0,553000000.0,552000000.0,475000000.0,
Depreciation Amortization Depletion Income Statement,1123000000.0,1096000000.0,1091000000.0,3003000000.0,
Depreciation And Amortization In Income Statement,1123000000.0,1096000000.0,1091000000.0,3003000000.0,
Selling General And Administration,,-54000000.0,-110000000.0,0.0,
General And Administrative Expense,,-54000000.0,-110000000.0,,
Salaries And Wages,,-54000000.0,-110000000.0,0.0,
Gross Profit,5990000000.0,3232000000.0,2137000000.0,2931000000.0,
Cost Of Revenue,17578000000.0,21686000000.0,22303000000.0,16718000000.0,
Total Revenue,23568000000.0,24918000000.0,24440000000.0,19649000000.0,
Operating Revenue,23568000000.0,24918000000.0,24440000000.0,19649000000.0,
