,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-876966000.0,288634000.0,-837754000.0,-455482000.0
Repurchase Of Capital Stock,,0.0,0.0,-5963000.0
Repayment Of Debt,-1643372000.0,-1714780000.0,-1902974000.0,-1583770000.0
Issuance Of Debt,2795842000.0,2157905000.0,2375839000.0,2108106000.0
Issuance Of Capital Stock,0.0,0.0,148510000.0,0.0
Capital Expenditure,-1561581000.0,-627997000.0,-429500000.0,-334941000.0
Interest Paid Supplemental Data,121665000.0,76511000.0,71006000.0,78747000.0
Income Tax Paid Supplemental Data,83077000.0,77400000.0,57396000.0,38193000.0
End Cash Position,2946432000.0,1969503000.0,1434282000.0,1639715000.0
Other Cash Adjustment Outside Changein Cash,,,0.0,0.0
Beginning Cash Position,1969503000.0,1434282000.0,1639715000.0,1205420000.0
Effect Of Exchange Rate Changes,-89098000.0,-179561000.0,18320000.0,50997000.0
Changes In Cash,1066027000.0,714782000.0,-223753000.0,383298000.0
Financing Cash Flow,2052828000.0,428639000.0,614071000.0,823501000.0
Cash Flow From Continuing Financing Activities,2052828000.0,428639000.0,614071000.0,823501000.0
Net Other Financing Charges,900358000.0,-14486000.0,-7304000.0,267751000.0
Proceeds From Stock Option Exercised,,0.0,0.0,37377000.0
Cash Dividends Paid,,,0.0,0.0
Common Stock Dividend Paid,,,0.0,0.0
Net Common Stock Issuance,0.0,0.0,148510000.0,-5963000.0
Common Stock Payments,,0.0,0.0,-5963000.0
Common Stock Issuance,0.0,0.0,148510000.0,0.0
Net Issuance Payments Of Debt,1152470000.0,443125000.0,472865000.0,524336000.0
Net Short Term Debt Issuance,-37331000.0,-308026000.0,-137820000.0,106106000.0
Short Term Debt Payments,-1603571000.0,-1695563000.0,-1879884000.0,-1561597000.0
Short Term Debt Issuance,1566240000.0,1387537000.0,1742064000.0,1667703000.0
Net Long Term Debt Issuance,1189801000.0,751151000.0,610685000.0,418230000.0
Long Term Debt Payments,-39801000.0,-19217000.0,-23090000.0,-22173000.0
Long Term Debt Issuance,1229602000.0,770368000.0,633775000.0,440403000.0
Investing Cash Flow,-1671416000.0,-630488000.0,-429570000.0,-319662000.0
Cash Flow From Continuing Investing Activities,-1671416000.0,-630488000.0,-429570000.0,-319662000.0
Net Investment Purchase And Sale,-427000.0,0.0,0.0,
Purchase Of Investment,-427000.0,0.0,0.0,
Net Business Purchase And Sale,-119792000.0,-12272000.0,-37022000.0,15279000.0
Sale Of Business,3060000.0,7083000.0,16982000.0,33037000.0
Purchase Of Business,-122852000.0,-19355000.0,-54004000.0,-17758000.0
Net PPE Purchase And Sale,-1551197000.0,-618216000.0,-392548000.0,-334941000.0
Sale Of PPE,10384000.0,9781000.0,36952000.0,0.0
Purchase Of PPE,-1561581000.0,-627997000.0,-429500000.0,-334941000.0
Operating Cash Flow,684615000.0,916631000.0,-408254000.0,-120541000.0
Cash Flow From Continuing Operating Activities,684615000.0,916631000.0,-408254000.0,-120541000.0
Change In Working Capital,-168512000.0,285118000.0,-886745000.0,-560425000.0
Change In Other Working Capital,41475000.0,226763000.0,-121384000.0,30244000.0
Change In Other Current Liabilities,-267963000.0,773653000.0,180793000.0,261673000.0
Change In Other Current Assets,-383427000.0,-320189000.0,-53018000.0,-455643000.0
Change In Payables And Accrued Expense,207359000.0,341439000.0,126128000.0,-87452000.0
Change In Accrued Expense,23873000.0,-9625000.0,-10939000.0,1115000.0
Change In Payable,183486000.0,351064000.0,137067000.0,-88567000.0
Change In Account Payable,13115000.0,351535000.0,11023000.0,-89180000.0
Change In Prepaid Assets,32638000.0,98770000.0,-116170000.0,-211103000.0
Change In Inventory,182767000.0,-406343000.0,-518741000.0,-180974000.0
Change In Receivables,18639000.0,-428975000.0,-384353000.0,82830000.0
Changes In Account Receivables,58985000.0,-357276000.0,-284785000.0,65379000.0
Other Non Cash Items,-15252000.0,-11370000.0,83558000.0,52636000.0
Stock Based Compensation,55335000.0,9370000.0,8808000.0,12350000.0
Provisionand Write Offof Assets,12014000.0,5773000.0,7615000.0,9874000.0
Asset Impairment Charge,135256000.0,69836000.0,37306000.0,79190000.0
Depreciation Amortization Depletion,307040000.0,234559000.0,282769000.0,209118000.0
Depreciation And Amortization,307040000.0,234559000.0,282769000.0,209118000.0
Amortization Cash Flow,,,4601000.0,5122000.0
Amortization Of Intangibles,,,4601000.0,5122000.0
Depreciation,,,278168000.0,203996000.0
Operating Gains Losses,-4900000.0,24790000.0,-51441000.0,-70530000.0
Earnings Losses From Equity Investments,-14610000.0,-15440000.0,-7256000.0,-10779000.0
Gain Loss On Investment Securities,14808000.0,44489000.0,-23785000.0,-45562000.0
Gain Loss On Sale Of PPE,-5098000.0,-4259000.0,-10008000.0,-253000.0
Gain Loss On Sale Of Business,0.0,0.0,-10392000.0,-13936000.0
Net Income From Continuing Operations,363634000.0,298555000.0,109876000.0,147246000.0
