,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,3417150.0,8046570.0,984100.0,-5967000.0
Tax Rate For Calcs,0.15,0.21,0.26,0.27
Normalized EBITDA,806883000.0,626976000.0,475601000.0,437576000.0
Total Unusual Items,22781000.0,38317000.0,3785000.0,-22100000.0
Total Unusual Items Excluding Goodwill,22781000.0,38317000.0,3785000.0,-22100000.0
Net Income From Continuing Operation Net Minority Interest,274187000.0,239968000.0,95248000.0,146703000.0
Reconciled Depreciation,307040000.0,234559000.0,282769000.0,209118000.0
Reconciled Cost Of Revenue,6333643000.0,6205474000.0,4367857000.0,2786581000.0
EBITDA,829664000.0,665293000.0,479386000.0,415476000.0
EBIT,522624000.0,430734000.0,196617000.0,206358000.0
Net Interest Income,-62478000.0,-33651000.0,-47102000.0,-62568000.0
Interest Expense,114099000.0,74266000.0,58153000.0,71874000.0
Interest Income,51621000.0,40615000.0,11051000.0,9306000.0
Normalized Income,254823150.0,209697570.0,92447100.0,162836000.0
Net Income From Continuing And Discontinued Operation,274187000.0,239968000.0,95248000.0,146703000.0
Total Expenses,7165404000.0,7116808000.0,5095388000.0,3257343000.0
Total Operating Income As Reported,453320000.0,356061000.0,190381000.0,220430000.0
Diluted Average Shares,72194006.0,71183135.0,68872102.0,62306819.0
Basic Average Shares,65375084.0,64324558.0,61614391.0,59575898.0
Diluted EPS,3.87,3.44,1.46,2.38
Basic EPS,4.19,3.73,1.55,2.46
Diluted NI Availto Com Stockholders,279477000.0,245151000.0,100548000.0,148221000.0
Average Dilution Earnings,5290000.0,5183000.0,5300000.0,1518000.0
Net Income Common Stockholders,274187000.0,239968000.0,95248000.0,146703000.0
Net Income,274187000.0,239968000.0,95248000.0,146703000.0
Minority Interests,-89447000.0,-58587000.0,-14628000.0,-543000.0
Net Income Including Noncontrolling Interests,363634000.0,298555000.0,109876000.0,147246000.0
Net Income Continuous Operations,363634000.0,298555000.0,109876000.0,147246000.0
Earnings From Equity Interest Net Of Tax,14610000.0,15440000.0,7256000.0,10779000.0
Tax Provision,59501000.0,73353000.0,35844000.0,-1983000.0
Pretax Income,408525000.0,356468000.0,138464000.0,134484000.0
Other Income Expense,22781000.0,38317000.0,3785000.0,-22100000.0
Special Income Charges,5098000.0,4259000.0,8600000.0,1278000.0
Gain On Sale Of Ppe,5098000.0,4259000.0,10008000.0,253000.0
Other Special Charges,,,1408000.0,-1025000.0
Gain On Sale Of Security,17683000.0,34058000.0,-4815000.0,-23378000.0
Net Non Operating Interest Income Expense,-62478000.0,-33651000.0,-47102000.0,-62568000.0
Interest Expense Non Operating,114099000.0,74266000.0,58153000.0,71874000.0
Interest Income Non Operating,51621000.0,40615000.0,11051000.0,9306000.0
Operating Income,448222000.0,351802000.0,181781000.0,219152000.0
Operating Expense,831761000.0,911334000.0,727531000.0,470762000.0
Other Operating Expenses,-79241000.0,-59543000.0,-38468000.0,-24245000.0
Research And Development,100844000.0,69822000.0,58407000.0,45167000.0
Selling General And Administration,810158000.0,901055000.0,707592000.0,449840000.0
Selling And Marketing Expense,369670000.0,558926000.0,398650000.0,224243000.0
General And Administrative Expense,440488000.0,342129000.0,308942000.0,225597000.0
Other Gand A,440488000.0,342129000.0,308942000.0,225597000.0
Insurance And Claims,,0.0,1408000.0,-1025000.0
Gross Profit,1279983000.0,1263136000.0,909312000.0,689914000.0
Cost Of Revenue,6333643000.0,6205474000.0,4367857000.0,2786581000.0
Total Revenue,7613626000.0,7468610000.0,5277169000.0,3476495000.0
Operating Revenue,7613626000.0,7468610000.0,5277169000.0,3476495000.0
