,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,117005294.0,116897313.0,116378666.0,116158490.0
Share Issued,117005294.0,116897313.0,116378666.0,116158490.0
Net Debt,7502000000.0,6156000000.0,7532000000.0,6701000000.0
Total Debt,8664000000.0,7361000000.0,8272000000.0,7314000000.0
Tangible Book Value,-274000000.0,-332000000.0,-665000000.0,455000000.0
Invested Capital,10137000000.0,9046000000.0,9545000000.0,8794000000.0
Working Capital,654000000.0,659000000.0,-100000000.0,74000000.0
Net Tangible Assets,-274000000.0,-332000000.0,-665000000.0,455000000.0
Capital Lease Obligations,627000000.0,548000000.0,561000000.0,345000000.0
Common Stock Equity,2100000000.0,2233000000.0,1834000000.0,1825000000.0
Total Capitalization,9579000000.0,8724000000.0,8773000000.0,8410000000.0
Total Equity Gross Minority Interest,4994000000.0,4032000000.0,3300000000.0,2715000000.0
Minority Interest,2894000000.0,1799000000.0,1466000000.0,890000000.0
Stockholders Equity,2100000000.0,2233000000.0,1834000000.0,1825000000.0
Other Equity Interest,,,,-1000000.0
Gains Losses Not Affecting Retained Earnings,7000000.0,9000000.0,-6000000.0,-14000000.0
Other Equity Adjustments,7000000.0,9000000.0,,
Retained Earnings,361000000.0,463000000.0,-33000000.0,-84000000.0
Additional Paid In Capital,1732000000.0,1761000000.0,1872000000.0,1922000000.0
Capital Stock,0.0,0.0,1000000.0,1000000.0
Common Stock,0.0,0.0,1000000.0,1000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,9707000000.0,8280000000.0,9513000000.0,7877000000.0
Total Non Current Liabilities Net Minority Interest,8801000000.0,7663000000.0,7882000000.0,7243000000.0
Other Non Current Liabilities,287000000.0,202000000.0,173000000.0,178000000.0
Derivative Product Liabilities,281000000.0,303000000.0,196000000.0,135000000.0
Non Current Deferred Liabilities,127000000.0,119000000.0,13000000.0,0.0
Non Current Deferred Taxes Liabilities,127000000.0,119000000.0,13000000.0,0.0
Long Term Debt And Capital Lease Obligation,8106000000.0,7039000000.0,7500000000.0,6930000000.0
Long Term Capital Lease Obligation,627000000.0,548000000.0,561000000.0,345000000.0
Long Term Debt,7479000000.0,6491000000.0,6939000000.0,6585000000.0
Current Liabilities,906000000.0,617000000.0,1631000000.0,634000000.0
Other Current Liabilities,51000000.0,50000000.0,540000000.0,38000000.0
Current Debt And Capital Lease Obligation,558000000.0,322000000.0,772000000.0,384000000.0
Current Debt,558000000.0,322000000.0,772000000.0,384000000.0
Other Current Borrowings,558000000.0,322000000.0,772000000.0,384000000.0
Payables And Accrued Expenses,297000000.0,245000000.0,319000000.0,212000000.0
Current Accrued Expenses,136000000.0,168000000.0,138000000.0,123000000.0
Interest Payable,57000000.0,54000000.0,54000000.0,44000000.0
Payables,161000000.0,77000000.0,181000000.0,89000000.0
Dueto Related Parties Current,,,,17000000.0
Accounts Payable,161000000.0,77000000.0,181000000.0,89000000.0
Total Assets,14701000000.0,12312000000.0,12813000000.0,10592000000.0
Total Non Current Assets,13141000000.0,11036000000.0,11282000000.0,9884000000.0
Other Non Current Assets,202000000.0,96000000.0,101000000.0,114000000.0
Non Current Deferred Assets,,0.0,95000000.0,104000000.0
Non Current Deferred Taxes Assets,,0.0,95000000.0,104000000.0
Financial Assets,82000000.0,63000000.0,6000000.0,1000000.0
Investments And Advances,360000000.0,364000000.0,381000000.0,741000000.0
Long Term Equity Investment,360000000.0,364000000.0,381000000.0,741000000.0
Investmentsin Associatesat Cost,,,381000000.0,741000000.0
Goodwill And Other Intangible Assets,2374000000.0,2565000000.0,2499000000.0,1370000000.0
Other Intangible Assets,2374000000.0,2565000000.0,2499000000.0,1370000000.0
Net PPE,10123000000.0,7948000000.0,8200000000.0,7554000000.0
Accumulated Depreciation,-3485000000.0,-3024000000.0,-2501000000.0,-2323000000.0
Gross PPE,13608000000.0,10972000000.0,10701000000.0,9877000000.0
Construction In Progress,1220000000.0,160000000.0,84000000.0,62000000.0
Other Properties,12388000000.0,10812000000.0,10617000000.0,9815000000.0
Current Assets,1560000000.0,1276000000.0,1531000000.0,708000000.0
Other Current Assets,68000000.0,54000000.0,,
Hedging Assets Current,41000000.0,26000000.0,0.0,
Assets Held For Sale Current,,0.0,631000000.0,0.0
Restricted Cash,516000000.0,339000000.0,475000000.0,197000000.0
Prepaid Assets,,54000000.0,65000000.0,58000000.0
Inventory,55000000.0,47000000.0,37000000.0,42000000.0
Receivables,345000000.0,153000000.0,144000000.0,143000000.0
Duefrom Related Parties Current,,,,0.0
Notes Receivable,174000000.0,0.0,,
Accounts Receivable,171000000.0,153000000.0,144000000.0,143000000.0
Cash Cash Equivalents And Short Term Investments,535000000.0,657000000.0,179000000.0,268000000.0
Cash And Cash Equivalents,535000000.0,657000000.0,179000000.0,268000000.0
