,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,408000000.0,675000000.0,529000000.0,421000000.0
Repayment Of Debt,-1349000000.0,-1523000000.0,-2669000000.0,-1792000000.0
Issuance Of Debt,563000000.0,324000000.0,2350000000.0,1349000000.0
Issuance Of Capital Stock,,0.0,0.0,62000000.0
Capital Expenditure,-294000000.0,-112000000.0,-172000000.0,-124000000.0
Interest Paid Supplemental Data,304000000.0,317000000.0,337000000.0,325000000.0
Income Tax Paid Supplemental Data,31000000.0,9000000.0,0.0,0.0
End Cash Position,1051000000.0,996000000.0,654000000.0,465000000.0
Beginning Cash Position,996000000.0,654000000.0,465000000.0,417000000.0
Changes In Cash,55000000.0,342000000.0,189000000.0,48000000.0
Other Cash Adjustment Inside Changein Cash,0.0,0.0,-14000000.0,0.0
Financing Cash Flow,-124000000.0,-1510000000.0,367000000.0,-435000000.0
Cash Flow From Continuing Financing Activities,-124000000.0,-1510000000.0,367000000.0,-435000000.0
Net Other Financing Charges,973000000.0,42000000.0,954000000.0,157000000.0
Cash Dividends Paid,-311000000.0,-353000000.0,-268000000.0,-211000000.0
Common Stock Dividend Paid,-311000000.0,-353000000.0,-268000000.0,-211000000.0
Net Common Stock Issuance,,0.0,0.0,62000000.0
Common Stock Issuance,,0.0,0.0,62000000.0
Net Issuance Payments Of Debt,-786000000.0,-1199000000.0,-319000000.0,-443000000.0
Net Short Term Debt Issuance,0.0,-245000000.0,245000000.0,0.0
Short Term Debt Payments,0.0,-325000000.0,-377000000.0,-265000000.0
Short Term Debt Issuance,0.0,80000000.0,622000000.0,265000000.0
Net Long Term Debt Issuance,-786000000.0,-954000000.0,-564000000.0,-443000000.0
Long Term Debt Payments,-1349000000.0,-1198000000.0,-2292000000.0,-1527000000.0
Long Term Debt Issuance,563000000.0,244000000.0,1728000000.0,1084000000.0
Investing Cash Flow,-523000000.0,1065000000.0,-865000000.0,-62000000.0
Cash Flow From Continuing Investing Activities,-523000000.0,1065000000.0,-865000000.0,-62000000.0
Net Other Investing Changes,-215000000.0,-70000000.0,-207000000.0,99000000.0
Net Business Purchase And Sale,-14000000.0,1247000000.0,-486000000.0,-37000000.0
Sale Of Business,14000000.0,1470000000.0,47000000.0,96000000.0
Purchase Of Business,-28000000.0,-223000000.0,-533000000.0,-133000000.0
Net PPE Purchase And Sale,-82000000.0,0.0,-21000000.0,
Purchase Of PPE,-82000000.0,0.0,-21000000.0,
Capital Expenditure Reported,-212000000.0,-112000000.0,-151000000.0,-124000000.0
Operating Cash Flow,702000000.0,787000000.0,701000000.0,545000000.0
Cash Flow From Continuing Operating Activities,702000000.0,787000000.0,701000000.0,545000000.0
Dividend Received Cfo,30000000.0,37000000.0,38000000.0,61000000.0
Change In Working Capital,-70000000.0,18000000.0,-9000000.0,-46000000.0
Change In Other Working Capital,-38000000.0,8000000.0,-14000000.0,-45000000.0
Change In Other Current Liabilities,-32000000.0,10000000.0,5000000.0,-1000000.0
Other Non Cash Items,13000000.0,14000000.0,14000000.0,15000000.0
Asset Impairment Charge,27000000.0,30000000.0,17000000.0,36000000.0
Deferred Tax,13000000.0,194000000.0,12000000.0,8000000.0
Deferred Income Tax,13000000.0,194000000.0,12000000.0,8000000.0
Depreciation Amortization Depletion,711000000.0,684000000.0,655000000.0,518000000.0
Depreciation And Amortization,711000000.0,684000000.0,655000000.0,518000000.0
Amortization Cash Flow,185000000.0,172000000.0,146000000.0,90000000.0
Amortization Of Intangibles,185000000.0,172000000.0,146000000.0,90000000.0
Depreciation,526000000.0,512000000.0,509000000.0,428000000.0
Operating Gains Losses,-8000000.0,-1250000000.0,49000000.0,15000000.0
Earnings Losses From Equity Investments,-12000000.0,-29000000.0,-32000000.0,-7000000.0
Gain Loss On Investment Securities,-2000000.0,69000000.0,28000000.0,44000000.0
Gain Loss On Sale Of Business,0.0,-1292000000.0,0.0,-49000000.0
Net Income From Continuing Operations,-14000000.0,1060000000.0,-75000000.0,-62000000.0
