,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-2750000.0,219191000.0,-17820000.0,-4320000.0
Tax Rate For Calcs,0.125,0.173,0.27,0.27
Normalized EBITDA,1054000000.0,931000000.0,970000000.0,895000000.0
Total Unusual Items,-22000000.0,1267000000.0,-66000000.0,-16000000.0
Total Unusual Items Excluding Goodwill,-22000000.0,1267000000.0,-66000000.0,-16000000.0
Net Income From Continuing Operation Net Minority Interest,79000000.0,582000000.0,51000000.0,25000000.0
Reconciled Depreciation,711000000.0,684000000.0,655000000.0,518000000.0
Reconciled Cost Of Revenue,288000000.0,263000000.0,305000000.0,276000000.0
EBITDA,1032000000.0,2198000000.0,904000000.0,879000000.0
EBIT,321000000.0,1514000000.0,249000000.0,361000000.0
Net Interest Income,-337000000.0,-232000000.0,-312000000.0,-415000000.0
Interest Expense,337000000.0,232000000.0,312000000.0,415000000.0
Normalized Income,98250000.0,-465809000.0,99180000.0,36680000.0
Net Income From Continuing And Discontinued Operation,79000000.0,582000000.0,51000000.0,25000000.0
Total Expenses,1035000000.0,989000000.0,1006000000.0,833000000.0
Total Operating Income As Reported,263000000.0,1470000000.0,267000000.0,333000000.0
Diluted Average Shares,117000000.0,117000000.0,117000000.0,116000000.0
Basic Average Shares,117000000.0,117000000.0,117000000.0,115000000.0
Diluted EPS,0.67,4.99,0.44,0.22
Basic EPS,0.67,4.99,0.44,0.22
Diluted NI Availto Com Stockholders,79000000.0,582000000.0,51000000.0,25000000.0
Net Income Common Stockholders,79000000.0,582000000.0,51000000.0,25000000.0
Net Income,79000000.0,582000000.0,51000000.0,25000000.0
Minority Interests,93000000.0,-478000000.0,126000000.0,87000000.0
Net Income Including Noncontrolling Interests,-14000000.0,1060000000.0,-75000000.0,-62000000.0
Net Income Extraordinary,,,,0.0
Net Income Continuous Operations,-14000000.0,1060000000.0,-75000000.0,-62000000.0
Tax Provision,-2000000.0,222000000.0,12000000.0,8000000.0
Pretax Income,-16000000.0,1282000000.0,-63000000.0,-54000000.0
Other Income Expense,42000000.0,1313000000.0,-31000000.0,-5000000.0
Other Non Operating Income Expenses,52000000.0,17000000.0,3000000.0,4000000.0
Special Income Charges,-22000000.0,1267000000.0,-66000000.0,-16000000.0
Gain On Sale Of Business,0.0,1292000000.0,0.0,49000000.0
Other Special Charges,6000000.0,2000000.0,53000000.0,24000000.0
Write Off,,0.0,0.0,8000000.0
Impairment Of Capital Assets,12000000.0,16000000.0,6000000.0,24000000.0
Restructuring And Mergern Acquisition,4000000.0,7000000.0,7000000.0,9000000.0
Earnings From Equity Interest,12000000.0,29000000.0,32000000.0,7000000.0
Net Non Operating Interest Income Expense,-337000000.0,-232000000.0,-312000000.0,-415000000.0
Interest Expense Non Operating,337000000.0,232000000.0,312000000.0,415000000.0
Operating Income,279000000.0,201000000.0,280000000.0,366000000.0
Operating Expense,562000000.0,554000000.0,555000000.0,467000000.0
Depreciation Amortization Depletion Income Statement,526000000.0,512000000.0,509000000.0,428000000.0
Depreciation And Amortization In Income Statement,526000000.0,512000000.0,509000000.0,428000000.0
Research And Development,0.0,2000000.0,6000000.0,5000000.0
Selling General And Administration,36000000.0,40000000.0,40000000.0,34000000.0
General And Administrative Expense,36000000.0,40000000.0,40000000.0,34000000.0
Other Gand A,36000000.0,40000000.0,40000000.0,34000000.0
Gross Profit,841000000.0,755000000.0,835000000.0,833000000.0
Cost Of Revenue,473000000.0,435000000.0,451000000.0,366000000.0
Total Revenue,1314000000.0,1190000000.0,1286000000.0,1199000000.0
Operating Revenue,1215000000.0,1108000000.0,1194000000.0,1146000000.0
