,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,146317.0,150784.0,154344.0,209575.0,
Ordinary Shares Number,420234763.0,420230296.0,420226736.0,420171505.0,
Share Issued,420381080.0,420381080.0,420381080.0,420381080.0,
Net Debt,64899000000.0,69956000000.0,49574000000.0,43690000000.0,
Total Debt,96618000000.0,88046000000.0,71547000000.0,58527000000.0,
Tangible Book Value,80482000000.0,72459000000.0,87507000000.0,80513000000.0,
Invested Capital,170801000000.0,155505000000.0,154817000000.0,133051000000.0,
Working Capital,25887000000.0,24854000000.0,37860000000.0,704000000.0,
Net Tangible Assets,80482000000.0,72459000000.0,87507000000.0,80513000000.0,
Capital Lease Obligations,8910000000.0,8426000000.0,8266000000.0,7532000000.0,
Common Stock Equity,83093000000.0,75885000000.0,91536000000.0,82056000000.0,
Total Capitalization,166700000000.0,155121000000.0,151987000000.0,113558000000.0,
Total Equity Gross Minority Interest,93484000000.0,77791000000.0,95532000000.0,85137000000.0,
Minority Interest,10391000000.0,1906000000.0,3996000000.0,3081000000.0,
Stockholders Equity,83093000000.0,75885000000.0,91536000000.0,82056000000.0,
Other Equity Interest,20955000000.0,19103000000.0,19793000000.0,17984000000.0,
Retained Earnings,63098000000.0,62829000000.0,88331000000.0,79391000000.0,
Capital Stock,4204000000.0,4204000000.0,4204000000.0,4204000000.0,
Common Stock,4204000000.0,4204000000.0,4204000000.0,4204000000.0,
Total Liabilities Net Minority Interest,205302000000.0,203345000000.0,218610000000.0,185248000000.0,
Total Non Current Liabilities Net Minority Interest,151550000000.0,144144000000.0,143742000000.0,97788000000.0,
Other Non Current Liabilities,,,,492000000.0,687000000.0
Derivative Product Liabilities,8882000000.0,13763000000.0,24121000000.0,17464000000.0,
Tradeand Other Payables Non Current,21983000000.0,19883000000.0,21853000000.0,18040000000.0,
Non Current Deferred Revenue,8834000000.0,3297000000.0,3085000000.0,3230000000.0,
Non Current Deferred Taxes Liabilities,2433000000.0,3439000000.0,7414000000.0,5616000000.0,
Long Term Debt And Capital Lease Obligation,91683000000.0,86854000000.0,68148000000.0,38314000000.0,
Long Term Capital Lease Obligation,8076000000.0,7618000000.0,7697000000.0,6812000000.0,
Long Term Debt,83607000000.0,79236000000.0,60451000000.0,31502000000.0,
Long Term Provisions,17735000000.0,16908000000.0,19121000000.0,15124000000.0,
Current Liabilities,53752000000.0,59201000000.0,74868000000.0,87460000000.0,
Other Current Liabilities,,,,-492000000.0,-687000000.0
Current Debt And Capital Lease Obligation,4935000000.0,1192000000.0,3399000000.0,20213000000.0,
Current Capital Lease Obligation,834000000.0,808000000.0,569000000.0,720000000.0,
Current Debt,4101000000.0,384000000.0,2830000000.0,19493000000.0,
Current Provisions,2800000000.0,15955000000.0,585000000.0,764000000.0,
Payables,36430000000.0,30820000000.0,35177000000.0,31226000000.0,
Other Payable,7106000000.0,6225000000.0,7518000000.0,4768000000.0,
Total Tax Payable,8497000000.0,9680000000.0,7018000000.0,6227000000.0,
Accounts Payable,20827000000.0,14915000000.0,20641000000.0,20231000000.0,
Total Assets,298786000000.0,281136000000.0,314142000000.0,270385000000.0,
Total Non Current Assets,219147000000.0,197081000000.0,201414000000.0,182221000000.0,
Non Current Deferred Taxes Assets,9250000000.0,8192000000.0,13719000000.0,13281000000.0,
Financial Assets,960000000.0,1356000000.0,1804000000.0,2716000000.0,
Investmentin Financial Assets,344000000.0,167000000.0,182000000.0,221000000.0,
Available For Sale Securities,,,,,209000000.0
Long Term Equity Investment,870000000.0,960000000.0,772000000.0,572000000.0,
Goodwill And Other Intangible Assets,2611000000.0,3426000000.0,4029000000.0,1543000000.0,
Other Intangible Assets,2611000000.0,3426000000.0,4029000000.0,1543000000.0,
Net PPE,201694000000.0,179769000000.0,177665000000.0,161396000000.0,
Accumulated Depreciation,-122511000000.0,-93725000000.0,-67340000000.0,-56934000000.0,
Gross PPE,324205000000.0,273494000000.0,245005000000.0,218330000000.0,
Construction In Progress,88829000000.0,69197000000.0,52088000000.0,57852000000.0,
Other Properties,218632000000.0,189104000000.0,179094000000.0,148309000000.0,
Machinery Furniture Equipment,4654000000.0,4040000000.0,3076000000.0,1858000000.0,
Properties,12090000000.0,11153000000.0,10747000000.0,10311000000.0,
Current Assets,79639000000.0,84055000000.0,112728000000.0,88164000000.0,
Other Current Assets,,,,-1335000000.0,-1464000000.0
Hedging Assets Current,4617000000.0,10473000000.0,23433000000.0,14078000000.0,
Assets Held For Sale Current,,,0.0,1335000000.0,1464000000.0
Restricted Cash,4720000000.0,868000000.0,3240000000.0,16337000000.0,
Inventory,17448000000.0,10539000000.0,14103000000.0,15998000000.0,
Other Inventories,13412000000.0,6539000000.0,7245000000.0,11663000000.0,
Finished Goods,,,,,1625000000.0
Raw Materials,4036000000.0,4000000000.0,6858000000.0,4335000000.0,
Other Receivables,10301000000.0,11406000000.0,20697000000.0,16136000000.0,
Taxes Receivable,570000000.0,483000000.0,419000000.0,1200000000.0,
Accounts Receivable,9045000000.0,11107000000.0,12701000000.0,9565000000.0,
Allowance For Doubtful Accounts Receivable,-13000000.0,-22000000.0,-51000000.0,-103000000.0,
Gross Accounts Receivable,9058000000.0,11129000000.0,12752000000.0,9668000000.0,
Cash Cash Equivalents And Short Term Investments,32938000000.0,39179000000.0,38135000000.0,13515000000.0,
Other Short Term Investments,10129000000.0,29515000000.0,24428000000.0,6210000000.0,
