,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-24298000000.0,-9671000000.0,-21080000000.0,-22421000000.0,
Repurchase Of Capital Stock,,,,0.0,-58000000.0
Repayment Of Debt,-3407000000.0,-1580000000.0,-21482000000.0,-4435000000.0,
Issuance Of Debt,9990000000.0,17584000000.0,37090000000.0,14582000000.0,
Capital Expenditure,-42654000000.0,-38203000000.0,-33004000000.0,-34569000000.0,
End Cash Position,23124000000.0,10144000000.0,16175000000.0,8614000000.0,
Beginning Cash Position,10144000000.0,16175000000.0,8614000000.0,5210000000.0,
Effect Of Exchange Rate Changes,540000000.0,-96000000.0,-236000000.0,455000000.0,
Changes In Cash,12440000000.0,-5935000000.0,7797000000.0,2949000000.0,
Other Cash Adjustment Inside Changein Cash,,,,0.0,966000000.0
Financing Cash Flow,15843000000.0,265000000.0,13785000000.0,3392000000.0,
Net Other Financing Charges,10683000000.0,-8808000000.0,4540000000.0,-975000000.0,
Interest Paid Cff,-687000000.0,-546000000.0,-529000000.0,-430000000.0,
Cash Dividends Paid,,-5673000000.0,-5252000000.0,-4830000000.0,-4410000000.0
Common Stock Dividend Paid,,,,,-4410000000.0
Net Common Stock Issuance,,,,0.0,-58000000.0
Common Stock Payments,,,,0.0,-58000000.0
Net Issuance Payments Of Debt,6583000000.0,16004000000.0,15608000000.0,10147000000.0,
Net Long Term Debt Issuance,6583000000.0,16004000000.0,15608000000.0,10147000000.0,
Long Term Debt Payments,-3407000000.0,-1580000000.0,-21482000000.0,-4435000000.0,
Long Term Debt Issuance,9990000000.0,17584000000.0,37090000000.0,14582000000.0,
Investing Cash Flow,-21759000000.0,-34732000000.0,-17912000000.0,-12591000000.0,
Net Other Investing Changes,-112000000.0,-260000000.0,-58000000.0,32000000.0,
Dividends Received Cfi,27000000.0,19000000.0,23000000.0,29000000.0,
Net Investment Purchase And Sale,15730000000.0,-4350000000.0,-5634000000.0,3549000000.0,
Sale Of Investment,27318000000.0,13935000000.0,3780000000.0,11656000000.0,
Purchase Of Investment,-11588000000.0,-18285000000.0,-9414000000.0,-8107000000.0,
Net Business Purchase And Sale,779000000.0,-127000000.0,-3291000000.0,-2578000000.0,
Sale Of Business,942000000.0,,115000000.0,53000000.0,18914000000.0
Purchase Of Business,-163000000.0,-127000000.0,-3406000000.0,-2578000000.0,
Net Intangibles Purchase And Sale,-38183000000.0,-30014000000.0,-8952000000.0,-13623000000.0,
Sale Of Intangibles,4471000000.0,8189000000.0,24052000000.0,20946000000.0,
Purchase Of Intangibles,-42654000000.0,-38203000000.0,-33004000000.0,-34569000000.0,
Capital Expenditure Reported,,,,,-26957000000.0
Operating Cash Flow,18356000000.0,28532000000.0,11924000000.0,12148000000.0,
Taxes Refund Paid,-6327000000.0,-2717000000.0,-1263000000.0,-1380000000.0,
Interest Received Cfo,6820000000.0,8278000000.0,7985000000.0,3518000000.0,
Interest Paid Cfo,-7294000000.0,-6894000000.0,-8548000000.0,-3985000000.0,
Change In Working Capital,-6324000000.0,16606000000.0,-7144000000.0,-2119000000.0,
Change In Other Current Assets,6802000000.0,4735000000.0,-9990000000.0,-561000000.0,
Change In Payable,3315000000.0,-5595000000.0,3495000000.0,9940000000.0,
Change In Inventory,-6534000000.0,3656000000.0,1419000000.0,-555000000.0,
Change In Receivables,3150000000.0,5356000000.0,-133000000.0,-10785000000.0,
Other Non Cash Items,-129000000.0,287000000.0,-278000000.0,-262000000.0,
Gain Loss On Investment Securities,-349000000.0,-5745000000.0,-10885000000.0,-7920000000.0,
Gain Loss On Sale Of Business,,,,,-805000000.0
Net Income From Continuing Operations,31959000000.0,18717000000.0,32057000000.0,24296000000.0,
