,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-3119380000.0,-1124460000.0,692850000.0,1273860000.0,
Tax Rate For Calcs,0.22,0.06,0.15,0.18,
Normalized EBITDA,31017000000.0,13789000000.0,25776000000.0,14162000000.0,
Total Unusual Items,-14179000000.0,-18741000000.0,4619000000.0,7077000000.0,
Total Unusual Items Excluding Goodwill,-14179000000.0,-18741000000.0,4619000000.0,7077000000.0,
Net Income From Continuing Operation Net Minority Interest,-206000000.0,-20506000000.0,15126000000.0,10962000000.0,
Reconciled Depreciation,10225000000.0,9795000000.0,9754000000.0,6101000000.0,
Reconciled Cost Of Revenue,35963000000.0,46624000000.0,79303000000.0,53110000000.0,
EBITDA,16838000000.0,-4952000000.0,30395000000.0,21239000000.0,
EBIT,6613000000.0,-14747000000.0,20641000000.0,15138000000.0,
Net Interest Income,-3816000000.0,-3642000000.0,-3962000000.0,-2117000000.0,
Interest Expense,4007000000.0,4279000000.0,3032000000.0,1861000000.0,
Interest Income,1553000000.0,1642000000.0,368000000.0,335000000.0,
Normalized Income,10853620000.0,-2889460000.0,11199850000.0,5158860000.0,
Net Income From Continuing And Discontinued Operation,-206000000.0,-20506000000.0,15126000000.0,10962000000.0,
Total Expenses,37517000000.0,65333000000.0,92336000000.0,58827000000.0,
Total Operating Income As Reported,6171000000.0,-17853000000.0,19774000000.0,16195000000.0,
Diluted Average Shares,,1261533615.0,1261338613.0,1261152612.0,1261080611.0
Basic Average Shares,,1260693607.0,1260639606.0,1260450605.0,1260180602.0
Diluted EPS,,-16.699833,11.533218,8.099919,11.981788
Basic EPS,,-16.699833,11.533218,8.099919,11.99988
Diluted NI Availto Com Stockholders,-923000000.0,-21059000000.0,14549000000.0,10222000000.0,
Net Income Common Stockholders,-923000000.0,-21059000000.0,14549000000.0,10222000000.0,
Otherunder Preferred Stock Dividend,717000000.0,553000000.0,577000000.0,740000000.0,
Preferred Stock Dividends,0.0,0.0,0.0,0.0,
Net Income,-206000000.0,-20506000000.0,15126000000.0,10962000000.0,
Minority Interests,-222000000.0,-324000000.0,130000000.0,75000000.0,
Net Income Including Noncontrolling Interests,16000000.0,-20182000000.0,14996000000.0,10887000000.0,
Net Income Discontinuous Operations,,,,0.0,-11000000.0
Net Income Continuous Operations,16000000.0,-20182000000.0,14996000000.0,10887000000.0,
Tax Provision,2590000000.0,1156000000.0,2613000000.0,2390000000.0,
Pretax Income,2606000000.0,-19026000000.0,17609000000.0,13277000000.0,
Special Income Charges,-15225000000.0,-20796000000.0,8687000000.0,7178000000.0,
Other Special Charges,-338000000.0,-5979000000.0,-11216000000.0,-7178000000.0,
Impairment Of Capital Assets,15563000000.0,26775000000.0,2529000000.0,,
Net Non Operating Interest Income Expense,-3816000000.0,-3642000000.0,-3962000000.0,-2117000000.0,
Total Other Finance Cost,1362000000.0,1005000000.0,1298000000.0,591000000.0,
Interest Expense Non Operating,4007000000.0,4279000000.0,3032000000.0,1861000000.0,
Interest Income Non Operating,1553000000.0,1642000000.0,368000000.0,335000000.0,
Operating Income,21316000000.0,3744000000.0,15895000000.0,10312000000.0,
Operating Expense,1554000000.0,18709000000.0,13033000000.0,5717000000.0,
Other Operating Expenses,5479000000.0,14575000000.0,4732000000.0,5920000000.0,
Depreciation And Amortization In Income Statement,10225000000.0,9795000000.0,9754000000.0,6101000000.0,
Depreciation Income Statement,10225000000.0,9795000000.0,9754000000.0,6101000000.0,
Selling General And Administration,,,7049000000.0,5760000000.0,5774000000.0
General And Administrative Expense,,,7049000000.0,5760000000.0,5774000000.0
Gross Profit,22870000000.0,22453000000.0,28928000000.0,16029000000.0,
Cost Of Revenue,35963000000.0,46624000000.0,79303000000.0,53110000000.0,
Total Revenue,58833000000.0,69077000000.0,108231000000.0,69139000000.0,
Operating Revenue,58833000000.0,69077000000.0,108231000000.0,69139000000.0,
