,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,86817030.0,14597465.0,4643150.0,4643150.0
Ordinary Shares Number,328800000.0,391023327.0,372534652.0,365235402.0
Share Issued,415617030.0,405620792.0,377177802.0,369878552.0
Net Debt,,,,166412000.0
Total Debt,,20687000.0,0.0,243090000.0
Tangible Book Value,4611549000.0,4727046000.0,2121218000.0,736294000.0
Invested Capital,4761907000.0,4828063000.0,2161959000.0,1010131000.0
Working Capital,2740149000.0,4152621000.0,1192481000.0,-103864000.0
Net Tangible Assets,4611549000.0,4727046000.0,2121218000.0,736294000.0
Capital Lease Obligations,,,0.0,82000.0
Common Stock Equity,4761907000.0,4807376000.0,2161959000.0,767123000.0
Total Capitalization,4761907000.0,4807376000.0,2161959000.0,890345000.0
Total Equity Gross Minority Interest,6448284000.0,6604606000.0,2663830000.0,798915000.0
Minority Interest,1686377000.0,1797230000.0,501871000.0,31792000.0
Stockholders Equity,4761907000.0,4807376000.0,2161959000.0,767123000.0
Gains Losses Not Affecting Retained Earnings,-293997000.0,-176032000.0,67773000.0,26267000.0
Other Equity Adjustments,-293997000.0,-176032000.0,67773000.0,26267000.0
Treasury Stock,612609000.0,126678000.0,1749000.0,1749000.0
Retained Earnings,3328388000.0,2898843000.0,1079042000.0,330118000.0
Additional Paid In Capital,2340084000.0,2211203000.0,1016855000.0,412450000.0
Capital Stock,41000.0,40000.0,38000.0,37000.0
Common Stock,41000.0,40000.0,38000.0,37000.0
Total Liabilities Net Minority Interest,978582000.0,989490000.0,679821000.0,440228000.0
Total Non Current Liabilities Net Minority Interest,142153000.0,252948000.0,129322000.0,156093000.0
Dueto Related Parties Non Current,,,0.0,4238000.0
Tradeand Other Payables Non Current,,,0.0,0.0
Non Current Deferred Liabilities,142153000.0,252948000.0,129322000.0,28633000.0
Non Current Deferred Revenue,132003000.0,172408000.0,112596000.0,25172000.0
Non Current Deferred Taxes Liabilities,10150000.0,80540000.0,16726000.0,3461000.0
Long Term Debt And Capital Lease Obligation,,,,123222000.0
Long Term Capital Lease Obligation,,,,0.0
Long Term Debt,,,,123222000.0
Current Liabilities,836429000.0,736542000.0,550499000.0,284135000.0
Other Current Liabilities,,,4673000.0,4444000.0
Current Deferred Liabilities,148984000.0,121992000.0,202958000.0,37783000.0
Current Deferred Revenue,148984000.0,121992000.0,202958000.0,37783000.0
Current Debt And Capital Lease Obligation,,20687000.0,,119868000.0
Current Capital Lease Obligation,,,0.0,82000.0
Current Debt,,20687000.0,,119786000.0
Other Current Borrowings,,,,70431000.0
Current Notes Payable,0.0,20687000.0,0.0,49355000.0
Payables And Accrued Expenses,687445000.0,593863000.0,347541000.0,122040000.0
Current Accrued Expenses,73082000.0,51497000.0,40848000.0,11331000.0
Payables,614363000.0,542366000.0,306693000.0,110709000.0
Other Payable,421024000.0,230440000.0,142937000.0,49555000.0
Dueto Related Parties Current,10656000.0,8417000.0,10815000.0,5150000.0
Total Tax Payable,89804000.0,221634000.0,71472000.0,37051000.0
Income Tax Payable,89804000.0,221634000.0,71472000.0,22678000.0
Accounts Payable,92879000.0,81875000.0,81469000.0,18953000.0
Total Assets,7426866000.0,7594096000.0,3343651000.0,1239143000.0
Total Non Current Assets,3850288000.0,2704933000.0,1600671000.0,1058872000.0
Other Non Current Assets,28271000.0,735000.0,820000.0,957000.0
Non Current Prepaid Assets,16781000.0,0.0,,
Non Current Deferred Assets,3422000.0,1809000.0,0.0,0.0
Non Current Deferred Taxes Assets,3422000.0,1809000.0,0.0,0.0
Duefrom Related Parties Non Current,25033000.0,16864000.0,0.0,
Non Current Accounts Receivable,25033000.0,16864000.0,,
Investments And Advances,,,,685000.0
Long Term Equity Investment,,,,685000.0
Investmentsin Associatesat Cost,,,,685000.0
Goodwill And Other Intangible Assets,150358000.0,80330000.0,40741000.0,30829000.0
Other Intangible Assets,150358000.0,80330000.0,40741000.0,30829000.0
Net PPE,3626423000.0,2605195000.0,1559110000.0,1027086000.0
Accumulated Depreciation,-535159000.0,-405412000.0,-466549000.0,-381685000.0
Gross PPE,4161582000.0,3010607000.0,2025659000.0,1408771000.0
Construction In Progress,1107578000.0,1278328000.0,586555000.0,26828000.0
Other Properties,,,,119000.0
Machinery Furniture Equipment,2147711000.0,1176567000.0,970795000.0,937114000.0
Buildings And Improvements,906293000.0,555712000.0,468309000.0,444829000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,3576578000.0,4889163000.0,1742980000.0,180271000.0
Other Current Assets,224645000.0,52932000.0,41684000.0,2768000.0
Assets Held For Sale Current,,,,0.0
Restricted Cash,9129000.0,20863000.0,191000.0,41808000.0
Prepaid Assets,14314000.0,852000.0,3397000.0,9581000.0
Inventory,173271000.0,169517000.0,327771000.0,49236000.0
Finished Goods,41326000.0,97206000.0,198253000.0,22937000.0
Work In Process,19483000.0,12531000.0,20593000.0,7887000.0
Raw Materials,112462000.0,59780000.0,108925000.0,18412000.0
Receivables,116392000.0,1131584000.0,365911000.0,282000.0
Duefrom Related Parties Current,34000.0,18000.0,0.0,129000.0
Notes Receivable,116358000.0,1131566000.0,365911000.0,153000.0
Accounts Receivable,,,,0.0
Allowance For Doubtful Accounts Receivable,,,,0.0
Gross Accounts Receivable,,,,0.0
Cash Cash Equivalents And Short Term Investments,3038827000.0,3513415000.0,1004026000.0,76596000.0
Other Short Term Investments,0.0,13927000.0,280251000.0,0.0
Cash And Cash Equivalents,3038827000.0,3499488000.0,723775000.0,76596000.0
