,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-3451600.0,340100.0,641920.0,0.0
Tax Rate For Calcs,0.2,0.19,0.16,0.17
Normalized EBITDA,949577000.0,3145933000.0,1124772000.0,256541000.0
Total Unusual Items,-17258000.0,1790000.0,4012000.0,
Total Unusual Items Excluding Goodwill,-17258000.0,1790000.0,4012000.0,
Net Income From Continuing Operation Net Minority Interest,429545000.0,1819801000.0,748924000.0,129336000.0
Reconciled Depreciation,148889000.0,107097000.0,77366000.0,68686000.0
Reconciled Cost Of Revenue,1387045000.0,1200428000.0,581585000.0,441610000.0
EBITDA,932319000.0,3147723000.0,1128784000.0,256541000.0
EBIT,783430000.0,3040626000.0,1051418000.0,187855000.0
Net Interest Income,52302000.0,14473000.0,-20482000.0,-25725000.0
Interest Expense,,,20482000.0,25725000.0
Interest Income,,14473000.0,,907000.0
Normalized Income,443351400.0,1818351100.0,745553920.0,129336000.0
Net Income From Continuing And Discontinued Operation,429545000.0,1819801000.0,748924000.0,129195000.0
Total Expenses,1524265000.0,1567724000.0,627375000.0,487747000.0
Total Operating Income As Reported,783430000.0,3040626000.0,1051418000.0,187855000.0
Diluted Average Shares,74963535.0,77291968.0,76750363.0,75003430.0
Basic Average Shares,74717201.0,75873062.0,73868221.0,71017403.0
Diluted EPS,5.75,23.86,9.85,1.72
Basic EPS,5.75,24.51,10.24,1.82
Diluted NI Availto Com Stockholders,429308000.0,1804369000.0,748924000.0,129195000.0
Average Dilution Earnings,-237000.0,-15432000.0,0.0,
Net Income Common Stockholders,429545000.0,1819801000.0,748924000.0,129195000.0
Net Income,429545000.0,1819801000.0,748924000.0,129195000.0
Minority Interests,-223341000.0,-659841000.0,-115923000.0,-4612000.0
Net Income Including Noncontrolling Interests,652886000.0,2479642000.0,864847000.0,133807000.0
Net Income Discontinuous Operations,,0.0,0.0,-141000.0
Net Income Continuous Operations,652886000.0,2479642000.0,864847000.0,133948000.0
Tax Provision,165588000.0,577247000.0,170101000.0,28182000.0
Pretax Income,818474000.0,3056889000.0,1034948000.0,162130000.0
Other Income Expense,-17258000.0,1790000.0,4012000.0,
Gain On Sale Of Security,-17258000.0,1790000.0,4012000.0,
Net Non Operating Interest Income Expense,52302000.0,14473000.0,-20482000.0,-25725000.0
Total Other Finance Cost,-52302000.0,-14473000.0,20482000.0,
Interest Expense Non Operating,,,20482000.0,25725000.0
Interest Income Non Operating,,14473000.0,,907000.0
Operating Income,783430000.0,3040626000.0,1051418000.0,187855000.0
Operating Expense,137220000.0,367296000.0,45790000.0,46137000.0
Other Operating Expenses,-86137000.0,3181000.0,-609000.0,-191000.0
Research And Development,10116000.0,10041000.0,6495000.0,6856000.0
Selling General And Administration,213241000.0,354074000.0,39904000.0,39472000.0
Gross Profit,920650000.0,3407922000.0,1097208000.0,233992000.0
Cost Of Revenue,1387045000.0,1200428000.0,581585000.0,441610000.0
Total Revenue,2307695000.0,4608350000.0,1678793000.0,675602000.0
Operating Revenue,2307695000.0,4608350000.0,1678793000.0,675602000.0
