,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,40258547.0,13841295.0,13841295.0,13841295.0
Ordinary Shares Number,384664859.0,401031196.0,399226732.0,397007639.0
Share Issued,424923406.0,414872491.0,413068027.0,410848934.0
Net Debt,1045800000.0,1202900000.0,1043600000.0,780400000.0
Total Debt,1561100000.0,1594000000.0,1486900000.0,1095900000.0
Tangible Book Value,1472800000.0,744300000.0,680400000.0,909400000.0
Invested Capital,3396300000.0,2751700000.0,2646300000.0,2405100000.0
Working Capital,257700000.0,189600000.0,115500000.0,304700000.0
Net Tangible Assets,1472800000.0,744300000.0,680400000.0,909400000.0
Capital Lease Obligations,135800000.0,153100000.0,125900000.0,30200000.0
Common Stock Equity,1971000000.0,1310800000.0,1285300000.0,1339400000.0
Total Capitalization,3132100000.0,2707400000.0,2605700000.0,2405100000.0
Total Equity Gross Minority Interest,1983000000.0,1324200000.0,1306800000.0,1339400000.0
Minority Interest,12000000.0,13400000.0,21500000.0,0.0
Stockholders Equity,1971000000.0,1310800000.0,1285300000.0,1339400000.0
Treasury Stock,199600000.0,50400000.0,50400000.0,50400000.0
Retained Earnings,666400000.0,193800000.0,198300000.0,153400000.0
Additional Paid In Capital,442700000.0,434800000.0,433700000.0,431500000.0
Capital Stock,49100000.0,47900000.0,47700000.0,47500000.0
Common Stock,49100000.0,47900000.0,47700000.0,47500000.0
Total Liabilities Net Minority Interest,4055400000.0,4610100000.0,3871800000.0,2853500000.0
Total Non Current Liabilities Net Minority Interest,1967700000.0,2401900000.0,2117400000.0,1545500000.0
Derivative Product Liabilities,306600000.0,674700000.0,374500000.0,142100000.0
Non Current Pension And Other Postretirement Benefit Plans,,,0.0,1300000.0
Non Current Deferred Taxes Liabilities,317100000.0,141600000.0,225300000.0,222000000.0
Long Term Debt And Capital Lease Obligation,1271800000.0,1527000000.0,1431200000.0,1088900000.0
Long Term Capital Lease Obligation,110700000.0,130400000.0,110800000.0,23200000.0
Long Term Debt,1161100000.0,1396600000.0,1320400000.0,1065700000.0
Long Term Provisions,72200000.0,58600000.0,86400000.0,91200000.0
Current Liabilities,2087700000.0,2208200000.0,1754400000.0,1308000000.0
Current Debt And Capital Lease Obligation,289300000.0,67000000.0,55700000.0,7000000.0
Current Capital Lease Obligation,25100000.0,22700000.0,15100000.0,7000000.0
Current Debt,264200000.0,44300000.0,40600000.0,0.0
Current Provisions,6600000.0,,,
Payables,555400000.0,527200000.0,1214500000.0,289800000.0
Other Payable,389600000.0,351000000.0,366500000.0,176900000.0
Total Tax Payable,20600000.0,23300000.0,3400000.0,0.0
Accounts Payable,145200000.0,152900000.0,1211100000.0,112900000.0
Total Assets,6038400000.0,5934300000.0,5178600000.0,4192900000.0
Total Non Current Assets,3693000000.0,3536500000.0,3308700000.0,2580200000.0
Defined Pension Benefit,18400000.0,38500000.0,48900000.0,9500000.0
Non Current Deferred Taxes Assets,52900000.0,37300000.0,28700000.0,65300000.0
Financial Assets,293600000.0,361000000.0,190200000.0,103800000.0
Other Investments,,,5500000.0,1500000.0
Investmentin Financial Assets,,,,1500000.0
Available For Sale Securities,,,,1500000.0
Goodwill And Other Intangible Assets,498200000.0,566500000.0,604900000.0,430000000.0
Other Intangible Assets,81500000.0,142300000.0,188600000.0,181800000.0
Goodwill,416700000.0,424200000.0,416300000.0,248200000.0
Net PPE,2821000000.0,2526300000.0,2430500000.0,1970100000.0
Accumulated Depreciation,-2076900000.0,-1923300000.0,-1702200000.0,-1555400000.0
Gross PPE,4897900000.0,4449600000.0,4132700000.0,3525500000.0
Construction In Progress,634300000.0,308900000.0,304300000.0,188800000.0
Machinery Furniture Equipment,3732000000.0,3607000000.0,3346700000.0,2923700000.0
Buildings And Improvements,38700000.0,30400000.0,27900000.0,23700000.0
Land And Improvements,492900000.0,503300000.0,453800000.0,389300000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,2345400000.0,2397800000.0,1869900000.0,1612700000.0
Other Current Assets,292200000.0,187800000.0,301400000.0,139600000.0
Hedging Assets Current,368400000.0,396900000.0,410100000.0,179500000.0
Assets Held For Sale Current,,,0.0,261300000.0
Restricted Cash,,234000000.0,172800000.0,4500000.0
Prepaid Assets,77200000.0,127700000.0,97400000.0,92500000.0
Inventory,328400000.0,348100000.0,199100000.0,208200000.0
Finished Goods,266000000.0,294500000.0,144600000.0,157000000.0
Raw Materials,62400000.0,53600000.0,54500000.0,51200000.0
Other Receivables,563700000.0,822700000.0,357000000.0,274800000.0
Taxes Receivable,,,0.0,9000000.0
Accounts Receivable,336000000.0,276600000.0,641900000.0,158000000.0
Allowance For Doubtful Accounts Receivable,-59400000.0,-60900000.0,,-56400000.0
Gross Accounts Receivable,395400000.0,337500000.0,,214400000.0
Cash Cash Equivalents And Short Term Investments,379500000.0,238000000.0,317400000.0,285300000.0
Cash And Cash Equivalents,379500000.0,238000000.0,317400000.0,285300000.0
Cash Equivalents,302000000.0,135900000.0,,
Cash Financial,77500000.0,102100000.0,,
