,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,394500000.0,33000000.0,96800000.0,131800000.0
Repurchase Of Capital Stock,-149200000.0,0.0,,0.0
Repayment Of Debt,-125300000.0,-186400000.0,-256300000.0,-475000000.0
Issuance Of Debt,140000000.0,188500000.0,302600000.0,298900000.0
Issuance Of Capital Stock,8600000.0,1200000.0,2400000.0,500000.0
Capital Expenditure,-441100000.0,-174700000.0,-209700000.0,-174400000.0
End Cash Position,379500000.0,238000000.0,317400000.0,289800000.0
Beginning Cash Position,238000000.0,317400000.0,289800000.0,404100000.0
Effect Of Exchange Rate Changes,-4400000.0,5500000.0,300000.0,-100000.0
Changes In Cash,145900000.0,-84900000.0,27300000.0,-114200000.0
Financing Cash Flow,-237900000.0,-111900000.0,-50400000.0,-249100000.0
Net Other Financing Charges,100000.0,-18300000.0,-15000000.0,
Cash Dividends Paid,-86300000.0,-78900000.0,-70900000.0,-64700000.0
Common Stock Dividend Paid,-86300000.0,-78900000.0,-70900000.0,-64700000.0
Net Common Stock Issuance,-140600000.0,1200000.0,2400000.0,500000.0
Common Stock Payments,-149200000.0,0.0,,0.0
Common Stock Issuance,8600000.0,1200000.0,2400000.0,500000.0
Net Issuance Payments Of Debt,14700000.0,2100000.0,46300000.0,-176100000.0
Net Long Term Debt Issuance,14700000.0,2100000.0,46300000.0,-176100000.0
Long Term Debt Payments,-125300000.0,-186400000.0,-256300000.0,-475000000.0
Long Term Debt Issuance,140000000.0,188500000.0,302600000.0,298900000.0
Investing Cash Flow,-451800000.0,-180700000.0,-228800000.0,-171300000.0
Net Investment Purchase And Sale,,,0.0,1500000.0
Sale Of Investment,,,0.0,1500000.0
Net Business Purchase And Sale,-10700000.0,-7600000.0,-19800000.0,0.0
Sale Of Business,,0.0,183700000.0,0.0
Purchase Of Business,-10700000.0,-7600000.0,-203500000.0,0.0
Net Intangibles Purchase And Sale,-11300000.0,-10800000.0,-18700000.0,-10600000.0
Purchase Of Intangibles,-11300000.0,-10800000.0,-18700000.0,-10600000.0
Net PPE Purchase And Sale,-429800000.0,-162300000.0,-190300000.0,-162200000.0
Sale Of PPE,0.0,1600000.0,700000.0,1600000.0
Purchase Of PPE,-429800000.0,-163900000.0,-191000000.0,-163800000.0
Operating Cash Flow,835600000.0,207700000.0,306500000.0,306200000.0
Taxes Refund Paid,-180000000.0,-38700000.0,12400000.0,-48300000.0
Interest Received Cfo,10700000.0,3300000.0,100000.0,300000.0
Interest Paid Cfo,-106100000.0,-77200000.0,-60500000.0,-59200000.0
Change In Working Capital,107800000.0,-402800000.0,27300000.0,36900000.0
Change In Other Current Assets,51000000.0,-293100000.0,6500000.0,23100000.0
Change In Payable,-30800000.0,431800000.0,15000000.0,-98400000.0
Change In Inventory,20600000.0,-133400000.0,37400000.0,87100000.0
Change In Receivables,71400000.0,-379000000.0,-27400000.0,25100000.0
Other Non Cash Items,120300000.0,79100000.0,70600000.0,73400000.0
Stock Based Compensation,13900000.0,9600000.0,7400000.0,5200000.0
Provisionand Write Offof Assets,,,0.0,20400000.0
Deferred Tax,233500000.0,-9900000.0,60600000.0,-31700000.0
Depreciation And Amortization,225000000.0,239400000.0,199400000.0,190400000.0
Amortization Cash Flow,29400000.0,31400000.0,34400000.0,38400000.0
Depreciation,195600000.0,208000000.0,165000000.0,152000000.0
Pension And Employee Benefit Expense,,,3700000.0,15800000.0
Gain Loss On Investment Securities,-222000000.0,288700000.0,-65200000.0,37400000.0
Net Foreign Currency Exchange Gain Loss,6200000.0,-2200000.0,1300000.0,-1000000.0
Gain Loss On Sale Of PPE,2600000.0,5500000.0,9400000.0,6000000.0
Gain Loss On Sale Of Business,,0.0,-16200000.0,0.0
Net Income From Continuing Operations,560900000.0,82500000.0,79200000.0,-157900000.0
