,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-31349000.0,-17081000.0,-1992000.0,-50727268.853856
Tax Rate For Calcs,0.29,0.19,0.12,0.170856
Normalized EBITDA,1240300000.0,483900000.0,402200000.0,311100000.0
Total Unusual Items,-108100000.0,-89900000.0,-16600000.0,-296900000.0
Total Unusual Items Excluding Goodwill,-108100000.0,-89900000.0,-16600000.0,-296900000.0
Net Income From Continuing Operation Net Minority Interest,562200000.0,85100000.0,55600000.0,-194600000.0
Reconciled Depreciation,225000000.0,239400000.0,199400000.0,190400000.0
Reconciled Cost Of Revenue,6171700000.0,6752000000.0,4196800000.0,3519000000.0
EBITDA,1132200000.0,394000000.0,385600000.0,14200000.0
EBIT,907200000.0,154600000.0,186200000.0,-176200000.0
Net Interest Income,-102000000.0,-78300000.0,-70500000.0,-67200000.0
Interest Expense,110800000.0,76500000.0,64700000.0,58500000.0
Interest Income,13100000.0,4300000.0,400000.0,500000.0
Normalized Income,638951000.0,157919000.0,70208000.0,51572731.146144
Net Income From Continuing And Discontinued Operation,562200000.0,85100000.0,79700000.0,-157900000.0
Total Expenses,7108400000.0,7534200000.0,4866100000.0,4112500000.0
Total Operating Income As Reported,908200000.0,146300000.0,196500000.0,-156100000.0
Diluted Average Shares,201550000.0,207200000.0,206300000.0,202500000.0
Basic Average Shares,196900000.0,200200000.0,199200000.0,198400000.0
Diluted EPS,2.79,0.41,0.386,-0.796
Basic EPS,2.856,0.426,0.4,-0.796
Diluted NI Availto Com Stockholders,562200000.0,85100000.0,79700000.0,-157900000.0
Net Income Common Stockholders,562200000.0,85100000.0,79700000.0,-157900000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,562200000.0,85100000.0,79700000.0,-157900000.0
Minority Interests,1300000.0,2600000.0,500000.0,0.0
Net Income Including Noncontrolling Interests,560900000.0,82500000.0,79200000.0,-157900000.0
Net Income Discontinuous Operations,,0.0,24100000.0,36700000.0
Net Income Continuous Operations,560900000.0,82500000.0,55100000.0,-194600000.0
Tax Provision,235500000.0,-4400000.0,66400000.0,-40100000.0
Pretax Income,796400000.0,78100000.0,121500000.0,-234700000.0
Other Non Operating Income Expenses,700000.0,-5800000.0,-9400000.0,
Special Income Charges,-108100000.0,-89900000.0,-16600000.0,-296900000.0
Other Special Charges,-13400000.0,400000.0,300000.0,14500000.0
Write Off,32500000.0,48000000.0,16300000.0,282400000.0
Impairment Of Capital Assets,70800000.0,41500000.0,0.0,
Restructuring And Mergern Acquisition,18200000.0,0.0,,1000000.0
Net Non Operating Interest Income Expense,-102000000.0,-78300000.0,-70500000.0,-67200000.0
Total Other Finance Cost,4300000.0,6100000.0,6200000.0,9200000.0
Interest Expense Non Operating,110800000.0,76500000.0,64700000.0,58500000.0
Interest Income Non Operating,13100000.0,4300000.0,400000.0,500000.0
Operating Income,1016900000.0,241100000.0,221900000.0,132200000.0
Operating Expense,936700000.0,782200000.0,669300000.0,593500000.0
Other Operating Expenses,417700000.0,293900000.0,251300000.0,225700000.0
Depreciation And Amortization In Income Statement,225000000.0,239400000.0,199400000.0,171500000.0
Amortization,29400000.0,31400000.0,34400000.0,38400000.0
Depreciation Income Statement,195600000.0,208000000.0,165000000.0,133100000.0
Gross Profit,1953600000.0,1023300000.0,891200000.0,725700000.0
Cost Of Revenue,6171700000.0,6752000000.0,4196800000.0,3519000000.0
Total Revenue,8125300000.0,7775300000.0,5088000000.0,4244700000.0
Operating Revenue,8125300000.0,7775300000.0,5088000000.0,4244700000.0
