,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,132448000.0,135722000.0,136441000.0,133894000.0,
Share Issued,132448000.0,135722000.0,136441000.0,133894000.0,
Net Debt,933270000.0,1004990000.0,817113000.0,918330000.0,
Total Debt,1308195000.0,1298958000.0,1295728000.0,1041476000.0,
Tangible Book Value,579047000.0,700526000.0,512473000.0,151156000.0,
Invested Capital,2135396000.0,2277362000.0,2115930000.0,1467814000.0,
Working Capital,1666993000.0,1911069000.0,1626052000.0,1022665000.0,
Net Tangible Assets,579047000.0,700526000.0,512473000.0,151156000.0,
Capital Lease Obligations,5815000.0,5220000.0,5371000.0,3830000.0,
Common Stock Equity,833016000.0,983624000.0,825573000.0,430168000.0,
Total Capitalization,2034105000.0,2277362000.0,2025038000.0,1381762000.0,
Total Equity Gross Minority Interest,833016000.0,983624000.0,825573000.0,430168000.0,
Stockholders Equity,833016000.0,983624000.0,825573000.0,430168000.0,
Gains Losses Not Affecting Retained Earnings,-6352000.0,-1988000.0,-10882000.0,-2020000.0,
Other Equity Adjustments,-6352000.0,-1988000.0,-10882000.0,-2020000.0,
Retained Earnings,-245206000.0,46273000.0,17335000.0,-405737000.0,
Additional Paid In Capital,1084573000.0,939338000.0,819119000.0,837924000.0,
Capital Stock,1000.0,1000.0,1000.0,1000.0,
Common Stock,1000.0,1000.0,1000.0,1000.0,
Total Liabilities Net Minority Interest,2416660000.0,2399388000.0,2258707000.0,1649088000.0,
Total Non Current Liabilities Net Minority Interest,1756569000.0,1866939000.0,1620488000.0,1209292000.0,
Other Non Current Liabilities,55265000.0,51008000.0,43520000.0,16530000.0,
Non Current Deferred Liabilities,341982000.0,369172000.0,281613000.0,187186000.0,
Non Current Deferred Revenue,341982000.0,369172000.0,281613000.0,187186000.0,
Long Term Debt And Capital Lease Obligation,1201089000.0,1293738000.0,1199465000.0,951594000.0,
Long Term Debt,1201089000.0,1293738000.0,1199465000.0,951594000.0,
Long Term Provisions,158233000.0,153021000.0,95890000.0,53982000.0,
Current Liabilities,660091000.0,532449000.0,638219000.0,439796000.0,
Current Deferred Liabilities,237225000.0,118300000.0,90747000.0,62670000.0,
Current Deferred Revenue,237225000.0,118300000.0,90747000.0,62670000.0,
Current Debt And Capital Lease Obligation,107106000.0,5220000.0,96263000.0,89882000.0,
Current Capital Lease Obligation,5815000.0,5220000.0,5371000.0,3830000.0,
Current Debt,101291000.0,,90892000.0,86052000.0,325967000.0
Other Current Borrowings,101291000.0,,90892000.0,86052000.0,325967000.0
Pensionand Other Post Retirement Benefit Plans Current,,,,13062000.0,6634000.0
Current Provisions,34656000.0,36066000.0,35556000.0,19395000.0,
Payables And Accrued Expenses,281104000.0,372863000.0,415653000.0,267849000.0,
Current Accrued Expenses,186060000.0,244925000.0,254570000.0,146511000.0,
Payables,95044000.0,127938000.0,161083000.0,121338000.0,
Total Tax Payable,5012000.0,11774000.0,35998000.0,7571000.0,
Income Tax Payable,3540000.0,8531000.0,16146000.0,340000.0,
Accounts Payable,90032000.0,116164000.0,125085000.0,113767000.0,
Total Assets,3249676000.0,3383012000.0,3084280000.0,2079256000.0,
Total Non Current Assets,922592000.0,939494000.0,820009000.0,616795000.0,
Other Non Current Assets,180925000.0,215895000.0,169291000.0,118726000.0,
Non Current Deferred Assets,315567000.0,252370000.0,204872000.0,122470000.0,
Non Current Deferred Taxes Assets,315567000.0,252370000.0,204872000.0,122470000.0,
Goodwill And Other Intangible Assets,253969000.0,283098000.0,313100000.0,279012000.0,
Other Intangible Assets,42398000.0,68536000.0,99541000.0,97758000.0,
Goodwill,211571000.0,214562000.0,213559000.0,181254000.0,
Net PPE,172131000.0,188131000.0,132746000.0,96587000.0,
Accumulated Depreciation,-183278000.0,-137407000.0,-104089000.0,-77366000.0,
Gross PPE,355409000.0,325538000.0,236835000.0,173953000.0,
Leases,,,,,9021000.0
Construction In Progress,19305000.0,29752000.0,31734000.0,14332000.0,
Other Properties,24617000.0,19887000.0,21379000.0,14420000.0,
Machinery Furniture Equipment,292440000.0,258841000.0,167733000.0,132541000.0,
Buildings And Improvements,19047000.0,17058000.0,15875000.0,12546000.0,
Land And Improvements,,0.0,114000.0,114000.0,0.0
Properties,0.0,0.0,0.0,0.0,
Current Assets,2327084000.0,2443518000.0,2264271000.0,1462461000.0,
Other Current Assets,220735000.0,88930000.0,60824000.0,37784000.0,
Restricted Cash,95006000.0,0.0,,,0.0
Prepaid Assets,,,,37784000.0,29756000.0
Inventory,165004000.0,213595000.0,149708000.0,74400000.0,
Finished Goods,126264000.0,182746000.0,114730000.0,48971000.0,
Raw Materials,38740000.0,30849000.0,34978000.0,25429000.0,
Receivables,223749000.0,445959000.0,440896000.0,333626000.0,
Accounts Receivable,223749000.0,445959000.0,440896000.0,333626000.0,
Allowance For Doubtful Accounts Receivable,-7788000.0,-2502000.0,-979000.0,-1590000.0,
Gross Accounts Receivable,231537000.0,448461000.0,441875000.0,335216000.0,
Cash Cash Equivalents And Short Term Investments,1622590000.0,1695034000.0,1612843000.0,1016651000.0,
Other Short Term Investments,1253480000.0,1406286000.0,1139599000.0,897335000.0,
Cash And Cash Equivalents,369110000.0,288748000.0,473244000.0,119316000.0,
