,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,480089000.0,586379000.0,698374000.0,299520000.0,
Repurchase Of Capital Stock,-391364000.0,-409998000.0,0.0,-500000000.0,
Repayment Of Debt,-7000.0,0.0,0.0,-291941000.0,
Issuance Of Debt,,0.0,0.0,1188439000.0,312420000.0
Issuance Of Capital Stock,,,,,0.0
Capital Expenditure,-33604000.0,-110401000.0,-46443000.0,-52508000.0,
Interest Paid Supplemental Data,255000.0,455000.0,455000.0,733000.0,
Income Tax Paid Supplemental Data,32660000.0,74706000.0,33168000.0,4823000.0,
End Cash Position,464116000.0,288748000.0,473244000.0,119316000.0,
Beginning Cash Position,288748000.0,473244000.0,119316000.0,679379000.0,
Effect Of Exchange Rate Changes,-6323000.0,1853000.0,-1857000.0,-1955000.0,
Changes In Cash,181691000.0,-186349000.0,355785000.0,-558108000.0,
Financing Cash Flow,-460269000.0,-516774000.0,-17126000.0,309411000.0,
Cash Flow From Continuing Financing Activities,-460269000.0,-516774000.0,-17126000.0,309411000.0,
Net Other Financing Charges,-81586000.0,-120646000.0,-27496000.0,-315371000.0,
Proceeds From Stock Option Exercised,12688000.0,13870000.0,10370000.0,228284000.0,
Net Common Stock Issuance,-391364000.0,-409998000.0,0.0,-500000000.0,
Common Stock Payments,-391364000.0,-409998000.0,0.0,-500000000.0,
Common Stock Issuance,,,,,0.0
Net Issuance Payments Of Debt,-7000.0,0.0,0.0,896498000.0,
Net Long Term Debt Issuance,-7000.0,0.0,0.0,896498000.0,
Long Term Debt Payments,-7000.0,0.0,0.0,-291941000.0,
Long Term Debt Issuance,,0.0,0.0,1188439000.0,312420000.0
Investing Cash Flow,128267000.0,-366355000.0,-371906000.0,-1219547000.0,
Cash Flow From Continuing Investing Activities,128267000.0,-366355000.0,-371906000.0,-1219547000.0,
Net Investment Purchase And Sale,161871000.0,-240954000.0,-247301000.0,-873387000.0,
Sale Of Investment,1346520000.0,1840477000.0,660129000.0,61569000.0,
Purchase Of Investment,-1184649000.0,-2081431000.0,-907430000.0,-934956000.0,
Net Business Purchase And Sale,0.0,-15000000.0,-78162000.0,-293652000.0,
Purchase Of Business,0.0,-15000000.0,-78162000.0,-293652000.0,
Net Intangibles Purchase And Sale,,0.0,0.0,-250000.0,0.0
Purchase Of Intangibles,,0.0,0.0,-250000.0,0.0
Net PPE Purchase And Sale,-33604000.0,-110401000.0,-46443000.0,-52258000.0,
Purchase Of PPE,-33604000.0,-110401000.0,-46443000.0,-52258000.0,
Operating Cash Flow,513693000.0,696780000.0,744817000.0,352028000.0,
Cash Flow From Continuing Operating Activities,513693000.0,696780000.0,744817000.0,352028000.0,
Change In Working Capital,143001000.0,17130000.0,62126000.0,15063000.0,
Change In Other Working Capital,98847000.0,117780000.0,122189000.0,78167000.0,
Change In Other Current Liabilities,3802000.0,57641000.0,57773000.0,27016000.0,
Change In Payables And Accrued Expense,-85536000.0,-22149000.0,133416000.0,117183000.0,
Change In Payable,,,,117183000.0,35695000.0
Change In Account Payable,,,,117183000.0,35695000.0
Change In Prepaid Assets,-134343000.0,-59777000.0,-68423000.0,-26885000.0,
Change In Inventory,48591000.0,-63887000.0,-75273000.0,-29258000.0,
Change In Receivables,211640000.0,-12478000.0,-107556000.0,-151160000.0,
Changes In Account Receivables,211640000.0,-12478000.0,-107556000.0,-151160000.0,
Other Non Cash Items,8650000.0,8380000.0,8167000.0,28669000.0,
Stock Based Compensation,211360000.0,212857000.0,216802000.0,114286000.0,
Unrealized Gain Loss On Investment Securities,-1967000.0,-8078000.0,-735000.0,-3042000.0,
Provisionand Write Offof Assets,6677000.0,1153000.0,119000.0,477000.0,
Asset Impairment Charge,28843000.0,10603000.0,1200000.0,0.0,
Amortization Of Securities,-8599000.0,-15561000.0,-2632000.0,1593000.0,
Deferred Tax,-58319000.0,-43348000.0,3633000.0,-31241000.0,
Deferred Income Tax,-58319000.0,-43348000.0,3633000.0,-31241000.0,
Depreciation Amortization Depletion,81389000.0,74708000.0,58775000.0,30846000.0,
Depreciation And Amortization,81389000.0,74708000.0,58775000.0,30846000.0,
Operating Gains Losses,,,,49928000.0,47385000.0
Gain Loss On Investment Securities,,,,-6569000.0,44348000.0
Net Income From Continuing Operations,102658000.0,438936000.0,397362000.0,145449000.0,
