,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-1915862.765169,-2268001.169274,-288401.72725,-15254190.0,
Tax Rate For Calcs,0.145649,0.144606,0.120974,0.27,
Normalized EBITDA,223607000.0,612370000.0,522645000.0,253423000.0,
Total Unusual Items,-13154000.0,-15684000.0,-2384000.0,-56497000.0,
Total Unusual Items Excluding Goodwill,-13154000.0,-15684000.0,-2384000.0,-56497000.0,
Net Income From Continuing Operation Net Minority Interest,102658000.0,438936000.0,397362000.0,145449000.0,
Reconciled Depreciation,81389000.0,74708000.0,58775000.0,30846000.0,
Reconciled Cost Of Revenue,701245000.0,1232398000.0,1356258000.0,827627000.0,
EBITDA,210453000.0,596686000.0,520261000.0,196926000.0,
EBIT,129064000.0,521978000.0,461486000.0,166080000.0,
Net Interest Income,68401000.0,60889000.0,4218000.0,-44457000.0,
Interest Expense,8905000.0,8839000.0,9438000.0,45152000.0,
Interest Income,77306000.0,69728000.0,13656000.0,695000.0,
Normalized Income,113896137.234831,452351998.830726,399457598.27275,186691810.0,
Net Income From Continuing And Discontinued Operation,102658000.0,438936000.0,397362000.0,145449000.0,
Total Expenses,1239937000.0,1829361000.0,1880208000.0,1166217000.0,
Total Operating Income As Reported,77292000.0,445741000.0,448261000.0,215832000.0,
Diluted Average Shares,140004000.0,143290000.0,144390000.0,142878000.0,
Basic Average Shares,135167000.0,136376000.0,135349000.0,134025000.0,
Diluted EPS,0.75,3.08,2.77,1.02,
Basic EPS,0.76,3.22,2.94,1.09,
Diluted NI Availto Com Stockholders,105144000.0,441509000.0,399991000.0,145626000.0,
Average Dilution Earnings,2486000.0,2573000.0,2629000.0,177000.0,
Net Income Common Stockholders,102658000.0,438936000.0,397362000.0,145449000.0,
Net Income,102658000.0,438936000.0,397362000.0,145449000.0,
Net Income Including Noncontrolling Interests,102658000.0,438936000.0,397362000.0,145449000.0,
Net Income Continuous Operations,102658000.0,438936000.0,397362000.0,145449000.0,
Tax Provision,17501000.0,74203000.0,54686000.0,-24521000.0,
Pretax Income,120159000.0,513139000.0,452048000.0,120928000.0,
Other Income Expense,-38688000.0,-9175000.0,-2815000.0,-50447000.0,
Other Non Operating Income Expenses,-25534000.0,6509000.0,-431000.0,6050000.0,
Special Income Charges,-13154000.0,-15684000.0,-2384000.0,-56497000.0,
Other Special Charges,,,,56497000.0,3037000.0
Restructuring And Mergern Acquisition,13154000.0,15684000.0,2384000.0,0.0,
Gain On Sale Of Security,,,,,-44348000.0
Net Non Operating Interest Income Expense,68401000.0,60889000.0,4218000.0,-44457000.0,
Interest Expense Non Operating,8905000.0,8839000.0,9438000.0,45152000.0,
Interest Income Non Operating,77306000.0,69728000.0,13656000.0,695000.0,
Operating Income,90446000.0,461425000.0,450645000.0,215832000.0,
Operating Expense,538692000.0,596963000.0,523950000.0,338590000.0,
Research And Development,201315000.0,227336000.0,168846000.0,105526000.0,
Selling General And Administration,337377000.0,369627000.0,355104000.0,233064000.0,
Selling And Marketing Expense,206552000.0,231792000.0,215102000.0,128974000.0,
General And Administrative Expense,130825000.0,137835000.0,140002000.0,104090000.0,
Other Gand A,130825000.0,137835000.0,140002000.0,104090000.0,
Gross Profit,629138000.0,1058388000.0,974595000.0,554422000.0,
Cost Of Revenue,701245000.0,1232398000.0,1356258000.0,827627000.0,
Total Revenue,1330383000.0,2290786000.0,2330853000.0,1382049000.0,
Operating Revenue,1330383000.0,2290786000.0,2330853000.0,1382049000.0,
