,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,74496537.0,66966092.0,61137744.0,39796237.0
Share Issued,74496537.0,66966092.0,61137744.0,39796237.0
Net Debt,1645766000.0,1589342000.0,1254745000.0,881935000.0
Total Debt,1932111000.0,1708053000.0,1393798000.0,1060040000.0
Tangible Book Value,-112927000.0,230583000.0,214430000.0,-178498000.0
Invested Capital,1709958000.0,1927270000.0,1589904000.0,869211000.0
Working Capital,-1783961000.0,-87344000.0,-58276000.0,24768000.0
Net Tangible Assets,-112927000.0,230583000.0,214430000.0,-178498000.0
Capital Lease Obligations,109226000.0,115294000.0,122252000.0,111991000.0
Common Stock Equity,-112927000.0,334511000.0,318358000.0,-78838000.0
Total Capitalization,-96627000.0,1906277000.0,1550799000.0,834660000.0
Total Equity Gross Minority Interest,-160498000.0,286756000.0,270664000.0,409660000.0
Minority Interest,-47571000.0,-47755000.0,-47694000.0,488498000.0
Stockholders Equity,-112927000.0,334511000.0,318358000.0,-78838000.0
Gains Losses Not Affecting Retained Earnings,167000.0,197000.0,299000.0,0.0
Other Equity Adjustments,167000.0,197000.0,299000.0,
Retained Earnings,-854301000.0,-168307000.0,0.0,
Additional Paid In Capital,741133000.0,502554000.0,317998000.0,0.0
Capital Stock,74000.0,67000.0,61000.0,-78838000.0
Common Stock,74000.0,67000.0,61000.0,-78838000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Partnership Capital,,,,324219000.0
General Partnership Capital,,,,-142404000.0
Limited Partnership Capital,,,,466641000.0
Total Liabilities Net Minority Interest,2691307000.0,2264684000.0,1653483000.0,1316334000.0
Total Non Current Liabilities Net Minority Interest,265217000.0,1807001000.0,1396477000.0,1082059000.0
Other Non Current Liabilities,49853000.0,76106000.0,41154000.0,31352000.0
Non Current Deferred Liabilities,89838000.0,43835000.0,630000.0,25218000.0
Non Current Deferred Revenue,87805000.0,41728000.0,594000.0,
Non Current Deferred Taxes Liabilities,2033000.0,2107000.0,36000.0,25218000.0
Long Term Debt And Capital Lease Obligation,125526000.0,1687060000.0,1354693000.0,1025489000.0
Long Term Capital Lease Obligation,109226000.0,115294000.0,122252000.0,111991000.0
Long Term Debt,16300000.0,1571766000.0,1232441000.0,913498000.0
Current Liabilities,2426090000.0,457683000.0,257006000.0,234275000.0
Other Current Liabilities,365290000.0,187143000.0,,
Current Deferred Liabilities,10455000.0,32840000.0,0.0,4855000.0
Current Deferred Revenue,10455000.0,32840000.0,0.0,4855000.0
Current Debt And Capital Lease Obligation,1806585000.0,20993000.0,39105000.0,34551000.0
Current Debt,1806585000.0,20993000.0,39105000.0,34551000.0
Other Current Borrowings,1806585000.0,20993000.0,39105000.0,14551000.0
Current Notes Payable,,,0.0,20000000.0
Pensionand Other Post Retirement Benefit Plans Current,10246000.0,11942000.0,22758000.0,
Payables And Accrued Expenses,233514000.0,204765000.0,195143000.0,194869000.0
Current Accrued Expenses,209171000.0,167309000.0,165608000.0,172471000.0
Interest Payable,44488000.0,32754000.0,25060000.0,24656000.0
Payables,24343000.0,37456000.0,29535000.0,22398000.0
Dueto Related Parties Current,,,,0.0
Accounts Payable,24343000.0,37456000.0,29535000.0,22398000.0
Total Assets,2530809000.0,2551440000.0,1924147000.0,1725994000.0
Total Non Current Assets,1888680000.0,2181101000.0,1725417000.0,1466951000.0
Other Non Current Assets,35554000.0,271179000.0,14446000.0,12943000.0
Non Current Accounts Receivable,81404000.0,118496000.0,,
Goodwill And Other Intangible Assets,0.0,103928000.0,103928000.0,99660000.0
Goodwill,0.0,103928000.0,103928000.0,99660000.0
Net PPE,1771722000.0,1687498000.0,1607043000.0,1354348000.0
Accumulated Depreciation,-635293000.0,-513876000.0,-395618000.0,-307775000.0
Gross PPE,2407015000.0,2201374000.0,2002661000.0,1662123000.0
Leases,23441000.0,23409000.0,22101000.0,7462000.0
Construction In Progress,302500000.0,194715000.0,569600000.0,316739000.0
Other Properties,96735000.0,102623000.0,108846000.0,111927000.0
Machinery Furniture Equipment,1410363000.0,1336116000.0,892273000.0,823139000.0
Buildings And Improvements,462437000.0,440894000.0,321577000.0,316706000.0
Land And Improvements,111539000.0,103617000.0,88264000.0,86150000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,642129000.0,370339000.0,198730000.0,259043000.0
Other Current Assets,23317000.0,7695000.0,7230000.0,
Restricted Cash,127107000.0,0.0,1717000.0,1561000.0
Prepaid Assets,,,7230000.0,6820000.0
Inventory,69763000.0,158884000.0,57717000.0,45224000.0
Other Inventories,,,,21855000.0
Finished Goods,18842000.0,107064000.0,12770000.0,8009000.0
Raw Materials,50921000.0,51820000.0,44947000.0,37215000.0
Receivables,244823000.0,200343000.0,115265000.0,139324000.0
Other Receivables,11029000.0,8950000.0,17826000.0,15112000.0
Duefrom Related Parties Current,,,,2414000.0
Accounts Receivable,233794000.0,191393000.0,97439000.0,124212000.0
Allowance For Doubtful Accounts Receivable,-800000.0,,,
Gross Accounts Receivable,234594000.0,,,
Cash Cash Equivalents And Short Term Investments,177119000.0,3417000.0,16801000.0,66114000.0
Cash And Cash Equivalents,177119000.0,3417000.0,16801000.0,66114000.0
